Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,10.0,0.0,20.0,10.0,30.0,0.0,30.0,0.0,6.0059,7.4197,3.9168,9.1287,7.0944,7.0036,6.2924,10.133,4.2958,0.0782,5
2,0.0,10.0,28.9522,21.2432,7.8183,29.9764,0.0,30.0,0.0,6.854,7.2202,4.6837,8.3564,7.0577,7.208,6.3846,9.5512,4.3005,0.0565,5
3,0.1527,29.9262,20.0,20.0,10.0,10.0,30.0,20.0,0.0054,5.7932,11.7464,3.9594,6.8591,6.8875,8.5044,5.8952,7.292,3.9545,0.0772,4
4,0.0014,29.8089,30.0,0.6354,20.909,9.7628,19.9994,10.1015,9.3193,5.4362,12.8466,4.355,6.7892,7.0958,9.066,5.0872,4.6646,5.1952,0.059,3
5,0.0014,29.8089,30.0,0.6354,20.909,9.7628,19.9994,10.1015,9.3193,5.4362,12.8466,4.355,6.7892,7.0958,9.066,5.0872,4.6646,5.1952,0.059,3
6,0.0014,29.8089,30.0,0.6354,20.909,9.7628,19.9994,10.1015,9.3193,5.4362,12.8466,4.355,6.7892,7.0958,9.066,5.0872,4.6646,5.1952,0.059,3
7,0.7154,0.1055,0.6515,0.4321,9.8136,29.2985,10.2021,29.8447,0.0455,6.0793,8.5099,3.9109,10.0578,6.6953,7.3223,6.2515,11.0773,4.2418,0.0739,6
8,0.0002,29.8092,29.7021,0.6354,20.909,0.0464,20.0063,0.0006,0.5102,4.8121,14.053,4.2276,7.0389,6.8273,10.0171,4.5739,4.7488,6.3074,0.1013,4
9,0.0009,29.5452,30.0,0.6354,21.0636,0.0876,20.0063,0.0479,0.3594,4.8378,14.0524,4.2539,7.0519,6.7902,10.028,4.5723,4.7252,6.3208,0.1005,4
10,0.0588,29.8092,29.7044,0.8634,20.909,0.0411,19.7548,0.0017,0.5102,4.8,14.0573,4.2241,7.0438,6.8257,10.0343,4.542,4.7489,6.3328,0.1029,4
11,0.3189,0.1499,29.7055,0.1546,1.2514,22.7394,0.397,28.9548,0.5898,6.8126,10.2769,4.545,8.9869,5.3391,9.3479,5.1732,11.048,4.7073,0.0996,6
12,0.9584,28.9308,29.0264,21.5051,0.3738,29.757,15.4463,11.407,0.0,5.0687,8.2356,3.9353,6.9541,8.4127,8.7993,6.8363,7.7771,5.8305,0.08,5
13,1.3053,0.0042,0.4351,0.4321,10.7947,28.8466,0.083,29.9536,0.0455,6.0268,8.576,3.931,10.1351,6.6333,7.3874,6.0586,10.7896,4.4262,0.0718,6
14,1.3053,0.0042,0.4351,0.4321,10.7947,28.8466,0.083,29.9536,0.0455,6.0268,8.576,3.931,10.1351,6.6333,7.3874,6.0586,10.7896,4.4262,0.0718,6
