Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,10.0,0.0,20.0,10.0,30.0,0.0,30.0,0.0,6.0059,7.4197,3.9168,9.1287,7.0944,7.0036,6.2924,10.133,4.2958,0.0782,5
2,19.2838,20.0,28.8943,30.0,20.0,12.1982,0.0,10.0,0.0,4.8644,9.2651,3.9639,5.22,6.0134,11.3674,4.1577,5.6242,6.1353,0.1597,4
3,0.4581,28.7298,19.7387,10.0,17.7971,1.3318,11.2547,9.8291,9.5938,4.4184,13.8,3.3459,7.2365,6.5304,10.6099,3.6785,6.026,5.8937,0.1788,5
4,6.1168,30.0,30.0,20.2612,0.5529,10.0,29.7631,19.9431,1.2278,6.2982,11.5219,4.3512,6.3722,6.7785,8.9902,5.9246,7.6013,3.9436,0.0678,5
5,10.7133,29.9748,29.7232,19.5695,19.999,18.7226,2.4253,1.0863,0.4478,4.4887,10.2927,4.0742,6.2279,7.6589,9.5606,5.0256,4.7595,6.7069,0.1097,4
6,6.1922,7.5609,29.7147,9.7233,0.0036,28.9189,5.5437,20.0103,20.0121,6.5904,8.4502,4.075,7.0881,6.733,9.9518,6.6536,9.9216,3.7266,0.0836,5
7,10.7133,29.9748,29.7232,19.5695,19.999,18.7226,2.4253,1.0863,0.4478,4.4887,10.2927,4.0742,6.2279,7.6589,9.5606,5.0256,4.7595,6.7069,0.1097,4
8,10.7133,29.9748,29.7232,19.5695,19.999,18.7226,2.4253,1.0863,0.4478,4.4887,10.2927,4.0742,6.2279,7.6589,9.5606,5.0256,4.7595,6.7069,0.1097,4
9,1.3024,2.938,0.2398,29.7388,1.1454,26.6608,1.5011,29.9487,0.1805,6.0083,7.5974,3.7185,8.8786,6.1839,8.3606,5.8477,11.3392,4.4089,0.1018,5
10,20.5055,0.3445,0.6197,3.2352,30.0,29.8207,29.043,0.8357,0.3332,3.7095,7.228,4.2044,5.8167,7.6691,6.9637,7.5843,4.3453,4.5111,0.1596,4
11,16.4607,22.1034,28.8849,27.8773,27.7948,27.745,29.9752,3.1242,0.0679,5.246,6.4555,4.7949,5.4166,8.2232,6.3605,7.6374,3.2141,4.3244,0.1681,2
12,16.4607,22.1034,28.8849,27.8773,27.7948,27.745,29.9752,3.1242,0.0679,5.246,6.4555,4.7949,5.4166,8.2232,6.3605,7.6374,3.2141,4.3244,0.1681,2
13,2.2107,3.195,28.9556,0.6651,29.4364,29.0125,29.0801,25.5335,0.0145,6.7189,7.768,5.4803,8.3297,7.4118,4.2052,7.6098,4.0039,3.5756,0.1542,4
14,6.1434,28.5638,26.8631,7.7443,4.4499,1.2816,29.9493,0.8993,2.204,4.997,14.4969,3.6393,6.7852,6.1767,11.7785,5.4397,8.1386,5.1438,0.1148,4
15,0.9448,15.3252,27.2528,28.7887,25.6631,1.974,28.9999,28.4438,0.5142,7.0185,10.0648,5.1768,7.4149,5.2493,6.3106,5.7266,4.4302,3.313,0.1388,5
16,0.9703,15.6376,26.9316,27.3156,23.2321,0.0421,28.6511,0.8269,4.7832,4.8679,12.4057,4.2574,7.4757,5.0714,11.187,5.5929,5.298,5.4692,0.1305,6
17,0.4354,29.9976,29.6555,27.699,0.581,6.8579,0.1059,0.0733,9.1237,4.7433,12.127,3.3472,6.4994,6.616,12.744,3.8137,7.2856,6.7698,0.1662,4
18,0.2566,29.9316,0.0107,2.2187,11.5368,29.4468,1.3078,29.9619,9.6151,6.3676,7.4401,4.0631,7.3696,8.5841,4.4489,6.4586,7.5421,3.5006,0.1445,5
19,1.135,2.3428,0.3343,0.1561,29.0069,0.2262,28.7946,29.4046,0.0367,6.4409,12.1118,4.8432,9.0505,4.3883,5.8888,5.4339,4.7552,3.3837,0.165,4
20,1.135,0.1725,29.0655,0.1634,29.2163,29.8738,29.5418,0.5375,1.7446,4.9774,8.9285,4.9356,8.3435,7.5549,7.2136,7.6909,4.0577,5.2551,0.0847,7
21,1.8845,22.732,26.4156,0.0759,28.255,27.8692,29.6076,0.0,8.1067,5.119,9.0234,4.7589,7.2855,8.2014,6.1744,7.6394,3.4605,4.6414,0.115,5
22,1.8845,22.732,26.4156,0.0759,28.255,27.8692,29.6076,0.0,8.1067,5.119,9.0234,4.7589,7.2855,8.2014,6.1744,7.6394,3.4605,4.6414,0.115,5
23,0.0032,1.3971,1.8325,1.1068,0.2779,29.7029,27.5606,26.9275,1.6052,6.0107,8.7153,3.8784,9.3879,6.7329,7.654,7.2786,13.2953,3.7532,0.0912,6
24,1.9102,1.3971,1.8325,0.373,0.2779,29.7029,6.9665,28.0033,1.6052,5.6946,8.7462,3.5771,10.0987,6.6654,8.3258,6.221,13.3251,4.6184,0.0942,6
25,4.2885,29.9657,29.7722,0.1975,10.05,2.9163,29.4419,0.753,1.2545,5.1913,14.4633,3.9769,6.7756,6.5646,11.0794,5.4972,7.091,5.1646,0.0844,4
26,2.6683,29.1522,29.5274,0.2099,10.05,2.9163,0.9129,0.7274,29.9972,7.0309,12.4488,3.5008,4.9792,6.7442,11.3943,5.3653,6.0961,2.5957,0.1962,4
27,0.8318,7.4953,29.9742,29.8994,8.7942,29.4912,18.9628,4.4445,0.1362,4.6231,8.294,3.87,8.003,6.901,11.6797,6.8488,9.0465,6.6613,0.1039,5
28,2.6683,28.9878,29.5274,29.5466,10.05,2.9095,0.9201,0.7274,14.1318,5.126,11.8393,3.4939,6.2733,6.5017,12.4292,3.996,6.4129,5.7381,0.1485,4
29,1.9376,22.8814,29.4633,0.0275,3.9917,29.6359,0.1181,1.0948,0.6228,4.3262,9.7922,3.5803,7.8678,7.8291,10.9097,6.3171,8.92,7.648,0.1258,7
30,0.504,27.0292,29.9675,28.3775,0.8909,27.7212,0.0028,0.3247,11.6771,4.98,8.1465,3.6358,6.5715,8.093,10.3833,6.4171,7.5566,6.1152,0.1018,5
31,0.504,27.0292,29.9675,28.3775,0.8909,27.7212,0.0028,0.3247,11.6771,4.98,8.1465,3.6358,6.5715,8.093,10.3833,6.4171,7.5566,6.1152,0.1018,5
32,0.8438,22.0022,23.6059,1.6588,27.4072,0.0456,28.9526,29.4275,3.1407,7.0134,11.568,5.2224,7.6293,6.1434,4.8585,5.6395,3.9805,3.1455,0.1594,5
33,0.8438,22.0022,23.6059,1.6588,27.4072,0.0456,28.9526,29.4275,3.1407,7.0134,11.568,5.2224,7.6293,6.1434,4.8585,5.6395,3.9805,3.1455,0.1594,5
34,0.0839,27.8537,0.0024,29.9694,7.4957,25.8013,0.0497,29.6587,3.1243,6.0812,7.1034,3.8301,7.2951,7.9824,5.9373,5.8595,7.9724,3.9676,0.0996,5
35,0.8438,1.8297,23.6059,1.4475,27.4072,0.1153,28.9526,29.4431,1.6316,6.9472,12.085,5.2188,8.5691,4.1973,6.2916,5.5091,4.983,3.3339,0.1707,5
36,0.8029,1.8317,29.5357,18.5998,25.0739,1.945,29.7496,29.6911,0.0919,7.2673,11.2543,5.3561,8.0834,3.9639,6.7341,5.6532,5.2796,3.2424,0.1827,7
