Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,10.0,0.0,20.0,10.0,30.0,0.0,30.0,0.0,6.0059,7.4197,3.9168,9.1287,7.0944,7.0036,6.2924,10.133,4.2958,0.0782,5
2,1.002,9.7602,29.7325,10.0,0.0,29.055,20.2513,29.2581,10.0,7.2069,8.0708,4.772,8.1212,6.807,7.1939,6.9026,10.3369,3.4436,0.0858,5
3,0.3746,9.0194,29.7363,10.0,0.0,29.9482,0.234,30.0,9.8222,7.0871,7.7939,4.6819,8.3339,6.9184,7.3891,6.3935,10.3962,3.9114,0.0583,5
4,0.2092,9.4334,20.2524,0.0101,0.0008,21.0043,20.9236,27.8474,0.0742,6.4144,10.8955,4.1429,8.9663,5.3978,9.0166,5.7489,11.4284,4.1595,0.107,6
5,1.0758,8.9716,19.9808,9.7497,30.0,30.0,29.2588,0.7915,10.0,4.5982,8.5206,4.5792,8.0971,7.7615,6.7097,7.7079,3.8056,4.6327,0.1124,6
6,1.8262,8.3677,8.6686,8.9889,0.0002,29.9545,19.8857,29.0021,0.3508,6.2012,8.3446,3.9569,9.371,6.866,7.2952,6.7466,12.1663,3.8993,0.079,5
7,1.8262,8.3677,8.6686,8.9889,0.0002,29.9545,19.8857,29.0021,0.3508,6.2012,8.3446,3.9569,9.371,6.866,7.2952,6.7466,12.1663,3.8993,0.079,5
8,1.8262,8.3677,8.6686,8.9889,0.0002,29.9545,19.8857,29.0021,0.3508,6.2012,8.3446,3.9569,9.371,6.866,7.2952,6.7466,12.1663,3.8993,0.079,5
9,1.8262,8.3677,8.6686,8.9889,0.0002,29.9545,19.8857,29.0021,0.3508,6.2012,8.3446,3.9569,9.371,6.866,7.2952,6.7466,12.1663,3.8993,0.079,5
10,1.8262,8.3677,8.6686,8.9889,0.0002,29.9545,19.8857,29.0021,0.3508,6.2012,8.3446,3.9569,9.371,6.866,7.2952,6.7466,12.1663,3.8993,0.079,5
11,1.8262,8.3677,8.6686,8.9889,0.0002,29.9545,19.8857,29.0021,0.3508,6.2012,8.3446,3.9569,9.371,6.866,7.2952,6.7466,12.1663,3.8993,0.079,5
12,1.8262,8.3677,8.6686,8.9889,0.0002,29.9545,19.8857,29.0021,0.3508,6.2012,8.3446,3.9569,9.371,6.866,7.2952,6.7466,12.1663,3.8993,0.079,5
13,1.817,5.5338,8.6686,8.9809,0.5459,29.9545,19.8725,29.0021,0.3334,6.2083,8.3873,3.9605,9.503,6.8008,7.4194,6.7497,12.5175,3.902,0.0797,5
14,1.817,5.5338,8.6686,8.9809,0.5459,29.9545,19.8725,29.0021,0.3334,6.2083,8.3873,3.9605,9.503,6.8008,7.4194,6.7497,12.5175,3.902,0.0797,5
