Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,10.0,0.0,20.0,10.0,30.0,0.0,30.0,0.0,6.0059,7.4197,3.9168,9.1287,7.0944,7.0036,6.2924,10.133,4.2958,0.0782,5
2,0.0,10.0,0.0,0.0555,16.0753,29.8186,0.0,30.0,0.0,6.0092,8.0889,4.0944,9.6235,7.2277,6.3031,6.262,8.8563,4.3512,0.0551,4
3,0.0,10.0,0.0,20.0,4.3813,29.2962,0.0,27.9324,0.0,5.6829,7.9653,3.5592,9.1501,6.8647,8.091,6.1621,11.2085,4.6599,0.0947,5
4,0.0,0.6444,0.0,20.0,4.6479,29.2962,0.0,27.9324,0.0003,5.7003,8.0342,3.571,9.4571,6.606,8.3521,6.1718,11.7223,4.7212,0.0973,5
5,0.0,20.0,10.0,1.0614,4.1445,28.7565,11.6187,28.8827,0.1952,6.1491,8.5949,3.8164,8.6868,7.4342,6.7804,6.2926,10.2652,4.1593,0.0729,6
6,0.0,29.8597,0.0,0.2346,20.9556,29.8107,1.8074,10.0,21.691,5.1885,7.9434,3.3623,6.2887,8.9066,6.4977,7.0363,4.8608,3.6861,0.1317,2
7,9.3474,0.0,29.9617,29.6626,27.6185,0.1128,22.9654,0.0986,9.6342,5.1324,11.4196,4.5339,6.9545,4.367,11.1701,5.1865,4.0265,5.5123,0.1632,3
8,9.9026,2.4655,29.2664,29.4841,0.4979,28.7588,22.2707,2.248,1.1559,4.7139,8.2077,3.7634,7.3025,6.5404,12.3749,6.9996,10.1079,6.0915,0.1106,5
9,1.3389,27.9907,1.3125,2.5122,21.5095,0.0087,19.7357,27.7866,0.4992,6.0385,12.1384,4.2387,7.695,6.5976,6.1498,4.3459,5.4723,3.8802,0.1022,4
10,1.3389,27.9907,1.3125,2.5122,21.5095,0.0087,19.7357,27.7866,0.4992,6.0385,12.1384,4.2387,7.695,6.5976,6.1498,4.3459,5.4723,3.8802,0.1022,4
11,2.2657,2.1619,29.6016,11.6338,21.8932,29.6825,29.9826,2.8171,0.0861,5.0271,9.2001,4.5937,8.3393,7.1454,8.995,7.5691,6.4909,5.2293,0.0581,6
12,2.2657,0.0931,29.6016,3.9144,21.1395,28.2176,29.9826,2.8171,0.0861,5.0347,9.9443,4.5412,8.4168,6.8949,9.4252,7.4361,6.7635,5.3283,0.0626,6
13,2.2657,0.0942,29.6016,0.0065,0.1603,28.0479,0.8931,27.5026,0.0861,6.5999,9.0253,4.498,8.9753,6.3496,8.7756,6.0273,11.0577,4.8662,0.0553,7
14,1.4361,27.5718,29.6158,1.1657,17.679,28.4092,0.6927,3.0836,0.8335,4.3883,9.5033,4.0379,7.385,8.3656,8.7347,6.3071,5.8977,7.1092,0.104,7
15,18.6847,0.583,26.7425,0.8678,28.3951,2.5966,29.7068,4.4572,0.0101,5.095,12.2017,4.55,5.92,4.4608,10.3042,5.5516,4.4856,4.8518,0.1578,4
16,0.6677,13.8891,28.7765,27.8919,28.097,0.0001,29.8792,0.0609,0.0023,4.9898,11.9602,4.6392,7.4238,5.2517,9.8699,5.8253,3.7157,5.4609,0.1435,5
17,18.6847,0.583,26.7425,0.8678,28.3951,2.5966,29.7068,4.4572,0.0101,5.095,12.2017,4.55,5.92,4.4608,10.3042,5.5516,4.4856,4.8518,0.1578,4
18,8.3334,28.7049,1.1587,22.5579,2.284,28.9628,28.7451,0.6349,0.0209,3.5638,8.4053,2.8369,6.6694,8.3301,8.8735,7.478,8.5888,4.9114,0.1928,5
19,8.3331,28.7142,29.7238,22.5579,2.3417,28.9628,28.8729,29.1073,1.39,7.2633,6.4989,4.9448,6.2545,8.3031,4.6523,7.5843,7.7612,2.8198,0.1786,5
20,10.1293,27.2184,1.5962,0.0164,10.9473,29.8351,29.1748,1.8998,0.0062,3.6228,8.9241,3.101,6.8981,8.4071,8.3392,7.4965,8.1393,4.7886,0.1772,6
21,0.0,0.9382,0.6452,19.4479,4.7906,26.6561,19.4082,28.3686,0.7694,6.0117,8.7647,3.7787,9.2232,6.1005,8.1837,6.3949,11.7269,4.0574,0.0999,6
22,1.9299,29.7529,29.9189,4.9682,0.0741,29.9966,29.9374,3.1682,0.1034,5.2531,9.1667,4.126,6.8665,8.5903,8.3276,7.6485,7.9357,4.8455,0.0629,6
23,1.9299,2.3172,29.9189,4.9682,0.0741,29.9966,29.8519,0.1468,0.7611,5.0803,10.0089,4.038,8.4781,6.7759,11.4164,7.5065,11.0281,5.5249,0.0803,6
24,2.889,28.4651,27.9301,28.8451,0.0,29.4953,0.1717,3.7689,3.3579,4.2757,7.8306,3.5255,6.8539,8.3897,9.9175,6.4859,7.6506,6.92,0.1332,5
25,6.7191,3.6851,0.9002,26.5319,0.0238,28.8499,0.1997,28.8913,0.1397,5.8392,7.22,3.6471,8.5432,6.5739,8.2811,6.1595,11.612,4.4759,0.1035,4
26,6.7191,3.6851,0.9002,26.5319,0.0238,28.8499,0.1997,28.8913,0.1397,5.8392,7.22,3.6471,8.5432,6.5739,8.2811,6.1595,11.612,4.4759,0.1035,4
27,6.6381,0.421,29.7314,0.4201,29.9599,1.6024,27.6695,29.9967,0.8468,7.2347,11.4332,5.5696,7.9305,4.4623,5.6019,5.4781,3.7422,3.3603,0.1858,4
28,6.126,28.5343,29.8842,21.0591,1.4219,28.5485,5.451,29.5627,0.0749,6.9181,6.8978,4.6997,6.7554,8.1932,5.633,6.4302,7.8122,3.9185,0.0892,4
29,10.1341,3.3645,1.4448,0.4952,28.9122,28.2565,1.1123,28.8353,0.1068,5.883,7.5577,4.679,8.4487,7.2061,4.6332,6.2196,4.7961,4.1704,0.1077,2
30,10.6648,23.8697,2.252,23.614,28.2745,0.3116,5.6413,29.6504,2.1849,6.0567,9.8075,4.5046,6.9673,6.3674,5.3841,3.5303,3.5614,3.8847,0.1782,2
31,1.502,23.7086,0.0063,23.703,1.0665,0.7706,20.1442,29.6309,0.7029,6.3187,11.472,3.7089,7.7579,5.3514,8.5155,4.2898,9.419,3.8199,0.1509,5
32,2.7628,0.9922,26.0384,1.523,27.0578,28.6812,1.5982,29.3067,2.7923,6.6325,7.8075,5.1845,8.9146,7.1904,4.9186,6.3237,4.9913,4.2289,0.0889,4
33,0.3355,1.6412,0.2004,0.2732,26.059,26.0697,0.0,29.0803,0.8247,5.8858,8.7833,4.5141,9.823,6.7894,5.6257,5.7888,5.7916,4.4126,0.059,4
34,0.1495,9.5676,1.3134,0.0,29.5573,29.4935,2.7452,29.9716,0.0,5.9875,7.4064,4.8148,9.3884,7.6597,3.7437,6.3965,4.3193,4.1444,0.1568,4
