Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,14.992,20,0,2.496,25.008,22.496,14.992,22.512,14.992,5.8696,8.7226,4.1199,6.2831,7.3012,6.3743,6.1221,5.0259,3.3747,0.1025,3
2,14.992,20,0,2.496,25.008,22.496,14.992,22.512,14.992,5.8696,8.7226,4.1199,6.2831,7.3012,6.3743,6.1221,5.0259,3.3747,0.1025,3
3,14.992,20,0,2.496,25.008,22.496,14.992,22.512,14.992,5.8696,8.7226,4.1199,6.2831,7.3012,6.3743,6.1221,5.0259,3.3747,0.1025,3
4,14.992,20,0,2.496,25.008,22.496,14.992,22.512,14.992,5.8696,8.7226,4.1199,6.2831,7.3012,6.3743,6.1221,5.0259,3.3747,0.1025,3
5,14.992,20,0,2.496,25.008,22.496,14.992,22.512,14.992,5.8696,8.7226,4.1199,6.2831,7.3012,6.3743,6.1221,5.0259,3.3747,0.1025,3
6,14.992,20,0,2.496,25.008,22.496,14.992,22.512,14.992,5.8696,8.7226,4.1199,6.2831,7.3012,6.3743,6.1221,5.0259,3.3747,0.1025,3
7,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
8,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
9,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
10,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
11,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
12,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
13,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
14,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
15,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
16,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
17,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
18,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
19,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
20,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
21,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
22,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
23,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
24,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
25,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
26,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
27,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
28,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
29,8.317,20.6827,18.5063,18.4345,26.917,25.0485,16.1499,16.7201,16.9027,5.7525,8.2639,4.2928,6.665,7.708,6.5084,6.6485,3.8767,3.6813,0.1051,3
