Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,weighted_sum,Fitness,Nc
1,0.0,17.3803,11.5728,3.028,0.0,30.0,25.5081,24.2992,12.5706,6.211948,8.472388,3.828393,7.968516,7.54633,7.38903,7.320602,10.447013,3.382026,0.5814,0.1068,6
2,9.8117,21.519,26.7139,0.9344,24.851,17.7559,20.6569,0.5431,25.9574,6.607055,10.257026,4.266483,5.474459,7.117193,8.641795,6.690649,3.950921,2.779563,0.5295,0.1675,4
3,0.7821,12.3471,23.5877,19.0776,16.9023,27.5716,21.9907,16.6665,12.0163,5.668201,8.743269,4.118531,7.760309,7.021225,8.723586,6.997243,7.547451,4.461065,0.6097,0.0551,5
4,9.3952,16.7927,12.9464,3.3347,5.7436,19.2287,0.1716,21.7918,18.8628,6.064119,10.862332,3.167655,6.971536,5.956064,10.357321,5.137156,9.751206,3.661444,0.5502,0.148,4
5,1.3669,7.1879,24.1677,18.8122,14.5769,29.3861,19.4531,18.3746,9.561,5.581264,8.435617,4.143332,8.239868,6.933746,9.067464,6.945851,8.479248,4.692985,0.6403,0.0571,5
6,0.0,2.7823,30.0,11.058,6.4584,23.8546,22.0083,6.1156,0.0,4.891318,11.631775,3.800032,8.661951,5.616456,13.002182,6.176357,10.384419,6.495533,0.6347,0.125,6
7,0.0,0.0,30.0,25.1864,10.6066,30.0,2.6606,14.0021,0.0,4.971535,8.234422,4.018345,8.387816,6.877778,11.059517,6.347917,9.100224,6.878809,0.6271,0.0842,5
8,10.4713,22.1077,10.6446,0.5455,11.6825,27.1029,2.5424,20.6706,19.6621,6.004953,8.463517,3.400775,6.491237,7.598269,8.058102,6.361366,8.191189,3.440697,0.5209,0.1272,5
9,0.0,0.0,30.0,15.3461,0.0,30.0,21.357,30.0,0.0,7.165728,7.692706,4.878606,8.522043,6.727106,7.102466,7.060454,10.725327,3.75391,0.6041,0.0724,6
10,0.0,14.8023,30.0,23.9522,0.0,30.0,18.3591,6.1463,0.0,4.738075,8.646158,3.793863,7.860142,7.284953,11.263788,6.896161,9.568876,6.547284,0.6715,0.0994,6
11,0.0,22.2078,30.0,13.2178,4.5151,30.0,30.0,0.0,0.0,5.214487,9.210215,4.060945,7.455049,7.864991,9.542579,7.594226,8.807371,5.164613,0.6375,0.0674,7
12,19.4987,10.9335,9.8615,27.9491,10.5259,24.4942,29.378,12.0406,12.4439,5.10882,7.592569,3.288585,5.312741,6.539001,10.475139,6.966027,9.264853,3.587917,0.5382,0.1661,3
13,0.0,8.4203,17.2618,22.6132,0.0,30.0,24.4345,9.9617,0.0,4.16947,8.920028,3.218139,8.549096,6.947649,11.075749,7.105685,11.01347,5.740825,0.6182,0.1517,6
14,0.0,16.3078,30.0,19.4194,11.7808,30.0,9.5339,0.0,0.0,4.37434,8.919195,3.812257,8.040637,7.452151,10.94812,6.565323,8.239843,7.442296,0.6206,0.1134,6
15,11.0581,5.8428,30.0,15.8968,0.0,0.0,30.0,0.0,0.0,5.16759,14.365262,3.754013,7.294739,2.190095,15.392046,5.347472,10.587857,5.554679,0.5983,0.2514,5
16,14.4316,12.1408,30.0,20.71,0.0,30.0,22.301,0.0,0.0,4.908324,8.121933,3.832577,6.510224,7.121834,11.464531,7.09573,9.957778,5.77891,0.5522,0.0961,4
17,0.0,18.7439,30.0,16.5072,0.0,30.0,13.7481,17.6188,0.0,5.622127,8.575408,4.080058,7.965745,7.493678,9.474418,6.698039,9.315192,5.651761,0.5589,0.0542,6
18,0.0,6.0739,30.0,30.0,4.9754,18.1714,17.7977,0.0,0.0615,4.524621,11.273668,3.575542,8.057612,4.747187,14.723527,5.314508,9.624261,7.344532,0.6281,0.1704,5
19,0.0,27.9598,30.0,0.0,0.0,0.3324,30.0,0.0,0.0,5.270966,14.988199,3.858346,6.999541,6.158753,11.940412,5.524115,8.182665,5.384015,0.611,0.0973,5
20,0.0,0.0,30.0,30.0,11.4523,30.0,23.9957,15.7151,0.0,5.631201,7.504131,4.332084,7.936757,6.941926,9.76702,7.219041,8.697506,5.249205,0.619,0.0601,5
21,2.4899,15.92,24.8413,18.0716,21.3333,26.5033,23.6708,18.1931,8.5037,5.738231,8.752782,4.51123,7.73591,7.213291,7.60457,6.925249,6.073928,4.297271,0.5511,0.0316,5
22,0.0,24.7981,30.0,30.0,0.0,30.0,23.6219,0.0,3.8432,4.988445,7.639582,3.929041,6.90367,8.127063,9.764477,7.274807,8.013962,5.692196,0.6492,0.0893,5
23,0.8876,8.5467,28.8813,20.0712,16.284,29.7502,25.6824,12.4934,12.4052,5.772849,8.386097,4.318722,7.641152,7.210745,9.168565,7.430353,7.542343,4.423493,0.5983,0.0386,4
24,17.1904,26.3604,1.9386,0.9431,12.1829,28.1997,17.9525,10.9989,23.0509,5.815237,7.455155,2.995811,4.805564,8.259007,8.038033,7.210376,7.32192,2.817158,0.4571,0.2096,4
25,0.136,9.8718,17.7457,18.9527,23.7757,29.077,14.7268,8.8248,13.9859,4.484152,8.487303,3.86289,8.002512,7.407462,8.803862,6.877477,5.697469,5.10293,0.6006,0.1065,5
26,28.7791,30.0,0.0,0.0,0.0,30.0,30.0,0.0,8.3721,4.695818,5.564659,3.0368,2.837525,8.696046,8.017698,7.644466,8.689552,3.232401,0.5649,0.2857,4
27,0.0,10.8421,30.0,30.0,0.0,30.0,9.6197,0.0,10.4151,4.768136,7.974554,3.595571,7.59328,7.123193,12.147084,6.651792,9.398133,6.559239,0.63,0.1113,5
28,13.5166,5.3385,29.963,14.7629,3.9954,5.408,25.4228,0.2324,0.5335,5.010329,13.938608,3.582255,6.974075,2.493282,15.790395,4.812239,10.487128,5.957826,0.5749,0.2478,4
29,6.1417,17.551,7.8386,0.0,0.0,0.0,30.0,30.0,0.0,6.649551,12.821387,3.980368,8.094306,4.24832,8.544955,5.295542,10.905637,3.224023,0.6026,0.1822,5
30,0.0,8.3286,30.0,0.0,0.0,6.2567,30.0,17.0125,0.0,5.983986,14.751661,4.100805,8.36201,2.878716,12.795197,5.400335,10.691745,4.850392,0.6681,0.2111,5
31,0.0,11.4222,30.0,0.0,0.0,9.9985,30.0,6.3308,13.071,5.74943,14.573281,3.762929,7.61084,4.06048,13.826269,5.896757,10.095994,4.613175,0.6006,0.1696,6
32,2.2526,6.2308,26.4073,21.765,10.7177,28.3313,25.7026,18.6627,12.3754,6.157435,8.431511,4.251334,7.7348,6.731965,9.243553,7.237179,9.099737,3.919866,0.603,0.0669,5
33,4.8175,13.7105,25.358,17.758,15.8719,27.6452,22.3236,17.4666,17.6537,6.332026,8.304923,4.194353,7.023376,7.080153,8.460604,7.22866,7.457846,3.50503,0.6319,0.0872,5
34,15.3673,7.856,30.0,0.0,0.0,0.0,30.0,26.3457,0.0,6.99462,12.206357,4.578499,6.608066,2.547492,10.39674,5.3172,10.734319,3.472749,0.5617,0.2344,4
35,3.5663,11.3006,19.4222,20.103,29.4671,27.4578,18.5192,5.059,14.4811,4.574569,8.523079,4.27697,7.604354,7.462664,7.586379,7.022791,3.62531,4.860738,0.5535,0.1265,5
36,0.0,0.0,19.7965,0.0,0.0,16.3471,30.0,23.3682,0.0,6.116334,12.497609,3.991353,8.892097,4.207766,10.602568,6.077478,12.015131,4.145455,0.6228,0.1589,6
37,2.8598,5.9921,25.4274,22.6301,12.2769,29.0306,27.4886,10.1575,9.5035,5.217816,8.706687,4.015955,7.877375,6.852188,10.232,7.415955,8.9681,4.741877,0.6232,0.0754,6
38,0.0,0.0,30.0,15.4544,0.0,1.1981,30.0,17.4933,0.0,6.042605,14.268915,4.145428,8.295661,1.567173,13.156274,5.341613,10.721266,4.856277,0.646,0.2677,6
39,0.0,11.8267,18.8984,8.1848,0.0,0.0,30.0,11.5525,0.0,4.758059,15.663413,3.211115,8.571009,3.148148,13.815162,5.187758,11.228137,5.373058,0.603,0.2339,5
40,1.0701,7.7638,26.4071,17.2481,21.3777,28.9414,20.4324,19.8218,7.478,5.802723,8.253017,4.654024,8.287414,7.042628,7.63528,6.981597,6.491336,4.654079,0.5322,0.027,5
41,0.0,1.8738,21.9111,17.5211,6.3437,30.0,11.1952,12.2933,13.7738,4.978792,8.970635,3.339056,8.226062,6.795582,11.291282,6.682785,10.377555,5.270511,0.5991,0.1204,6
42,0.5946,13.805,16.3061,24.6437,3.1559,27.5681,24.8942,7.1666,1.1983,3.91463,9.372447,3.011298,8.178212,6.808548,11.390369,6.899606,10.378523,5.764074,0.6259,0.1726,6
43,0.0,13.149,26.1068,30.0,9.8386,30.0,14.6239,9.1604,6.8199,4.587401,7.787933,3.695347,7.799315,7.238024,10.873533,6.812375,8.727093,6.235588,0.6618,0.1138,5
44,0.0164,13.0847,27.5758,19.8336,12.3175,26.5102,16.7379,16.2383,6.239,5.395277,9.363952,4.066953,8.103899,6.621042,10.107525,6.364411,8.59959,5.46743,0.6236,0.0724,6
45,2.4338,9.0072,24.469,23.2672,12.4437,27.2253,23.7566,8.6995,7.7112,4.761587,9.291241,3.802893,8.031212,6.585201,10.956598,6.91348,8.860385,5.39626,0.6155,0.1057,6
46,0.0,0.0,30.0,4.0354,0.0,5.4019,16.216,19.4566,0.0,5.77499,14.811523,3.964091,8.883081,1.689142,13.756302,3.598778,11.020435,5.947136,0.5984,0.289,5
47,0.0,21.4919,19.8394,30.0,0.0,30.0,10.5079,0.0,0.0,3.369722,8.003087,2.902989,7.659501,7.85298,10.933911,6.623589,9.03006,7.218312,0.5909,0.1977,6
48,16.737,30.0,0.0,0.0,0.0,30.0,30.0,30.0,0.0,6.780151,6.264627,4.289939,5.590059,8.67032,3.849523,7.624403,8.772039,2.47752,0.6358,0.2332,4
49,0.0,30.0,0.0,0.0,0.0,30.0,30.0,10.7358,0.0,4.247512,9.114018,3.178173,7.30946,8.647016,7.680492,7.582483,8.757662,4.600833,0.5296,0.1489,7
50,16.6038,30.0,0.0,0.0,0.0,16.496,13.1999,30.0,0.0,6.392931,9.474973,3.744361,5.876562,7.21645,6.723722,4.782859,8.765077,3.473962,0.5975,0.1267,4
51,0.0,0.0,30.0,0.0,0.0,9.5065,30.0,5.2478,0.0,5.207293,15.498237,3.76155,8.476241,2.815867,14.859521,5.573987,11.01719,5.827888,0.6003,0.2247,6
52,0.0,21.2412,30.0,0.0,0.0,13.4876,30.0,23.6695,0.0,6.738535,12.363025,4.509343,7.606769,5.735679,9.202684,5.981004,9.266553,3.907831,0.6316,0.0921,6
53,20.0055,8.08,0.0,0.0,0.0,30.0,30.0,30.0,0.0,6.69256,6.516047,4.192753,5.971943,7.025188,6.242585,7.453377,12.469208,2.671184,0.6525,0.1709,3
54,6.3481,0.0,0.0,13.4145,0.0,30.0,30.0,30.0,0.0,6.550046,7.756015,4.204363,8.616904,6.779134,6.544185,7.505069,12.667839,3.124682,0.5345,0.1182,5
55,30.0,20.1197,0.0,0.0,0.0,30.0,30.0,30.0,0.0,6.993162,4.14099,4.264996,3.183623,7.845028,5.102017,7.545676,10.541382,2.014195,0.5247,0.3204,4
56,14.6617,8.3729,16.8802,0.0,0.0,30.0,30.0,30.0,0.0,6.916063,7.280792,4.438176,7.03268,6.980637,6.330469,7.477091,11.748134,2.870951,0.5945,0.1345,4
57,11.3445,14.456,0.0,0.0,0.0,18.5908,30.0,30.0,0.0,6.633044,10.321905,4.031805,7.532769,5.512486,7.670876,6.284786,11.511216,3.043566,0.5102,0.1493,6
58,0.0,11.7348,30.0,13.2304,0.0,15.1386,30.0,11.8383,0.0,5.553476,13.187492,4.00188,8.083787,4.685387,12.73554,5.999666,10.257397,5.225038,0.6342,0.1391,6
59,0.0,8.2145,30.0,30.0,0.0,30.0,30.0,0.0,0.0,5.073027,8.078943,4.038513,7.700254,7.014363,11.155741,7.623718,9.749756,5.434127,0.5843,0.0787,5
60,23.5219,0.0,0.0,0.0,0.0,30.0,17.1954,30.0,0.0,6.458635,5.977524,3.954426,5.425095,6.833126,7.199612,6.63154,13.291104,3.174899,0.6399,0.1714,4
61,0.0,30.0,28.108,18.9918,0.0,30.0,30.0,7.3522,15.9259,6.039616,7.867004,4.059492,6.05348,8.668087,7.795833,7.966826,7.406642,3.512461,0.5985,0.1032,5
62,0.0,7.4874,30.0,0.0,0.0,30.0,30.0,13.2044,5.3619,5.71137,9.613439,4.247128,8.328571,6.894553,10.200826,7.491838,10.744609,4.699984,0.6476,0.0496,6
63,0.0,0.0,30.0,30.0,0.0,0.0,14.7278,11.7698,0.0,4.996793,13.012159,3.604578,8.138881,1.565328,16.034896,3.688268,9.998468,7.253143,0.5507,0.3027,5
64,0.0,10.22,21.2597,5.1621,9.3463,30.0,30.0,4.8713,10.9426,4.90338,9.663538,3.622698,8.106988,7.191994,10.335983,7.543281,9.920117,4.648133,0.5805,0.1029,6
65,0.0,30.0,15.6937,0.0,0.0,0.0,14.2045,30.0,7.6569,6.645647,12.324465,3.969979,7.34525,6.405233,7.568651,3.793373,8.461006,3.713222,0.5398,0.1407,5
66,0.0,4.7545,17.044,30.0,11.0766,30.0,10.2835,18.1958,0.0,4.640709,7.601718,3.465373,8.629791,6.954855,10.010779,6.461768,9.397188,5.875804,0.6611,0.127,5
67,0.0,0.0,19.8351,30.0,18.14,30.0,6.126,1.164,0.0,2.993942,8.003505,3.398391,8.531753,7.134983,11.034402,6.542826,7.537841,7.946719,0.5692,0.195,5
68,0.0,0.0,19.0053,30.0,5.1958,30.0,0.0,30.0,0.0,6.41734,6.588268,4.167706,8.566615,6.815636,7.615666,6.413748,10.41418,4.382026,0.604,0.0925,5
