Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,14.4522,21.2137,7.053,21.942,0.6694,5.3261,10.3666,21.4459,6.7075,5.1562,11.6152,2.7723,6.5826,5.0649,11.5089,3.315,9.8383,4.7941,0.6819,4
2,25.5054,2.5377,7.5288,13.5563,11.8738,22.9256,1.6488,24.8422,13.4007,6.1086,7.1122,3.5312,4.5669,5.7684,9.4697,5.3714,9.942,3.2578,0.5894,3
3,19.0265,3.206,10.5614,10.816,15.1209,14.912,9.5964,23.3086,2.0306,5.3165,10.5512,3.4802,6.5432,4.4348,10.7287,3.9229,9.3288,4.6402,0.5849,4
4,0.1744,23.3869,24.6843,12.122,3.8977,25.2909,3.5618,12.86,27.8209,6.8761,8.9999,3.4357,5.7447,7.5583,9.8441,6.7181,7.9029,2.6754,0.5266,6
5,22.5462,23.7399,22.6587,17.5033,23.4382,14.07,16.1891,13.0335,20.8108,6.2368,8.4059,4.0965,3.8128,6.885,8.5523,5.6981,4.473,2.8357,0.6193,3
6,3.7127,14.2635,25.2892,12.8013,26.258,28.1589,18.0286,12.0597,0.8502,4.7068,8.9911,4.5322,8.2262,7.4786,7.6935,6.7123,4.778,5.7484,0.227,5
7,3.4756,3.9126,24.8343,2.8067,15.3152,18.5869,22.166,3.6387,14.4914,5.0806,12.7197,3.6447,8.0167,5.1662,12.6654,5.9798,8.4668,5.0498,0.4222,6
8,15.8481,7.5854,16.2578,9.1785,23.7582,25.1448,21.3251,24.8798,16.4346,6.6289,7.7559,4.5271,6.2966,6.7857,6.3542,6.6826,6.0038,2.7835,0.4196,3
9,9.4617,23.0295,20.7183,17.9405,27.4425,20.5908,17.5678,13.7376,13.6483,5.2534,9.4744,4.342,6.5968,7.4251,7.2226,6.1235,3.5471,4.2253,0.3408,3
10,24.5487,28.5059,12.5263,5.9148,15.8888,27.7089,9.0056,19.8719,18.0127,6.1377,5.8555,3.6688,3.6731,8.4018,6.4008,6.5594,6.4329,2.8143,0.7203,4
11,13.6573,11.5029,22.1837,15.3106,12.8358,20.4884,16.6288,26.6949,23.0142,7.4032,8.5173,4.2677,5.7552,5.9343,8.119,6.3106,8.2233,2.2238,0.586,5
12,19.2067,8.5083,5.6092,14.9287,4.8591,7.3237,23.7693,13.2724,19.8902,5.6301,11.487,2.4474,5.2634,3.6277,13.3317,5.254,10.5678,3.1394,0.8158,3
13,8.0406,6.5243,25.9771,11.5191,11.9707,27.4758,13.6771,20.6064,14.2851,6.1289,8.9575,4.1612,7.629,6.4904,9.4196,6.5079,9.0988,4.2003,0.2007,6
14,22.4748,25.3376,7.4675,0.2416,6.2284,12.4858,23.8202,6.0326,18.0021,5.337,10.4797,2.3739,4.1844,6.4457,11.4449,5.5912,8.715,3.2893,0.7222,4
15,19.1397,18.4719,20.1914,23.1962,15.7783,26.4305,24.8069,25.91,28.3051,7.9818,5.1583,4.3772,3.8136,7.6048,5.6173,7.8132,6.4751,1.0391,0.9897,4
16,4.9887,2.5452,19.6938,2.5648,17.7059,29.5299,25.2918,23.5785,18.0807,6.7441,8.0488,4.3954,7.5312,7.0716,7.0025,7.5065,7.9209,2.8771,0.3785,5
17,16.3162,14.3288,17.6726,19.5388,12.7611,26.1182,5.7121,18.3626,3.3713,4.8092,8.2761,3.4488,6.5787,6.7575,9.9974,5.7545,8.8725,5.2393,0.3643,4
18,25.865,5.2194,25.3016,15.5737,13.6821,16.1372,8.7535,11.6162,26.6567,6.9193,8.0478,3.5505,3.1882,5.2245,12.2025,5.7607,7.9194,2.3672,0.8269,4
19,3.1033,14.4536,9.9848,26.2787,13.1944,2.0866,3.302,15.3864,1.2268,3.6796,13.0091,2.6541,8.4691,4.0138,13.3505,2.4832,8.7662,6.8815,0.9308,5
20,16.3666,23.0527,6.8181,3.761,6.3433,14.2171,19.1308,26.7836,4.6098,6.0549,10.6632,3.512,6.3764,6.0493,8.5615,4.7296,9.6206,3.7124,0.4094,4
21,2.7018,20.4389,28.3804,12.3831,12.8363,10.2914,20.2512,14.1963,28.0996,7.295,11.5894,3.9067,5.7226,5.8713,10.6095,6.1936,6.8698,2.2793,0.5988,5
