Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,10.0,0.0,20.0,10.0,30.0,0.0,30.0,0.0,6.0059,7.4197,3.9168,9.1287,7.0944,7.0036,6.2924,10.133,4.2958,0.0782,5
2,0.0,0.1191,0.0,10.2069,30.0,20.0,0.0,20.0,0.0,4.292,10.7512,4.2106,9.641,6.142,7.7108,4.8815,4.3077,5.9596,0.1336,4
3,10.0001,0.1245,29.1228,10.2125,0.6628,20.4225,0.0897,10.0424,0.0076,4.6388,11.9905,3.5129,8.0263,4.9001,14.4208,4.6514,11.0177,7.6233,0.1724,5
4,1.1417,0.3092,28.8736,10.2125,0.0161,20.4225,0.0897,9.9494,0.0076,4.5415,12.5638,3.4966,9.0066,4.9071,14.4321,4.6553,11.0403,8.1785,0.1751,5
5,1.1527,1.4225,28.6212,9.8633,0.0164,28.5081,0.0893,1.5312,1.2205,4.0667,10.4186,3.4565,9.0266,6.4101,13.2913,6.0323,11.0791,8.5854,0.1503,6
6,0.05,28.0701,28.5828,0.0553,20.0,7.2673,9.6359,0.0,8.3324,4.6518,13.783,3.877,7.149,6.6319,10.7609,3.9351,5.2038,6.5893,0.1421,5
7,0.3552,0.1262,28.4798,0.3541,28.9474,19.7495,0.0005,0.0104,0.0,4.0819,11.9124,4.4702,8.8654,6.0327,10.1732,4.9827,4.1729,8.3963,0.142,4
8,0.3722,2.8013,28.536,0.0023,27.2528,19.7495,0.0005,0.0002,0.004,4.0794,12.0803,4.3489,8.8944,5.9129,10.7037,4.9171,4.7858,8.443,0.1371,4
9,0.1048,2.7974,29.8057,0.0023,27.2528,19.6925,0.2468,0.0002,0.004,4.2183,12.0757,4.4212,8.8332,5.9032,10.7079,4.9196,4.7239,8.4475,0.1308,4
10,0.3791,2.7379,28.5488,0.3986,26.024,20.7685,0.0018,0.0002,0.004,4.0775,11.9097,4.2891,8.9179,5.9861,10.9286,5.0465,5.1859,8.4457,0.134,5
11,0.0927,0.0031,29.8168,0.4226,0.0135,19.8417,15.9211,0.0682,0.0056,4.4736,13.2675,3.5552,8.9127,4.8018,14.8621,5.1902,11.0346,7.8084,0.1715,5
