Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,30.0,30.0,10.0,20.0,20.0,30.0,10.0,20.0,6.5701,10.0565,4.6022,5.7786,7.9475,7.1276,7.1472,4.5464,2.9365,0.1338,5
2,15.0,27.3862,0.7158,13.1145,25.0,15.0,15.0,30.0,0.4772,6.3525,8.993,4.514,6.2229,7.3278,4.5358,4.9396,4.39,3.3367,0.149,2
3,15.0,27.3862,0.7158,13.1145,25.0,15.0,15.0,30.0,0.4772,6.3525,8.993,4.514,6.2229,7.3278,4.5358,4.9396,4.39,3.3367,0.149,2
4,22.1619,21.3492,25.0642,3.2792,24.5345,15.0,5.1783,25.0512,18.0208,7.0177,8.2039,4.645,4.3468,6.7868,6.6735,5.0641,4.5944,2.7591,0.1878,2
5,15.0,2.4974,14.1401,15.2591,28.0966,24.3137,0.0749,25.4701,14.0986,6.1303,7.7032,4.5652,6.6995,6.7066,6.1658,5.9325,4.6116,3.5739,0.0914,2
6,0.0,22.1911,14.913,0.0,28.2243,30.0,23.9416,20.6437,1.3022,5.3757,7.9208,4.6628,8.0013,8.4411,4.2964,7.2759,3.863,4.2673,0.1436,3
7,12.6313,30.0,28.6049,0.0,12.7621,19.5977,0.0,29.763,3.9511,7.0163,9.0948,4.7456,6.1644,7.5608,5.9636,4.9932,6.7537,3.7624,0.0793,4
8,24.8894,15.0,20.5107,0.0,24.9648,17.1616,15.0,24.4393,15.0,6.6377,7.7424,4.5444,4.2145,6.3261,7.0776,5.5242,5.1682,2.8654,0.1902,4
9,7.9209,15.0,19.2389,30.0,26.7012,15.0,27.2803,15.0,15.0,5.6327,9.4932,4.264,6.6123,6.2556,8.2414,6.4364,4.1046,3.7299,0.1096,3
10,7.8767,30.0,15.7362,12.5129,10.203,14.854,20.2305,25.8417,16.767,6.7326,10.2954,3.9429,6.234,7.1902,7.024,5.6708,7.1962,2.8558,0.1411,5
11,11.6133,25.6467,23.3655,19.1168,20.7188,24.5481,23.1306,16.103,21.7901,6.6754,7.6775,4.3287,5.2777,7.9413,6.7034,7.2062,4.8537,2.6248,0.168,4
12,11.9901,23.6662,19.541,15.7028,21.2401,21.7973,23.4229,18.1708,21.2843,6.6351,8.4934,4.1974,5.5577,7.3953,7.0039,6.8871,5.1639,2.5673,0.1643,4
13,0.1753,24.9992,19.922,18.2969,22.5544,26.5794,15.527,1.4538,23.0491,5.7235,8.3336,3.8499,6.129,8.145,7.7194,7.1367,4.4752,3.4583,0.1163,3
14,3.5307,17.6642,2.6548,12.2704,29.4551,14.4732,2.7448,30.0,2.6554,5.9976,10.3035,4.6266,8.5575,6.3333,5.1203,4.2561,3.8476,4.0441,0.1434,2
15,10.042,26.9619,20.8216,20.8574,22.0068,23.7002,19.1452,19.1058,19.9167,6.4039,7.7624,4.3603,5.6361,7.9608,6.1864,6.8116,4.5217,2.8527,0.1488,3
16,20.7708,22.2259,21.1342,16.4435,20.9485,15.5349,14.7453,19.3667,20.7708,6.5622,8.43,4.0921,4.3071,6.7162,8.1883,5.7323,5.3875,2.7308,0.193,4
17,19.2916,24.5746,23.0329,20.7248,21.0815,22.9629,19.2421,15.2963,18.6123,6.1838,7.2136,4.2321,4.4434,7.6265,7.503,6.6412,5.0532,3.0987,0.1723,5
18,16.7912,21.7139,16.3865,16.4678,24.1096,13.1182,15.713,13.87,17.8366,5.5911,9.9999,3.779,5.4358,6.5423,8.932,5.29,4.7587,3.5996,0.1333,2
19,16.4646,6.8651,24.1684,0.0,23.9449,24.0012,23.883,19.7537,0.5956,5.7697,8.9048,4.6601,6.6329,6.5459,7.824,6.4235,6.0676,4.1812,0.054,4
20,12.2381,17.6941,14.3557,12.0422,20.986,27.493,12.2371,5.8713,12.2381,4.0838,8.9415,3.396,6.9662,7.4187,9.2942,6.4088,6.305,5.3122,0.1444,5
21,15.0,15.0,15.0,15.0,26.4521,15.0,15.0,26.7683,15.0,6.5281,9.2518,4.476,6.2965,6.1176,6.4279,5.3172,4.6411,3.0983,0.13,2
22,10.3217,0.0,3.7522,0.0,25.4522,29.5814,0.9078,18.7741,1.8998,4.1316,8.3892,3.8924,8.4952,7.3023,7.6605,6.2368,6.0173,5.6304,0.1218,5
23,0.4154,18.1755,0.0,4.4319,25.2175,26.7816,15.9111,0.0,26.0349,5.6152,8.935,3.4921,6.5251,7.8003,7.8735,7.203,4.5451,3.0087,0.1495,4
24,10.3217,0.0,3.7522,0.0,25.4522,29.5814,0.9078,18.7741,1.8998,4.1316,8.3892,3.8924,8.4952,7.3023,7.6605,6.2368,6.0173,5.6304,0.1218,5
25,10.3217,0.0,3.7522,0.0,25.4522,29.5814,0.9078,18.7741,1.8998,4.1316,8.3892,3.8924,8.4952,7.3023,7.6605,6.2368,6.0173,5.6304,0.1218,5
