Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,10.0,0.0,20.0,10.0,30.0,0.0,30.0,0.0,6.0059,7.4197,3.9168,9.1287,7.0944,7.0036,6.2924,10.133,4.2958,0.0782,5
2,8.7375,30.0,30.0,0.0,0.0,30.0,10.0,19.8822,0.0,5.875,8.1546,4.2343,6.6853,8.5338,7.3582,6.5722,7.8826,4.9908,0.0447,5
3,10.0,30.0,29.7624,19.7889,9.6953,29.7879,20.3228,20.0,0.0,6.071,7.1679,4.4998,6.2412,8.5599,6.5684,7.0968,6.8944,4.3068,0.0684,5
4,0.1878,10.0,30.0,0.2113,9.7325,17.6038,30.0,8.7358,0.3158,5.3013,13.1051,4.0697,8.2806,5.0626,12.48,6.2099,9.479,5.3776,0.1258,6
5,0.0012,10.6644,29.731,0.3808,0.2487,29.4653,28.5862,29.7826,4.1559,7.2694,8.1565,4.9331,8.2415,6.9731,6.5295,7.4123,10.5389,3.248,0.0966,6
6,0.0,0.2991,29.5821,0.1958,0.8682,28.4159,28.9896,1.3261,0.4811,5.0045,10.4913,3.9586,8.5258,6.4926,11.8559,7.3268,11.0634,5.7328,0.0921,6
7,0.0243,29.7015,29.705,0.0047,0.6131,29.0156,29.3707,7.0574,0.1073,5.3657,9.3304,4.1194,6.8754,8.4679,8.3541,7.5399,7.9477,4.8615,0.0593,6
8,2.9796,0.1817,29.7159,18.5945,20.0323,29.9797,29.0774,0.9247,4.0907,5.0204,8.7521,4.4871,8.1233,7.1296,9.4555,7.5974,6.8735,5.3057,0.0609,6
9,0.0458,29.3507,29.8925,19.0913,2.5564,28.4347,29.7001,8.5794,0.1073,5.4332,8.6834,4.1677,6.6848,8.3135,8.3869,7.5468,7.7162,4.7007,0.0561,6
10,1.3475,0.4492,28.9867,0.0019,28.4448,28.6884,29.1733,0.0248,0.0067,4.9678,9.3251,4.8595,8.3701,7.3274,7.6439,7.5639,4.3491,5.4003,0.0723,6
11,0.1008,0.0113,23.4067,9.4687,29.177,28.0452,1.019,26.1886,0.0447,6.0418,7.9604,5.052,9.0132,7.1856,5.2583,6.2692,4.319,4.8443,0.0822,5
12,0.3624,0.7194,23.0353,27.2361,0.4187,29.0239,29.0856,20.4607,6.0321,5.9234,7.8652,4.155,8.0408,6.6515,9.3065,7.4861,10.7201,4.1517,0.0688,4
13,0.3622,0.6595,28.7872,0.0083,2.4324,28.6303,28.9539,20.4588,6.1673,6.2841,9.4692,4.4169,8.4342,6.4933,9.3751,7.3602,11.0616,4.217,0.0561,6
14,0.7756,1.4529,29.3705,28.6527,0.3069,29.1414,29.3215,3.7879,0.6242,5.0153,8.514,3.9543,7.8718,6.6928,11.6134,7.5151,10.1535,5.5241,0.0879,6
15,1.5016,1.4148,28.9253,0.6197,28.6521,29.1114,29.0225,2.0612,1.0951,4.9246,9.2132,4.8609,8.3738,7.3888,7.5646,7.5888,4.285,5.315,0.0766,6
16,0.0689,0.1845,20.4594,0.7909,0.9803,29.6994,0.0119,29.0054,0.3647,6.3511,8.5068,4.1631,9.4949,6.6868,8.0901,6.2267,11.9536,4.6183,0.0571,7
17,0.0289,3.6155,29.9736,0.7215,0.1024,29.1584,0.1543,28.4519,1.0925,6.7469,8.6084,4.591,8.9651,6.5851,8.3239,6.1881,11.0035,4.6592,0.0432,7
18,0.0002,0.7063,24.3799,0.5625,0.1814,27.8672,29.9679,20.1668,1.5981,5.9254,9.7965,4.2258,8.7022,6.3886,9.4907,7.2884,11.6072,4.3252,0.0649,5
19,0.1773,1.0037,29.6289,2.8234,29.1175,29.9171,29.6065,2.6494,1.4419,5.0145,8.9416,4.9457,8.3221,7.5463,7.2336,7.6913,4.0801,5.2056,0.0822,7
20,0.0853,1.1138,29.996,2.8361,27.4775,29.9171,28.3044,2.6214,0.0009,4.9882,9.077,4.8274,8.3738,7.475,7.7795,7.596,4.6468,5.4508,0.061,6
21,1.4737,0.9667,29.4223,0.0123,0.4477,27.8612,2.7249,27.5835,0.1882,6.5947,9.0743,4.4858,9.0021,6.3041,8.806,5.9791,11.078,4.8284,0.0575,7
22,5.4123,0.0703,20.5973,4.7839,0.6018,29.7768,2.1717,29.278,1.155,6.3499,8.324,4.1883,9.063,6.6774,8.0179,6.2007,11.9322,4.4443,0.0566,5
23,0.0328,0.0703,20.5973,0.3279,2.4266,29.7768,2.1717,29.278,0.0122,6.3842,8.4618,4.1837,9.4832,6.6871,8.0149,6.2182,11.8792,4.5369,0.056,6
24,0.6199,2.2153,25.182,0.0257,28.1069,29.8781,29.8735,0.4356,3.2782,4.698,9.0698,4.7169,8.4905,7.4752,7.5036,7.6643,4.6797,5.2045,0.0756,5
25,0.3002,0.3913,29.1279,0.0158,0.8531,26.6542,4.7027,29.9397,0.4559,6.8742,9.1695,4.6151,9.0091,6.0941,8.3422,5.8158,11.1073,4.4653,0.0638,6
26,0.0139,0.0729,1.2326,1.96,0.6822,29.4871,0.6279,29.4541,0.1794,5.9597,8.6159,3.7185,10.2392,6.6546,7.9753,6.124,13.3462,4.5557,0.084,6
27,3.1381,0.746,29.5358,0.1079,0.1016,29.3615,29.6747,0.2817,0.494,5.0369,10.1865,3.9956,8.4565,6.6776,11.5695,7.4604,11.0668,5.571,0.0856,6
28,0.0405,26.2828,27.4918,1.8647,0.1809,29.1754,27.8209,0.0416,4.9497,5.0379,9.6003,3.8706,7.2427,8.153,9.3386,7.4148,8.6201,5.213,0.0838,7
29,0.9083,29.9098,29.9918,0.0172,3.5261,29.9572,29.353,1.5147,0.2231,5.2253,9.1819,4.1071,6.8544,8.5832,8.3656,7.6238,7.8256,4.9596,0.0649,6
30,0.0492,0.2615,29.9843,0.4057,0.1441,27.5653,3.3663,26.8347,0.2528,6.5124,9.2239,4.4709,8.9821,6.2578,9.0661,5.9307,11.0191,4.987,0.0597,7
31,0.5216,27.3947,26.4115,0.8553,0.1915,29.1754,1.5563,29.4485,1.7393,6.7985,7.8324,4.5511,7.4899,8.2337,5.7235,6.3295,8.5115,4.0632,0.0601,5
32,0.0492,0.0163,27.8866,0.4057,0.1441,27.5522,3.3663,26.82,0.7123,6.4045,9.2523,4.3546,9.0921,6.2569,9.081,5.9146,11.2379,4.9777,0.0633,7
33,1.3492,0.2744,27.7653,0.2169,0.0058,27.8954,3.2493,26.7658,0.7101,6.3882,9.1671,4.3494,9.0931,6.3195,9.0373,5.9703,11.2509,4.9652,0.0611,7
34,3.8292,1.4414,29.7411,0.2263,0.0252,29.9998,5.4989,29.4485,0.7078,6.8248,8.2377,4.6415,8.8499,6.705,7.9005,6.355,11.0453,4.4086,0.039,5
35,0.0424,1.9175,27.9048,4.0223,27.8885,28.9608,4.283,26.8279,0.8833,6.3756,7.8985,5.1484,8.8762,7.2613,5.286,6.3853,4.6304,4.6648,0.0718,5
36,0.0025,0.1654,28.6665,0.0021,0.6725,27.9994,1.5092,29.4308,0.0684,6.8193,8.8205,4.577,9.0387,6.3418,8.2516,6.0218,11.1549,4.5704,0.0538,7
37,0.0025,1.2379,29.1753,0.1482,0.6725,27.9994,2.3417,29.933,0.0853,6.8898,8.7582,4.6383,9.0085,6.3273,8.1078,6.0186,11.1033,4.4752,0.0533,6
38,0.0025,1.2379,27.213,0.1482,1.6394,29.6879,2.3417,29.9453,1.4239,6.7957,8.3188,4.5606,9.1079,6.6563,7.8316,6.2406,11.3023,4.3981,0.0423,5
39,0.0025,1.2379,27.213,0.1482,4.1595,29.6879,2.3417,29.982,1.4239,6.7983,8.3272,4.5529,9.1069,6.6457,7.7484,6.2275,11.064,4.3724,0.0433,5
40,0.0002,0.0044,27.6265,0.0552,0.0153,29.5806,27.5975,26.7369,0.7025,6.8024,8.5572,4.6476,8.6294,6.7168,7.7204,7.363,11.2669,3.818,0.0623,6
41,0.0025,1.2379,27.2442,0.5657,0.4852,29.6879,2.3417,29.982,1.3821,6.802,8.3089,4.5695,9.1063,6.6654,7.8061,6.2442,11.3063,4.3987,0.0418,5
42,0.0894,0.3073,28.1991,1.4239,1.3171,29.9897,1.4365,27.9164,0.9246,6.5935,8.4492,4.4674,9.0705,6.7298,8.332,6.2873,11.2051,4.7553,0.0413,6
43,2.7657,29.717,29.9681,5.1501,0.8719,27.9683,29.9357,1.477,3.0608,5.234,9.7533,4.1084,6.8625,8.301,8.7499,7.4311,7.9549,4.8335,0.0645,6
44,0.3596,0.4168,24.8937,0.0008,0.6373,28.8433,0.1509,29.1189,0.0004,6.602,8.6568,4.396,9.2397,6.5142,8.2042,6.1406,11.5506,4.6207,0.052,7
45,0.1426,2.2732,29.8237,0.2055,2.9175,29.7636,9.2827,29.5279,0.4356,6.9146,8.3466,4.6445,8.9553,6.6318,7.8117,6.3929,10.9624,4.34,0.0422,5
46,0.3314,25.7094,29.6373,0.0261,0.0538,26.6036,0.4889,29.8024,2.1628,6.9683,8.571,4.6879,7.5631,7.7379,6.3216,5.9316,8.5752,4.1266,0.0302,6
47,0.3314,26.771,29.6828,0.0261,0.0538,26.6036,0.4889,29.8024,2.1628,6.9727,8.5183,4.6997,7.4574,7.8565,6.1314,5.9461,8.3991,4.0872,0.0366,6
48,0.3339,26.771,29.8679,0.0261,0.0538,26.6036,0.4889,28.2133,2.1628,6.7945,8.6946,4.5991,7.4566,7.8568,6.5608,5.9351,8.387,4.3085,0.0199,7
49,0.0309,28.8694,29.4619,1.093,2.0016,29.7147,27.2837,0.005,0.4412,5.0962,9.3096,4.0054,6.9944,8.4477,8.8053,7.4573,8.0955,5.3104,0.0746,6
50,0.0334,28.8694,29.4619,1.093,2.0016,29.714,27.2327,0.005,0.9399,5.0889,9.3129,4.004,6.9968,8.4459,8.8111,7.4492,8.0966,5.2982,0.075,6
51,0.3627,0.7877,29.9503,1.0029,29.2057,28.8734,29.9422,3.3469,0.082,5.0931,9.1993,4.9639,8.2966,7.3945,7.3306,7.6367,4.0184,5.2303,0.0827,6
52,1.7389,1.1485,29.0263,5.1102,3.367,29.9965,28.3453,26.5864,0.4639,6.8502,8.4665,4.7075,8.5417,6.7524,7.6149,7.4267,10.9942,3.7177,0.0671,5
53,0.3625,28.3039,11.908,0.3617,3.5055,28.3171,1.113,29.5928,0.2115,6.2342,8.2028,3.973,7.7904,8.174,5.6484,6.1127,8.8408,4.0724,0.0797,5
54,1.7758,28.0086,29.9117,0.7865,0.0201,29.1016,28.3453,0.8079,0.2975,5.1627,9.5133,4.0544,7.0401,8.314,8.964,7.4722,8.1843,5.1999,0.0696,7
55,1.8711,29.9707,27.3187,0.0461,3.3856,29.9965,29.9373,6.6183,0.3398,5.2162,9.1162,3.9915,6.9084,8.5973,8.0843,7.6452,7.9908,4.7386,0.0712,6
56,0.3408,0.138,27.9189,0.279,0.5512,29.9996,3.5459,26.4885,0.6753,6.3551,8.5889,4.365,9.0917,6.7366,8.7364,6.2746,11.2356,4.9866,0.0454,7
57,0.06,29.7971,28.7913,8.0641,0.8109,10.0467,28.3789,22.1166,0.2669,6.49,12.4113,4.3639,6.9172,6.7413,8.6231,5.6776,7.9949,3.9949,0.0589,5
58,0.0004,28.4955,29.0845,0.5932,0.8209,29.7528,28.8207,0.091,4.1899,5.1745,9.3043,4.0283,6.9983,8.4179,8.7308,7.5451,8.1821,5.0402,0.0705,6
59,0.064,28.0387,29.6853,0.0195,1.5337,29.0298,29.9748,2.4548,0.9535,5.2127,9.5173,4.0797,7.0041,8.3053,8.8397,7.5504,8.2085,4.9475,0.0664,7
60,0.7622,2.1578,29.137,0.4238,0.6814,29.6147,1.3707,21.1276,0.2593,5.7564,9.3009,4.152,9.0455,6.6452,10.2292,6.198,11.1102,5.93,0.0604,6
61,0.7622,0.1447,29.5996,0.4238,0.6912,29.6147,1.3707,22.1513,0.2593,5.935,9.1896,4.2411,9.0202,6.667,9.9599,6.2104,11.061,5.7542,0.0538,6
62,0.3798,3.1217,29.8881,2.9024,19.2518,29.4971,0.4933,29.5368,1.4365,6.8454,7.9647,5.0315,8.9005,6.9869,6.3083,6.34,7.3747,4.3636,0.0341,5
63,0.3798,0.1644,29.9086,2.9702,19.8835,28.312,0.9646,29.5368,3.1282,6.8484,8.2446,5.0551,8.8836,6.7856,6.3966,6.1742,7.1579,4.3777,0.0349,5
64,0.3419,0.1252,29.2141,0.003,26.6177,26.9991,0.7041,25.1437,2.3173,6.2217,8.7067,5.0702,8.8463,6.9306,6.3663,6.0509,4.9638,5.0019,0.0263,6
65,0.4024,2.2993,27.5462,2.8111,0.4215,29.0123,0.3662,29.1444,0.2684,6.7388,8.604,4.5146,9.0938,6.5243,8.1773,6.1659,11.273,4.5927,0.0477,7
66,2.8009,0.2096,29.5594,1.9196,0.2414,26.6198,2.6205,29.7244,0.922,6.8636,9.2195,4.6296,8.9401,6.0883,8.4137,5.7706,11.0629,4.4427,0.064,6
67,0.349,29.2495,28.941,5.9344,0.2216,29.9145,27.5732,4.519,0.6884,5.1228,9.1892,3.9814,6.9774,8.5147,8.5648,7.4799,8.0729,5.1702,0.0749,6
68,0.3229,1.3029,1.8073,0.9831,26.4755,27.5405,0.29,28.444,3.9054,5.7957,8.4172,4.4998,9.7334,6.9894,5.451,6.0415,5.6659,4.4365,0.0633,3
69,4.6582,0.5776,28.2836,9.6441,0.409,28.9546,22.6037,27.6873,0.3442,6.837,8.4151,4.638,8.5209,6.5168,7.8902,6.9299,11.1199,3.9354,0.0616,5
70,3.2752,2.0241,0.0181,7.4979,0.0369,29.6236,0.0214,29.5022,0.0419,5.956,8.4562,3.7267,9.8977,6.6408,7.9548,6.1254,13.0962,4.4658,0.0838,4
71,0.1999,0.1619,29.8463,0.4492,29.4782,28.5513,29.6317,0.2886,0.1458,5.0677,9.2487,4.9835,8.3039,7.3607,7.3584,7.599,3.9114,5.3453,0.0894,6
72,0.7219,0.9831,25.6432,0.3476,0.3042,29.5624,2.8619,24.8255,1.0046,6.0147,8.9331,4.1663,9.2185,6.6487,9.3334,6.1865,11.4774,5.246,0.058,7
73,4.8912,0.164,29.5421,3.1776,24.0989,28.5106,2.0275,26.9401,2.6497,6.4379,8.1223,5.0627,8.6276,7.0253,6.2079,6.2142,5.8476,4.6351,0.0298,6
74,4.8912,0.1643,29.1765,3.1776,24.0989,28.9533,1.7734,27.099,2.6497,6.4462,7.9886,5.0573,8.6426,7.1051,6.0941,6.2761,5.8665,4.6056,0.0338,6
75,0.3848,29.8787,29.5988,0.844,3.9339,29.9554,29.787,9.2026,0.879,5.4621,8.9896,4.1938,6.8607,8.5798,7.882,7.618,7.8205,4.6519,0.052,6
76,1.1389,0.3039,29.7141,2.6576,24.7193,29.4261,21.8311,0.0341,0.1268,4.7068,9.4577,4.5809,8.6276,7.2569,8.9919,7.0733,5.5878,6.3403,0.0742,6
77,1.732,2.3401,29.2029,3.0355,6.1373,29.9389,27.9049,29.9979,0.4309,7.2531,8.1311,4.9231,8.5362,6.7733,6.5795,7.4055,10.6032,3.2997,0.0957,6
78,1.8208,0.0246,29.7861,0.0616,5.3188,27.1566,1.7636,29.746,0.6655,6.8905,9.0548,4.6426,8.9652,6.1862,8.1639,5.8618,10.6463,4.4518,0.0595,6
79,1.4488,0.1294,28.7639,0.0654,25.5882,29.4474,29.7107,0.0426,0.0025,4.9752,9.3003,4.7147,8.4101,7.3541,8.2354,7.6022,5.3176,5.3454,0.0576,6
