Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y,Fitness,Nc
1,7.2654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8759,17.0938,0.3987,9.2586,0.6416,19.3991,0.3242,13.679,9.7195,1.0934,0.6048,5
2,15.5047,9.2992,0.4983,5.256,18.5702,13.416,12.7892,20.3469,1.3315,4.6639,11.7549,3.3335,7.2923,4.737,10.653,3.9987,8.1712,5.1732,0.3352,0.1981,5
3,15.2594,27.4446,28.5081,22.8455,24.3732,11.62,20.5139,17.9515,29.2607,7.7569,8.0732,4.6071,3.7672,7.4005,6.5497,6.6497,2.988,1.4494,0.2395,0.3053,3
4,12.5438,14.3193,17.891,7.4922,25.6532,24.7276,26.5955,29.9914,29.2901,8.3698,6.394,4.967,5.0087,7.4223,3.4093,7.7887,4.3574,0.7521,0.3139,0.3462,3
5,1.4014,18.7484,29.6,8.6048,22.3888,24.1477,4.77,10.159,10.8703,5.1222,10.2384,4.3162,7.7158,7.1737,9.3235,5.7451,5.4174,5.9123,0.1637,0.061,6
6,7.5198,15.0849,24.8038,19.436,17.7277,2.7382,20.3885,3.5138,10.6654,4.6965,13.4818,3.6045,7.2715,4.5021,13.0114,4.6422,7.1084,5.701,0.3708,0.1805,5
7,22.0688,8.529,17.2541,6.0316,0.6488,9.3287,28.3234,7.7282,6.2127,4.7289,12.0513,2.8853,5.3996,3.5924,14.3475,5.2639,11.6255,4.4518,0.4849,0.2426,3
8,3.2215,25.3652,17.5466,2.7447,3.6986,11.3938,8.4789,3.866,24.7701,5.7876,12.9444,2.2867,6.1912,6.3548,12.4518,5.156,8.1526,3.5535,0.3521,0.2001,3
9,21.6541,12.3659,18.3963,21.6136,18.8881,16.4276,19.2783,9.2062,6.8545,4.4624,9.4791,3.4802,5.2276,5.5364,11.5733,5.3282,7.2808,4.9503,0.281,0.1748,4
10,2.2082,17.2595,8.4447,1.7636,8.462,8.7983,15.7818,17.8386,4.4956,4.4769,14.4488,2.7521,8.8342,4.6306,12.3905,3.6881,10.0796,5.6279,0.503,0.236,5
11,8.0849,21.0907,20.9829,4.971,14.5161,15.6042,9.8016,14.2853,18.6685,5.6718,11.8113,3.3665,6.7237,6.231,10.8193,5.1072,7.4592,4.1994,0.2496,0.1211,3
12,10.3311,2.118,10.3634,13.6951,15.0729,9.5755,11.0613,8.6994,27.1655,6.0424,12.1163,2.5056,6.2073,4.1511,13.3282,5.2196,8.0971,2.9847,0.392,0.2487,4
13,29.6826,20.4737,8.7837,20.8722,20.9942,22.3003,25.5574,4.5333,3.8662,4.3542,6.4671,3.5003,3.1612,7.1705,9.1958,6.4328,6.2427,3.8033,0.2627,0.2432,3
14,15.5514,17.4924,19.8038,7.049,19.56,13.7704,2.7852,16.6278,21.5272,6.1952,10.566,3.5928,5.5886,5.9238,10.0969,4.9575,6.3462,3.3568,0.2349,0.1572,4
15,3.239,28.3429,5.684,19.549,2.8551,23.8647,20.6446,26.5251,24.9576,7.2827,7.8041,3.6949,5.7748,7.8762,6.0097,7.0832,7.7789,1.7357,0.2538,0.2293,4
16,15.7116,14.4039,23.0093,1.1892,12.7943,19.9545,6.2448,10.6398,4.9139,4.357,11.1471,3.362,6.75,5.8487,12.384,4.7746,8.9752,6.2914,0.3746,0.1605,4
17,24.24,17.0039,22.32,13.1088,16.5276,17.1274,18.8718,17.4924,26.1888,7.1627,7.7127,3.8824,3.3723,6.316,9.2899,6.3765,6.7262,1.8777,0.2967,0.2745,4
18,25.1819,17.0727,24.4791,16.4024,21.3147,14.0305,19.4129,21.3921,13.568,6.5223,8.1332,4.4642,3.974,5.957,8.4235,5.4292,5.8734,3.0728,0.1821,0.1934,3
19,12.2376,5.1625,11.9324,0.6681,13.7483,24.913,11.7433,11.2024,23.7059,5.786,9.6307,2.9646,6.4115,6.3728,11.0759,6.4344,8.767,3.3896,0.2955,0.1626,4
20,24.8112,6.4464,0.0241,25.4481,26.7312,3.0106,18.3438,21.862,29.9137,7.4701,7.14,4.0912,2.9976,5.1845,7.7742,5.9677,4.1926,1.1502,0.2911,0.3415,3
21,16.3731,18.239,7.485,27.069,12.9251,21.5679,10.4772,24.6043,17.1576,6.3115,7.4758,3.5122,5.6821,6.6016,8.4025,5.8204,8.0443,3.0137,0.2265,0.1651,4
22,29.3513,15.0992,7.6627,0.0292,9.6842,26.592,18.2638,25.0091,29.3762,7.8155,4.4006,3.7372,2.1402,7.2696,7.0088,7.3192,8.6542,0.7876,0.4107,0.4007,4
23,10.0283,26.6013,23.84,26.8268,10.577,6.7202,13.334,0.1284,23.6721,6.0538,10.8335,3.1527,5.2285,6.4056,11.8707,5.3184,6.5868,3.4737,0.27,0.1687,4
24,18.0308,3.5783,22.7829,8.6168,21.0455,3.1091,19.1843,20.0917,1.8552,5.5383,11.8504,4.2452,6.4502,3.5378,10.8247,3.9804,7.1502,4.6759,0.2894,0.2057,4
25,29.2077,27.7593,22.5934,23.4089,8.1691,15.2795,24.4756,12.2566,14.4233,6.0523,7.0383,3.6305,2.3587,7.1193,9.944,5.9741,7.4717,2.824,0.2912,0.2728,4
26,4.2142,25.2737,8.0314,19.5901,10.5149,4.0194,20.925,18.6144,19.7574,6.0172,11.9825,3.0996,6.4925,5.9751,10.0937,5.1972,7.6917,3.219,0.2748,0.1687,4
27,10.7575,18.4625,0.8303,26.37,5.4048,4.9378,10.7437,8.294,2.9501,2.7392,12.7717,1.5924,7.371,4.5354,14.6931,3.1318,9.7445,6.8491,0.5916,0.347,5
28,29.0933,8.6783,2.9239,14.7729,25.9293,23.1637,26.2321,16.5777,5.3177,5.1636,6.298,4.0694,3.7035,6.6444,7.7154,6.5213,5.5606,3.2427,0.2111,0.2167,3
29,19.7128,25.7867,18.5441,0.1017,5.58,7.4493,12.155,8.1695,25.8585,6.3395,10.8855,2.5959,4.0124,6.3135,11.8618,5.1187,7.8152,2.68,0.3603,0.2553,4
30,3.478,26.4687,10.997,8.8979,0.0984,23.7852,17.3035,6.4568,1.1138,3.2205,11.2431,2.5632,7.8605,7.4758,10.8411,5.8162,9.2403,6.2529,0.3712,0.219,6
31,20.8953,8.212,5.4547,21.7557,25.4109,9.5812,5.4733,27.981,19.819,6.7742,8.2255,4.1334,4.8876,5.1455,7.2687,4.61,5.1988,2.4121,0.1889,0.224,3
32,24.0453,19.1918,18.738,19.5487,7.297,8.987,14.5432,29.5282,10.7506,7.0196,8.5227,3.9814,4.4018,5.1674,8.6911,4.2858,9.1363,2.7793,0.3103,0.2257,4
33,10.0377,23.0543,17.5129,3.6272,27.334,23.4977,21.3098,7.6502,25.2428,6.2437,8.8481,4.1017,5.602,7.8823,6.7881,7.179,3.3395,2.5877,0.176,0.1977,5
34,10.1077,7.1613,23.9887,27.1011,4.8533,1.22,24.7889,22.1292,9.6125,6.2296,11.642,3.9182,7.1085,2.6352,11.9976,4.8943,10.0456,3.998,0.3703,0.2307,5
35,20.2978,26.8097,18.0426,7.9193,14.6445,6.3318,10.047,7.6299,14.0412,4.8213,11.388,2.9021,4.8265,6.4248,11.4725,3.972,6.8998,4.5287,0.3127,0.2079,4
36,17.3544,29.4106,7.4355,19.8205,9.3943,5.0741,27.1644,27.4068,22.3663,7.4545,8.9907,3.8429,4.3427,6.8172,6.6536,6.1536,7.138,1.52,0.2447,0.2647,5
37,9.3942,15.289,29.462,6.7674,10.3153,10.3163,10.1962,15.0108,19.2769,6.2578,12.5618,3.7022,6.6044,4.7895,12.5385,4.5682,8.424,4.0904,0.338,0.1574,4
38,15.8027,6.094,4.1363,22.8375,24.5584,11.208,15.6255,27.2797,19.0691,6.6757,8.9693,4.1669,5.9767,5.0397,7.4385,5.1945,5.6143,2.5557,0.1699,0.1933,4
39,26.0552,14.1003,28.3527,13.7231,20.5022,15.4398,23.3534,28.9397,2.3153,7.2511,7.4458,4.9921,4.0957,5.6734,6.7908,5.5512,6.481,2.7311,0.1971,0.2112,5
40,3.1031,5.2779,4.3388,15.5171,27.2117,9.0816,7.4714,3.8397,7.6625,2.244,13.6316,3.1824,9.0395,4.6731,11.7036,3.6445,5.2022,7.2688,0.4476,0.2908,5
41,22.8108,15.0547,17.9325,9.991,16.9108,15.1598,28.4756,14.508,8.6555,5.4186,9.8265,3.6855,4.8902,5.6753,10.292,5.9836,7.8735,3.702,0.2726,0.1649,4
42,18.7971,10.14,13.3077,9.9959,3.2135,5.5425,13.9689,8.7637,3.8708,3.5782,13.1706,2.1857,6.421,3.1404,15.7817,3.0614,11.524,6.184,0.6347,0.3335,4
43,27.8319,27.9627,2.9725,13.5728,5.1486,15.238,9.0488,6.7234,23.8313,5.8313,7.9935,1.9399,2.4832,7.1084,10.9458,5.4061,7.8661,2.5474,0.3432,0.3278,2
44,24.6705,5.29,16.9046,23.1334,16.455,6.918,16.0798,11.9098,5.5768,4.5989,10.0933,3.1918,4.7892,3.7236,13.2834,3.9409,8.3335,4.8706,0.4057,0.2583,4
45,20.2113,16.7064,19.991,14.2344,5.4853,29.2252,26.3309,17.7572,12.7193,5.9873,6.984,3.7071,5.1326,7.4319,8.7316,7.3335,9.663,3.2632,0.2853,0.16,3
46,9.6645,13.639,19.2787,7.3652,26.7343,21.2604,3.512,28.9066,4.4007,6.3145,9.1469,4.7618,7.899,6.5435,5.7221,5.1555,4.9559,4.0187,0.0767,0.0716,3
47,9.371,4.9305,23.8416,12.8166,20.3428,18.9273,6.3111,7.9806,18.3536,5.2365,11.1122,3.6988,7.107,5.5056,11.836,5.3483,6.803,4.7296,0.245,0.1249,5
48,9.7676,9.4228,1.7253,4.3208,20.4992,11.8152,16.1404,10.9473,28.1765,6.2576,11.6419,3.0358,6.0483,5.1524,11.0625,5.8185,6.4653,2.5388,0.302,0.2215,5
49,5.2769,4.8768,16.5124,21.6622,2.775,14.8026,6.5708,6.1963,11.0528,3.7191,12.8804,2.1674,8.2493,4.0486,15.7261,4.1693,11.0105,6.8277,0.607,0.282,5
50,25.2676,5.716,26.217,0.4507,21.0765,5.2214,8.5069,0.0564,1.3506,4.4528,11.1666,3.7374,4.7194,3.9487,13.5575,3.0278,6.921,5.9616,0.4263,0.2683,4
51,4.9632,24.593,26.0172,22.2853,19.5641,1.1688,19.0164,20.5267,25.0646,7.2266,10.5639,4.3767,5.5875,6.275,8.3235,5.7037,4.9464,2.3938,0.1885,0.1808,4
52,8.8642,4.3995,16.8042,26.8554,0.1688,10.8766,7.1792,23.4982,25.0729,6.9879,10.127,3.2603,6.2587,3.9314,11.6463,5.1264,9.7392,2.5788,0.3881,0.2421,4
53,9.2606,6.1761,2.6109,20.0425,21.1175,27.9717,22.5832,29.0083,7.6429,6.3085,7.2477,4.4569,7.9288,6.8585,5.5731,6.9709,7.1521,3.214,0.1794,0.123,4
54,21.5936,1.8132,16.5504,23.469,9.6915,3.745,17.9691,28.2169,9.3082,6.6173,9.5099,3.9322,5.3343,2.7252,10.2952,4.0741,9.979,3.1636,0.3792,0.2687,4
55,13.4194,29.652,24.5515,20.4521,7.4334,12.8848,20.1745,3.0173,29.8553,7.0466,9.726,3.3169,3.9071,7.207,10.2916,6.597,6.4224,1.9568,0.3046,0.2607,5
