Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,0.33,0.33,0.67,1.0,1.0,0.33,0.67,1.0,22.0166,33.6334,16.0703,74.1925,8.4605,7.6177,9.7535,33.3419,5.8903,0.0735,7
2,0.0,0.33,0.33,0.6672,1.0,1.0,0.2884,0.69,1.0,22.0588,34.3295,16.1413,75.4161,8.3875,7.6134,9.8542,33.0761,6.0258,0.0689,7
3,0.3271,0.3936,0.9703,0.3451,0.9973,0.8871,0.6909,0.9842,0.9965,22.5926,52.2404,13.3107,154.4409,8.7062,9.1482,8.2521,21.5633,8.7193,0.1233,7
4,0.0001,0.6793,0.9798,0.6725,1.0,0.2795,0.6685,0.6697,0.9984,17.2049,36.7456,13.8066,131.6408,7.3371,7.8295,7.9594,28.6453,7.1936,0.0872,5
5,0.0002,0.6793,0.9798,0.6725,1.0,0.6919,0.6685,0.6687,0.9985,19.3089,35.9077,13.5135,137.4565,8.4376,7.3875,7.3129,28.615,7.1535,0.0964,6
6,0.328,0.3378,0.3517,0.3941,1.0,0.9826,0.039,0.9996,0.9987,23.6051,52.5118,14.7774,109.431,7.526,9.0844,10.6314,25.0108,8.8379,0.0754,7
7,0.0186,0.3273,0.9938,0.3311,0.9922,0.9858,0.0829,0.1585,0.9747,15.5241,21.8035,16.2068,117.351,8.0209,8.0606,10.9449,36.9109,4.5371,0.061,8
8,0.3291,0.3378,0.0356,0.3941,1.0,0.9935,0.0084,0.9899,0.9987,23.7061,51.3623,14.7624,106.107,7.5371,9.1474,10.6381,26.0057,8.6774,0.0654,7
9,0.3291,0.3378,0.0356,0.3941,1.0,0.9935,0.0084,0.9788,1.0,23.6095,50.2589,14.7632,104.6083,7.5409,9.1374,10.6576,26.4641,8.5483,0.0608,7
10,0.3291,0.3378,0.0356,0.3941,1.0,0.983,0.0084,0.9788,1.0,23.3908,50.2826,14.769,104.3119,7.4697,9.1129,10.6815,26.4679,8.5489,0.0617,7
11,0.0335,0.6807,0.9954,0.3293,1.0,0.9804,0.0113,0.9773,0.8443,16.8718,50.1647,14.3042,170.1524,7.7942,8.6309,9.313,24.6841,8.7182,0.0883,5
12,0.0158,0.6139,0.9936,0.3995,1.0,0.9588,0.0375,0.9998,0.9616,21.3524,52.997,15.0115,175.8507,7.9924,8.2861,9.6638,23.433,9.8352,0.0899,6
13,0.0158,0.6139,0.9936,0.3995,1.0,0.9588,0.0375,0.9998,0.9616,21.3524,52.997,15.0115,175.8507,7.9924,8.2861,9.6638,23.433,9.8352,0.0899,6
14,0.0158,0.6139,0.9936,0.3995,1.0,0.9588,0.0375,0.9998,0.9616,21.3524,52.997,15.0115,175.8507,7.9924,8.2861,9.6638,23.433,9.8352,0.0899,6
15,0.0335,0.7081,0.9954,0.2238,0.8599,0.9635,0.0113,0.9773,0.8443,16.3663,40.912,14.0419,157.1314,7.3364,5.7632,10.4018,25.5317,8.4368,0.1157,5
16,0.3252,0.0416,0.9999,0.398,0.9998,0.9997,0.0082,0.9977,0.9666,22.6797,52.4156,15.3643,161.7931,7.9128,9.0637,10.8312,22.1742,8.9863,0.1024,7
17,0.3252,0.0416,0.9999,0.398,0.9998,0.9997,0.0082,0.9977,0.9666,22.6797,52.4156,15.3643,161.7931,7.9128,9.0637,10.8312,22.1742,8.9863,0.1024,7
18,0.0092,0.8675,1.0,0.01,1.0,0.9663,0.0113,0.8762,0.9419,18.6258,39.1848,12.039,175.2082,7.7942,10.0188,6.9765,28.3791,9.1351,0.1082,5
19,0.0092,0.8675,1.0,0.01,1.0,0.9663,0.0113,0.8762,0.9419,18.6258,39.1848,12.039,175.2082,7.7942,10.0188,6.9765,28.3791,9.1351,0.1082,5
20,0.0092,0.8675,1.0,0.01,1.0,0.9663,0.0113,0.8762,0.9419,18.6258,39.1848,12.039,175.2082,7.7942,10.0188,6.9765,28.3791,9.1351,0.1082,5
21,0.0092,0.8675,1.0,0.01,1.0,0.9663,0.0113,0.8762,0.9419,18.6258,39.1848,12.039,175.2082,7.7942,10.0188,6.9765,28.3791,9.1351,0.1082,5
22,0.0092,0.8675,1.0,0.01,1.0,0.9663,0.0113,0.8762,0.9419,18.6258,39.1848,12.039,175.2082,7.7942,10.0188,6.9765,28.3791,9.1351,0.1082,5
23,0.1143,0.3212,0.0625,0.394,0.9972,0.3428,0.1076,0.9556,0.9998,17.4245,49.156,16.141,88.7976,5.4881,8.817,11.4956,28.3381,8.2948,0.1168,5
24,0.0774,0.6097,0.9999,0.3735,1.0,0.999,0.0046,0.998,0.9732,22.7128,52.378,14.6695,179.4349,8.2295,8.6122,9.6887,23.3771,9.9249,0.0904,7
25,0.2885,0.33,0.9518,0.3842,0.9827,0.9974,0.9615,0.6641,0.9934,25.922,30.2221,11.8646,133.3141,11.5365,8.9227,5.7802,30.9572,5.9591,0.1411,6
26,0.0715,0.6192,0.9953,0.2129,0.9995,0.9652,0.0024,0.9981,0.8425,16.6124,50.8863,14.6259,170.7002,7.5353,9.2142,10.096,23.9902,8.747,0.0953,6
27,0.0774,0.6097,0.9955,0.3793,1.0,0.999,0.0046,0.9914,0.9869,23.2782,51.7531,14.6709,178.3654,8.2707,8.5843,9.6683,23.6604,9.9706,0.0876,7
28,0.289,0.335,0.9538,0.3899,0.9756,1.0,0.9994,0.6251,0.9975,26.7554,28.4022,11.4938,133.5201,11.9747,8.781,5.2399,31.5788,5.806,0.1594,6
29,0.289,0.335,0.9538,0.3899,0.9756,1.0,0.9994,0.6251,0.9975,26.7554,28.4022,11.4938,133.5201,11.9747,8.781,5.2399,31.5788,5.806,0.1594,6
30,0.0774,0.6041,0.9997,0.2749,1.0,0.9511,0.0046,0.9867,0.9945,22.3507,50.2698,14.7404,178.2229,7.8714,8.9394,9.9955,24.3072,9.9653,0.0803,6
