Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,0.33,0.33,0.67,1.0,1.0,0.33,0.67,1.0,22.0166,33.6334,16.0703,74.1925,8.4605,7.6177,9.7535,33.3419,5.8903,0.0735,7
2,0.33,0.6829,1.0,0.0322,1.0,0.33,0.67,1.0,1.0,17.9418,52.6032,11.3591,164.8095,6.5175,11.0888,8.1781,20.8276,9.6033,0.1473,4
3,0.33,0.6829,0.9551,0.0008,1.0,0.963,0.6528,1.0,1.0,23.748,50.8239,10.9178,166.9091,8.8702,10.9845,7.1115,20.9924,9.4293,0.1527,6
4,0.3434,0.6732,0.9509,0.0516,0.9645,0.6663,0.0009,1.0,0.8871,14.4947,48.2282,12.173,155.3237,5.8852,9.4616,10.6131,23.0038,8.8922,0.151,6
5,0.0237,0.086,1.0,0.8296,0.9525,0.0528,0.67,0.9384,1.0,21.4074,51.0614,16.0312,129.9589,7.2098,7.0191,9.4369,16.6205,8.2491,0.166,5
6,0.3545,0.7006,0.9827,0.6902,0.739,0.9864,0.6586,0.0277,0.9825,20.2821,12.54,10.1891,108.3221,9.2746,4.3267,8.5647,30.8528,4.3611,0.2008,4
7,0.3457,0.1385,0.0,0.0051,0.9575,0.0,0.0348,0.9438,0.9511,14.827,42.1861,15.43,81.5828,4.736,9.9772,13.0402,27.4758,7.3931,0.1682,5
8,0.3457,0.1385,0.0,0.0051,0.9575,0.0,0.0348,0.9438,0.9511,14.827,42.1861,15.43,81.5828,4.736,9.9772,13.0402,27.4758,7.3931,0.1682,5
9,0.3457,0.1385,0.0,0.0051,0.9575,0.0,0.0348,0.9438,0.9511,14.827,42.1861,15.43,81.5828,4.736,9.9772,13.0402,27.4758,7.3931,0.1682,5
10,0.3712,0.0143,0.0045,0.9961,0.9946,0.983,0.0189,0.973,0.9978,30.925,57.0192,15.1505,98.6547,8.3643,9.9637,8.6773,16.8164,8.4947,0.1642,7
