Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,0.33,0.33,0.67,1.0,1.0,0.33,0.67,1.0,22.0166,33.6334,16.0703,74.1925,8.4605,7.6177,9.7535,33.3419,5.8903,0.0735,7
2,0.0341,0.3278,0.9937,0.0428,0.9999,0.9994,0.0001,1.0,0.666,12.8175,48.9686,16.1609,155.7157,7.3362,10.0217,11.4951,24.0298,7.1539,0.1394,6
3,0.016,0.0314,0.0666,0.002,0.9998,0.9994,0.0001,0.9997,0.6624,12.6802,48.178,16.5475,92.8619,6.9065,10.1283,11.7516,26.5232,6.2898,0.133,5
4,0.0109,0.3219,0.03,0.0375,0.9828,0.9928,0.0098,0.9985,0.6968,13.1748,47.3792,16.2721,91.6431,6.8905,9.4174,11.6832,26.8137,6.4566,0.1251,5
5,0.0109,0.3219,0.03,0.0375,0.9828,0.9928,0.0098,0.9985,0.6968,13.1748,47.3792,16.2721,91.6431,6.8905,9.4174,11.6832,26.8137,6.4566,0.1251,5
6,0.0109,0.3219,0.03,0.0375,0.9828,0.9928,0.0098,0.9985,0.6968,13.1748,47.3792,16.2721,91.6431,6.8905,9.4174,11.6832,26.8137,6.4566,0.1251,5
7,0.034,0.3318,0.0399,0.2927,0.9999,0.9996,0.0,1.0,0.6981,13.5502,51.1026,16.1667,92.7484,7.0957,8.8575,11.027,27.0922,6.5865,0.1151,5
8,0.034,0.3318,0.0399,0.2927,0.9999,0.9996,0.0,1.0,0.6981,13.5502,51.1026,16.1667,92.7484,7.0957,8.8575,11.027,27.0922,6.5865,0.1151,5
9,0.034,0.3319,0.9137,0.0529,0.9999,0.9991,0.0,0.9912,0.73,14.0177,48.0841,16.1675,141.1951,7.3234,9.9632,11.5252,24.9814,7.2274,0.1174,6
10,0.034,0.3319,0.9137,0.0529,0.9999,0.9991,0.0,0.9912,0.73,14.0177,48.0841,16.1675,141.1951,7.3234,9.9632,11.5252,24.9814,7.2274,0.1174,6
11,0.034,0.3319,0.9137,0.0529,0.9999,0.9991,0.0,0.9912,0.73,14.0177,48.0841,16.1675,141.1951,7.3234,9.9632,11.5252,24.9814,7.2274,0.1174,6
12,0.0217,0.4265,0.1069,0.3376,0.9999,0.9978,0.0,0.9979,0.729,14.2315,51.4197,15.9325,94.0028,7.1705,8.6524,10.7231,27.1822,6.8117,0.1036,5
13,0.0193,0.0429,0.0686,0.3284,1.0,0.9977,0.0,0.9939,0.7292,14.1547,50.6749,16.5586,92.4347,7.1455,8.6725,11.1837,27.4123,6.641,0.1042,5
14,0.0227,0.4277,0.9989,0.0396,0.9999,0.9991,0.0,0.9997,0.7299,14.1165,48.9854,15.9208,162.2321,7.4463,10.0226,11.3252,24.0266,7.6402,0.1215,6
15,0.0227,0.4277,0.9989,0.0396,0.9999,0.9991,0.0,0.9997,0.7299,14.1165,48.9854,15.9208,162.2321,7.4463,10.0226,11.3252,24.0266,7.6402,0.1215,6
16,0.0227,0.4277,0.9989,0.0396,0.9999,0.9991,0.0,0.9997,0.7299,14.1165,48.9854,15.9208,162.2321,7.4463,10.0226,11.3252,24.0266,7.6402,0.1215,6
17,0.022,0.4252,0.9991,0.0487,0.9999,0.9992,0.0,0.9997,0.7299,14.1197,49.0642,15.9332,162.1391,7.4512,9.9775,11.3169,24.0552,7.6391,0.1213,6
18,0.022,0.4252,0.9991,0.0487,0.9999,0.9992,0.0,0.9987,0.7299,14.1083,48.9675,15.9334,162.0156,7.4513,9.9767,11.3194,24.095,7.6278,0.1211,6
19,0.022,0.4252,0.9991,0.0487,0.9999,0.9992,0.0,0.9987,0.7299,14.1083,48.9675,15.9334,162.0156,7.4513,9.9767,11.3194,24.095,7.6278,0.1211,6
20,0.007,0.4243,0.9989,0.042,1.0,0.9989,0.0,0.999,0.7301,14.0954,48.9194,15.995,162.06,7.4546,9.9819,11.3334,24.1444,7.6369,0.1209,6
21,0.0339,0.4082,0.9991,0.0163,1.0,0.9996,0.0,0.9444,0.7567,14.1227,43.4088,15.9589,155.6501,7.4602,10.1149,11.5527,26.1194,7.1206,0.1076,6
22,0.0259,0.4082,0.9991,0.0163,1.0,0.9996,0.0,0.9444,0.7567,14.1169,43.3989,15.9906,155.6655,7.4652,10.0995,11.5531,26.1612,7.1248,0.1074,6
23,0.0069,0.4432,0.9989,0.0354,0.9999,0.9997,0.0001,0.9836,0.7549,14.5128,47.293,15.9339,161.6021,7.4951,10.0019,11.3317,24.7733,7.6244,0.1109,6
24,0.0069,0.4432,0.9989,0.0354,0.9999,0.9997,0.0001,0.9836,0.7549,14.5128,47.293,15.9339,161.6021,7.4951,10.0019,11.3317,24.7733,7.6244,0.1109,6
25,0.0069,0.4432,0.9989,0.0354,0.9999,0.9997,0.0001,0.9836,0.7549,14.5128,47.293,15.9339,161.6021,7.4951,10.0019,11.3317,24.7733,7.6244,0.1109,6
26,0.0069,0.4432,0.9989,0.0354,0.9999,0.9997,0.0001,0.9836,0.7549,14.5128,47.293,15.9339,161.6021,7.4951,10.0019,11.3317,24.7733,7.6244,0.1109,6
27,0.0069,0.4432,0.9989,0.0354,0.9999,0.9997,0.0001,0.9836,0.7549,14.5128,47.293,15.9339,161.6021,7.4951,10.0019,11.3317,24.7733,7.6244,0.1109,6
28,0.341,0.4044,0.9991,0.0571,0.9999,0.9994,0.0,0.9997,0.9419,21.1083,49.4029,14.3607,171.9718,7.6457,10.678,11.2476,22.5061,9.047,0.1,7
29,0.0777,0.329,0.9014,0.4533,0.9852,0.9999,0.0,0.2566,0.9429,15.5879,22.9552,16.0254,99.1123,7.9976,7.5488,10.9985,36.3249,4.3644,0.0599,7
30,0.0777,0.329,0.9014,0.4695,0.9844,0.9992,0.0,0.2566,0.9428,15.6498,23.0756,16.026,98.9243,8.0125,7.4706,10.9781,36.1805,4.366,0.0588,7
31,0.0777,0.329,0.9014,0.4695,0.9844,0.9992,0.0,0.2566,0.9428,15.6498,23.0756,16.026,98.9243,8.0125,7.4706,10.9781,36.1805,4.366,0.0588,7
32,0.0777,0.329,0.9014,0.4695,0.9844,0.9992,0.0,0.2566,0.9428,15.6498,23.0756,16.026,98.9243,8.0125,7.4706,10.9781,36.1805,4.366,0.0588,7
33,0.0777,0.329,0.9014,0.4695,0.9844,0.9992,0.0,0.2566,0.9428,15.6498,23.0756,16.026,98.9243,8.0125,7.4706,10.9781,36.1805,4.366,0.0588,7
34,0.0777,0.329,0.9014,0.4695,0.9996,0.9992,0.0001,0.2355,0.9428,15.5386,24.113,16.0217,100.2574,8.0469,7.872,10.7936,36.1953,4.3586,0.0607,8
35,0.0232,0.375,0.9965,0.0322,0.9999,0.9989,0.0001,0.242,0.9546,15.1437,19.7228,16.0934,123.2426,7.8465,9.7395,11.4441,36.7883,4.6289,0.0681,6
36,0.0232,0.375,0.9965,0.0322,0.9999,0.9989,0.0001,0.242,0.9546,15.1437,19.7228,16.0934,123.2426,7.8465,9.7395,11.4441,36.7883,4.6289,0.0681,6
37,0.0232,0.375,0.9965,0.0322,0.9999,0.9989,0.0001,0.242,0.9546,15.1436,19.7229,16.0934,123.2527,7.8466,9.7395,11.4441,36.788,4.629,0.0681,6
38,0.0232,0.375,0.9967,0.0564,0.9998,0.9989,0.0001,0.242,0.9546,15.1488,19.9386,16.0941,123.113,7.8587,9.6191,11.4041,36.8551,4.6342,0.0678,6
39,0.0232,0.375,0.9967,0.0564,0.9998,0.9989,0.0001,0.242,0.9546,15.1488,19.9386,16.0941,123.113,7.8587,9.6191,11.4041,36.8551,4.6342,0.0678,6
40,0.0302,0.4033,0.9967,0.0564,0.9998,0.9989,0.0001,0.242,0.9546,15.1537,19.986,15.98,123.9427,7.8631,9.6321,11.343,36.8093,4.6694,0.0677,6
41,0.0302,0.4033,0.9967,0.0564,0.9998,0.9989,0.0001,0.242,0.9546,15.1537,19.986,15.98,123.9427,7.8631,9.6321,11.343,36.8093,4.6694,0.0677,6
42,0.0302,0.4033,0.9967,0.0564,0.9998,0.9989,0.0001,0.242,0.9546,15.1537,19.986,15.98,123.9427,7.8631,9.6321,11.343,36.8093,4.6694,0.0677,6
43,0.0109,0.4189,0.999,0.4399,0.9996,0.9992,0.0001,0.2355,0.9967,17.4309,23.8543,15.9948,124.5321,8.3476,7.8476,10.4909,35.9849,5.0762,0.0275,8
44,0.0109,0.4189,0.999,0.4772,0.9996,0.9992,0.0022,0.2355,0.9645,16.3481,24.2881,16.005,122.9546,8.3034,7.71,10.5394,35.63,4.858,0.0465,8
45,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
46,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
47,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
48,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
49,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
50,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
51,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
52,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
53,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
54,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
55,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
56,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
57,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
58,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
59,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
60,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
61,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
62,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
63,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
64,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
65,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
66,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
67,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
68,0.0109,0.431,0.999,0.4772,0.9996,0.9992,0.0001,0.2288,0.9971,17.5881,24.2725,15.9511,124.5999,8.4039,7.7113,10.3774,35.644,5.089,0.0248,8
69,0.0017,0.3674,0.9548,0.0031,0.9997,0.9995,0.0001,0.6815,0.9993,19.884,26.9379,16.2295,133.7536,7.9362,9.968,11.6459,33.4685,6.6459,0.0027,8
70,0.0017,0.3674,0.9548,0.0031,0.9997,0.9995,0.0001,0.6815,0.9993,19.884,26.9379,16.2295,133.7536,7.9362,9.968,11.6459,33.4685,6.6459,0.0027,8
71,0.0017,0.3674,0.9548,0.0031,0.9997,0.9995,0.0001,0.6815,0.9993,19.884,26.9379,16.2295,133.7536,7.9362,9.968,11.6459,33.4685,6.6459,0.0027,8
72,0.0017,0.3674,0.9548,0.0031,0.9997,0.9995,0.0001,0.6815,0.9993,19.884,26.9379,16.2295,133.7536,7.9362,9.968,11.6459,33.4685,6.6459,0.0027,8
