Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,0.33,0.33,0.67,1.0,1.0,0.33,0.67,1.0,22.0166,33.6334,16.0703,74.1925,8.4605,7.6177,9.7535,33.3419,5.8903,0.0735,7
2,0.0017,0.33,0.6697,0.67,0.9964,1.0,0.33,0.67,1.0,22.2101,33.5476,16.0648,88.6196,8.649,7.4185,9.8976,31.6098,6.1057,0.0233,5
3,0.33,0.3398,1.0,0.0,0.9873,0.6522,0.992,0.0,1.0,17.5927,19.4673,11.6307,125.9904,9.4002,10.5885,6.9866,35.4185,4.2615,0.1043,5
4,0.33,0.3398,1.0,0.0,0.9873,0.6522,0.992,0.0,1.0,17.5927,19.4673,11.6307,125.9904,9.4002,10.5885,6.9866,35.4185,4.2615,0.1043,5
5,0.33,0.3398,1.0,0.0727,0.9873,0.6522,0.9169,0.0,0.9623,14.9053,20.1167,12.2248,121.1768,8.6452,10.1447,8.1042,35.6496,4.0252,0.0957,7
6,0.4466,0.3735,0.9994,0.6692,0.9966,0.9949,0.026,1.0,1.0,26.1063,56.0726,13.7996,171.0313,8.4248,8.5336,10.0752,17.7085,9.6719,0.1489,8
7,0.4517,0.731,0.0363,0.6657,0.625,0.9998,0.0261,1.0,0.9667,24.1479,37.6666,10.1435,79.7952,6.9936,4.4738,10.1644,23.3035,8.2332,0.1832,4
8,0.1817,0.934,0.377,0.0845,0.9861,0.2236,0.0317,0.9997,0.9753,16.6705,51.2443,9.2454,109.0367,5.2122,10.1793,5.6314,25.8551,9.9982,0.2152,4
9,0.3585,0.2844,0.9775,0.9974,0.3832,0.9828,0.9446,0.67,0.98,33.6103,15.3893,11.7521,105.1067,11.4346,6.6062,8.3437,13.8111,5.1175,0.2156,4
10,0.0309,0.0387,0.0071,0.6778,0.9997,0.9966,0.016,0.0758,0.9013,14.5052,25.6145,16.5163,49.091,7.7608,7.576,10.2262,38.3106,3.1807,0.1922,5
11,0.014,0.0326,0.9702,0.0057,0.6782,0.8516,0.0082,0.9851,0.9679,19.2669,33.061,16.6841,126.5225,6.4628,3.6618,13.7921,26.398,8.2368,0.1913,6
12,0.3896,0.053,0.9459,0.0038,0.0323,0.9962,0.9754,0.9019,0.9904,27.2973,24.567,11.769,102.6054,10.0916,5.0396,8.5133,26.5494,6.3338,0.133,5
13,0.3896,0.053,0.9459,0.0038,0.0323,0.9962,0.9754,0.9019,0.9904,27.2973,24.567,11.769,102.6054,10.0916,5.0396,8.5133,26.5494,6.3338,0.133,5
14,0.0219,0.0333,1.0,0.0294,1.0,0.9594,0.0061,1.0,1.0,22.7318,48.478,16.583,165.6115,7.6363,10.042,11.4873,24.1453,9.4206,0.0832,7
15,0.0219,0.0333,1.0,0.0294,1.0,0.9594,0.0061,1.0,1.0,22.7318,48.478,16.583,165.6115,7.6363,10.042,11.4873,24.1453,9.4206,0.0832,7
16,0.0167,0.0836,1.0,0.0201,0.9971,0.319,0.1092,0.9996,1.0,17.6301,49.8074,16.7766,154.4981,5.6574,10.3574,12.1933,24.0303,9.3778,0.1304,6
17,0.0609,0.0075,1.0,0.9976,0.9699,0.259,0.9631,0.0378,0.3674,14.1338,30.1969,14.1913,94.7394,8.8218,8.3717,7.2794,20.9814,2.7744,0.1978,4
18,0.0805,0.0325,0.9842,0.961,0.9815,0.9775,0.0195,0.9184,0.0046,15.5475,51.2775,16.2938,119.7026,8.4236,7.8823,9.4541,13.0542,4.9011,0.2072,6
19,0.0803,0.0015,0.7396,0.9693,0.9695,0.9999,0.0078,0.651,0.9859,27.1678,34.7958,16.4133,85.6741,9.0062,7.8297,9.7561,22.0171,5.8648,0.1093,6
20,0.4259,0.0438,0.9992,0.9007,0.9968,0.9924,0.0273,0.9582,1.0,29.535,55.2281,14.7967,155.8067,8.9509,8.8166,9.5337,12.4787,8.9112,0.2039,7
21,0.45,0.0335,1.0,0.0911,0.9777,0.9904,0.0273,0.9997,1.0,23.6145,48.3107,14.6455,162.5852,7.5547,10.1203,11.4839,22.2439,9.1487,0.1033,7
22,0.0057,0.1264,0.9397,0.963,0.9996,0.9853,0.013,0.0164,0.9547,21.8423,30.4186,16.5051,96.6657,9.1852,7.9583,9.1201,23.8724,4.0126,0.0896,7
23,0.0,0.0,0.0003,0.0,0.9604,0.9378,0.9948,0.0563,0.9639,20.6661,16.1728,13.1159,66.2158,10.7947,9.1967,6.7126,39.752,3.3314,0.1714,5
24,0.0631,0.1389,1.0,0.0443,0.9022,0.9384,0.9277,0.6668,0.9307,20.7638,21.9996,13.6153,125.1607,10.2931,7.6205,7.9571,32.7062,5.1979,0.0681,8
25,0.0631,0.1389,1.0,0.0443,0.9022,0.9384,0.9277,0.6668,0.9307,20.7638,21.9996,13.6153,125.1607,10.2931,7.6205,7.9571,32.7062,5.1979,0.0681,8
26,0.0631,0.1389,1.0,0.0443,0.9022,0.9384,0.9277,0.6668,0.9307,20.7638,21.9996,13.6153,125.1607,10.2931,7.6205,7.9571,32.7062,5.1979,0.0681,8
27,0.0061,0.0414,0.9831,0.0981,0.9949,0.9917,0.005,0.05,1.0,15.7162,19.3035,16.515,108.2783,7.8598,9.2033,11.1296,37.5461,4.1246,0.0591,6
28,0.0631,0.1212,1.0,0.0443,0.8887,0.9218,0.9275,0.6075,0.9307,20.1576,19.2629,13.6381,121.0859,10.1437,7.2713,8.2129,33.8144,4.9093,0.0617,6
29,0.0631,0.1212,1.0,0.0443,0.8887,0.9218,0.9275,0.6075,0.9307,20.1576,19.2629,13.6381,121.0859,10.1437,7.2713,8.2129,33.8144,4.9093,0.0617,6
30,0.0606,0.0267,0.9755,0.0245,0.9626,0.9373,0.0304,0.1031,0.9984,14.9023,16.8042,16.4103,102.5028,7.3647,8.5907,11.7277,37.3141,4.0894,0.0933,6
31,0.0606,0.0267,0.9755,0.0245,0.9626,0.9373,0.0304,0.1031,0.9984,14.9023,16.8042,16.4103,102.5028,7.3647,8.5907,11.7277,37.3141,4.0894,0.0933,6
32,0.0686,0.0129,0.9826,0.9781,0.9995,0.9608,0.079,0.0497,0.9133,20.7635,30.8389,16.3814,100.6213,8.9868,8.1166,9.2547,22.2668,3.825,0.1054,6
33,0.001,0.0362,0.9997,0.0133,0.9893,0.9441,0.0599,0.9987,0.2731,7.75,48.0627,16.5213,136.8806,6.7438,9.6169,11.4401,24.1232,5.6725,0.2201,6
34,0.9942,0.0023,0.9991,0.0114,0.0016,0.963,0.0486,0.9698,0.9071,19.0391,30.279,9.8588,113.3436,5.5847,6.3344,14.6864,22.9442,6.841,0.1589,5
35,0.019,0.1366,0.9926,0.0327,0.9723,0.3013,0.9987,0.9997,0.9549,18.343,50.4558,14.1685,142.0896,8.2351,9.6643,6.7907,21.9215,8.0859,0.1503,6
36,0.0448,0.0111,0.9926,0.0327,0.9723,0.0133,0.9987,0.9014,0.9549,16.4239,41.3095,14.4457,126.8957,7.5559,9.7307,7.7164,25.9977,7.0464,0.1099,5
37,0.0448,0.0111,0.9926,0.0327,0.9723,0.0133,0.9987,0.9014,0.9549,16.4239,41.3095,14.4457,126.8957,7.5559,9.7307,7.7164,25.9977,7.0464,0.1099,5
38,0.0034,0.0442,1.0,0.0272,0.9999,0.2655,0.0049,0.9172,0.987,16.0761,42.2355,16.828,143.5864,5.5594,10.4113,12.5106,27.5597,8.3381,0.1229,6
39,0.0034,0.0442,1.0,0.0272,0.9999,0.2655,0.0049,0.9172,0.987,16.0761,42.2355,16.828,143.5864,5.5594,10.4113,12.5106,27.5597,8.3381,0.1229,6
40,0.2402,0.0837,0.046,0.0179,0.9775,0.9825,0.0008,0.994,0.949,20.855,46.4793,15.7871,102.5441,7.1039,9.8322,11.8896,25.8632,8.0745,0.074,7
41,0.2402,0.0837,0.9195,0.0179,0.9856,0.9984,0.0011,0.994,0.949,21.2366,47.1095,15.7588,146.5686,7.5077,10.1654,11.6939,23.8613,8.5738,0.0872,7
42,0.001,0.0395,1.0,0.0499,0.9999,0.0157,0.0798,0.9548,1.0,16.9394,46.0041,16.8522,146.8879,5.5165,10.4691,12.3363,26.1197,8.8404,0.1256,6
43,0.9478,0.0083,0.9971,0.049,0.9889,0.0814,0.0331,0.9111,0.9999,17.0887,43.4166,10.616,139.5514,4.8635,12.6926,12.5402,23.4376,7.9279,0.1662,5
44,0.001,0.8154,1.0,0.0104,0.9999,0.9814,0.0195,0.9989,0.964,21.4008,49.6307,12.9134,189.6002,7.9359,10.1284,7.7351,23.9232,10.4872,0.1131,6
45,0.001,0.8154,1.0,0.0105,0.9999,0.9797,0.0049,0.9989,0.9998,23.0889,49.5684,12.9146,192.3819,8.0308,10.1352,7.7015,23.9648,10.8759,0.1135,7
46,0.8227,0.0105,0.0101,0.0294,0.962,0.9833,0.0002,0.2462,0.9799,16.2632,18.5909,11.6471,54.2489,6.7701,10.6712,11.9904,35.753,3.4586,0.1675,3
47,0.2375,0.0052,0.0297,0.9923,0.637,0.97,0.5309,0.9935,0.9895,30.6063,40.5167,15.1458,69.6698,8.3423,6.1149,10.1508,14.7256,7.467,0.2099,6
48,0.4716,0.0023,0.0081,0.0622,0.9322,0.9442,0.9181,0.0625,0.9877,20.5409,15.9158,11.6222,60.2381,9.814,9.1507,7.8934,37.768,3.199,0.1703,4
49,0.0681,0.0001,0.9812,0.0312,0.9358,0.8672,0.01,0.8939,0.9881,19.237,35.2396,16.5121,136.5286,6.9077,8.0371,12.4085,28.421,7.7972,0.0588,7
50,0.0854,0.0633,0.0129,0.9925,0.9829,0.0814,0.1276,0.9998,0.9851,24.6855,60.0293,16.6243,86.8868,6.2057,9.5297,9.5782,17.0703,8.7289,0.1755,5
51,0.2375,0.0173,0.0088,0.9923,0.885,0.9607,0.1367,0.9872,0.9985,30.3114,50.3118,15.825,87.5646,8.0681,7.6238,9.7352,16.5895,8.3133,0.1629,6
52,0.9996,0.0038,0.9971,0.0001,0.8494,0.0814,0.1531,0.8924,0.9866,16.0255,33.9884,10.0627,121.6251,4.6599,9.2444,13.479,24.1867,7.1328,0.1778,5
53,0.1407,0.0257,0.0455,0.9978,0.9783,0.9998,0.2856,0.9566,0.9105,26.9485,54.3437,16.046,85.4597,8.5751,9.0619,8.4431,17.623,7.2508,0.162,6
54,0.0685,0.009,0.9988,0.0302,0.8216,0.9998,0.0028,0.9064,0.0343,7.883,30.9311,16.3255,110.0013,6.7656,5.826,12.8044,28.3148,4.2311,0.2184,5
55,0.0,0.0,0.9196,0.9523,0.9705,0.0,0.005,0.0001,0.997,17.4634,29.3861,16.7578,76.9743,6.8462,7.7603,10.2252,24.8138,4.0609,0.1124,5
56,0.001,0.1363,0.9986,0.0088,0.0422,0.9894,0.9515,0.9189,0.9994,26.9919,25.2455,13.5698,116.5575,10.1588,4.0674,8.8502,27.5116,6.9337,0.1641,6
57,0.001,0.1363,0.9986,0.0088,0.0422,0.9894,0.9515,0.9189,0.9994,26.9919,25.2455,13.5698,116.5575,10.1588,4.0674,8.8502,27.5116,6.9337,0.1641,6
58,0.0001,0.0001,0.9609,0.9737,0.9591,0.9485,0.0005,0.0159,0.9354,20.8375,27.3727,16.5784,91.6844,8.8367,7.0953,9.679,23.1041,3.7349,0.0982,4
59,0.0001,0.0001,0.9609,0.9737,0.9591,0.9485,0.0005,0.0159,0.9354,20.8375,27.3727,16.5784,91.6844,8.8367,7.0953,9.679,23.1041,3.7349,0.0982,4
60,0.001,0.0407,0.9999,0.0129,0.9769,0.9998,0.0025,0.9999,0.0181,8.5642,47.1495,16.4688,137.0112,7.0734,9.3753,11.4249,24.2611,5.5364,0.2037,6
61,0.9099,0.0076,0.9286,0.0012,0.9952,0.9965,0.1129,0.0179,0.9729,15.2357,20.3753,10.6585,96.7104,7.1279,12.167,11.315,33.3877,3.3687,0.0992,5
62,0.0081,0.9451,0.9999,0.0129,0.9957,0.9998,0.0025,0.9937,0.9937,23.1639,49.4235,10.5397,198.6997,8.2049,10.0638,4.7209,24.1373,11.4148,0.1983,6
63,0.5288,0.0,0.9431,0.0,0.9375,0.9464,0.0002,0.9788,0.9543,20.4241,43.2175,14.1421,140.1053,6.9028,9.5097,12.2283,23.2163,8.1656,0.1023,7
64,0.5288,0.0,0.9431,0.0,0.9375,0.9464,0.0002,0.9788,0.9543,20.4241,43.2175,14.1421,140.1053,6.9028,9.5097,12.2283,23.2163,8.1656,0.1023,7
65,0.4791,0.0477,0.001,0.8992,0.9694,0.9456,0.8831,0.0145,0.9845,25.116,27.1112,11.8023,57.2317,10.4414,9.0707,5.697,31.5006,3.3385,0.2031,4
66,0.0316,0.0711,0.9319,0.0,0.9895,0.9957,0.8957,0.9462,0.9894,25.7994,44.1019,13.9812,141.8024,10.6859,10.2702,6.637,24.6363,7.7244,0.1358,7
67,0.0263,0.0005,0.9999,0.0668,0.8887,0.9975,0.9342,0.9026,0.0924,12.2108,35.5344,13.5813,114.2965,10.2013,7.337,6.7908,26.4882,3.6354,0.1729,4
68,0.8016,0.0054,0.0163,0.8868,0.9658,0.8868,0.0001,0.9982,0.9991,27.1239,56.7545,11.9415,97.8685,7.1488,9.6463,9.8106,17.5023,8.5704,0.1553,5
69,0.1274,0.0001,0.9977,0.0483,0.7792,0.9994,0.9756,0.9996,0.9105,24.4112,39.9947,13.0736,134.77,10.9399,5.8526,6.5664,22.2532,7.0432,0.1696,6
70,0.0384,0.0952,0.9999,0.0129,0.9847,0.9997,0.9303,0.9331,1.0,26.8568,42.7972,13.6789,155.212,11.1395,10.14,6.1418,24.657,7.8076,0.1496,7
71,0.0044,0.004,0.025,0.0098,0.9999,0.989,0.0208,0.9999,0.9988,23.1481,48.052,16.642,109.6178,7.4824,10.0941,11.5727,26.6082,8.8087,0.0602,7
72,0.0418,0.0,0.9969,0.992,0.9917,0.9813,0.018,0.0001,0.8972,20.9028,30.3484,16.4575,101.6268,9.1394,8.0281,9.2467,21.4877,3.6614,0.1158,6
73,0.0,0.0001,0.9965,0.0009,0.9374,0.9998,0.9346,0.0148,0.9986,22.0427,14.8364,13.4774,118.571,11.0736,8.7061,7.2706,37.4688,3.9276,0.1254,6
74,0.0044,0.0943,1.0,0.0206,0.9999,0.9998,0.9998,0.9999,0.9999,28.672,50.5788,13.2107,165.4543,11.9201,10.6344,4.4932,21.6586,8.5111,0.2128,7
75,0.001,0.9946,0.9999,0.0129,0.9393,0.9998,0.0004,0.9977,1.0,23.5467,46.6858,9.4876,196.646,8.1539,8.4508,3.6818,24.3179,11.7255,0.2359,6
76,0.124,0.0004,0.922,0.9396,0.9933,0.8962,0.0438,0.9059,0.0911,13.3312,51.1122,16.2006,105.2337,7.764,7.9804,9.5679,15.0523,4.6793,0.2034,5
