Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.33,0.33,1,0.33,0.33,0,0.67,0.67,1,14.8381,10.4811,14.3071,93.7691,5.7443,2.0332,13.5621,31.9513,5.4308,0.3137,3
2,0.33,0.33,1,0.33,0.33,0,0.67,0.67,1,14.8381,10.4811,14.3071,93.7691,5.7443,2.0332,13.5621,31.9513,5.4308,0.3137,3
3,0,0.674,0.8882,0.7928,0.8908,0.5524,0.7882,0.5422,0.6695,10.9407,26.1343,13.1204,89.9262,7.8477,5.2679,8.0354,28.2898,4.1385,0.1897,3
4,0,0.674,0.8882,0.7928,0.8908,0.5524,0.7882,0.5422,0.6695,10.9407,26.1343,13.1204,89.9262,7.8477,5.2679,8.0354,28.2898,4.1385,0.1897,3
5,0,0.674,0.8882,0.7928,0.8908,0.5524,0.7882,0.5422,0.6695,10.9407,26.1343,13.1204,89.9262,7.8477,5.2679,8.0354,28.2898,4.1385,0.1897,3
6,0,0.674,0.8882,0.7928,0.8908,0.5524,0.7882,0.5422,0.6695,10.9407,26.1343,13.1204,89.9262,7.8477,5.2679,8.0354,28.2898,4.1385,0.1897,3
7,0,0.674,0.8882,0.7928,0.8908,0.5524,0.7882,0.5422,0.6695,10.9407,26.1343,13.1204,89.9262,7.8477,5.2679,8.0354,28.2898,4.1385,0.1897,3
8,0,0.674,0.8882,0.7928,0.8908,0.5524,0.7882,0.5422,0.6695,10.9407,26.1343,13.1204,89.9262,7.8477,5.2679,8.0354,28.2898,4.1385,0.1897,3
9,0,0.674,0.8882,0.7928,0.8908,0.5524,0.7882,0.5422,0.6695,10.9407,26.1343,13.1204,89.9262,7.8477,5.2679,8.0354,28.2898,4.1385,0.1897,3
10,0,0.674,0.8882,0.7928,0.8908,0.5524,0.7882,0.5422,0.6695,10.9407,26.1343,13.1204,89.9262,7.8477,5.2679,8.0354,28.2898,4.1385,0.1897,3
