Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,weighted_sum,Fitness,Nc
1,0.0655,0.3005,0.7249,1.0,1.0,0.5421,0.0749,1.0,1.0,27.276565,61.654904,16.331153,116.465031,7.347282,8.945109,9.430729,11.13343,9.393899,0.6807,0.2199,6
2,0.3893,0.5381,0.5036,1.0,1.0,1.0,0.0,1.0,1.0,32.547209,60.815209,13.056858,114.630373,8.88651,9.880414,7.872102,11.688382,9.298124,0.6863,0.2232,7
3,0.2438,0.2814,0.0,1.0,1.0,0.666,0.0,1.0,1.0,27.40995,60.768699,15.587612,97.196017,7.002556,9.733321,8.977201,16.335286,9.019659,0.7089,0.1718,6
4,0.8556,0.2274,0.0,1.0,1.0,1.0,0.0,1.0,1.0,32.229759,61.273054,10.823596,104.187006,8.182556,11.701746,8.424164,13.384531,8.720654,0.6325,0.2035,6
5,0.0,0.1152,0.0,1.0,1.0,1.0,0.0,1.0,1.0,31.674887,59.486469,16.605588,104.491222,8.751359,9.38096,8.503552,17.478985,9.079488,0.7151,0.1593,7
6,0.1064,0.2315,0.0,1.0,1.0,1.0,0.7421,1.0,1.0,33.254016,61.424887,14.572167,97.117016,10.468275,9.78788,5.117053,15.057158,8.299574,0.7517,0.2401,7
7,0.0,0.0,0.0,1.0,1.0,0.5608,1.0,1.0,1.0,30.142451,62.905345,13.929284,89.324929,10.080729,9.631505,2.951783,15.015681,8.177979,0.6264,0.2948,6
8,0.0,0.7818,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.840649,62.919369,9.984681,107.092853,12.810765,9.927049,-1.967217,14.92419,8.872995,0.6805,0.4403,6
9,0.4159,0.3439,0.478,1.0,1.0,1.0,1.0,1.0,1.0,37.666537,63.042283,10.761586,108.624984,12.813253,10.453996,1.630672,9.196839,8.115541,0.6367,0.368,6
10,0.0,0.5444,0.0,1.0,1.0,1.0,0.3776,1.0,1.0,31.411441,60.789238,15.215248,100.001052,9.152092,9.391469,6.592024,16.53942,8.915884,0.787,0.1971,7
11,0.0,0.4161,0.0,1.0,1.0,1.0,0.4484,1.0,0.6418,20.345143,61.041543,15.540521,80.032504,8.650629,9.347052,6.976114,16.319048,6.073094,0.6271,0.199,6
12,0.3522,0.5801,0.0,1.0,1.0,1.0,0.4768,1.0,1.0,31.883237,61.456828,12.451347,98.560748,9.191124,10.20745,5.845641,14.524649,8.680503,0.6251,0.2287,7
13,0.0,0.3285,0.1717,1.0,0.6572,1.0,0.5033,1.0,1.0,31.962709,41.764337,15.719598,74.465198,8.778645,5.770379,9.934964,14.445824,7.907528,0.6499,0.211,5
14,0.0,0.8549,0.0,1.0,1.0,1.0,0.0,1.0,1.0,31.721543,60.904562,12.342009,111.962915,8.83221,9.440756,3.667493,17.462836,10.097755,0.6142,0.2598,7
