Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.1288,0.5685,0.9934,0.2268,0.0363,0.5293,0.7833,0.6746,0.766,9.1145,10.0068,13.3547,92.101,6.5184,1.9466,11.9212,33.3685,4.1509,1.0506,4
2,0.0235,0.8154,0.128,0.1868,0.8071,0.264,0.6469,0.4533,0.215,1.5402,14.92,12.0528,27.4912,5.1391,4.7947,8.9456,39.1842,2.582,1.3449,2
3,0.6457,0.2534,0.8684,0.6662,0.2904,0.4676,0.0945,0.2527,0.7588,7.2882,4.1883,13.0003,47.3861,4.804,3.252,15.1599,30.8084,2.2147,1.3918,2
4,0.487,0.6563,0.7435,0.5564,0.7703,0.7241,0.2,0.8156,0.4903,6.2042,27.8458,10.939,67.3556,5.5446,4.3261,11.376,27.7317,4.0786,0.9149,3
5,0.444,0.0623,0.6194,0.4404,0.1105,0.7189,0.7983,0.5183,0.8838,14.1613,5.831,13.0198,35.3159,6.8672,3.2328,12.503,34.767,3.0706,1.1659,3
6,0.0081,0.8036,0.6969,0.7566,0.6242,0.0328,0.7174,0.0418,0.9762,13.8719,9.8889,12.1687,51.0417,6.5241,2.6527,8.491,33.4232,4.2328,1.0085,3
7,0.5094,0.1465,0.0463,0.4701,0.8492,0.9051,0.1936,0.9983,0.5272,9.5347,44.8845,14.067,64.6762,5.9842,5.9077,11.9042,24.4096,5.0418,0.7176,4
8,0.7779,0.7311,0.8448,0.3617,0.1024,0.6936,0.5837,0.0687,0.3582,4.2913,2.6618,5.5663,52.5588,5.3341,3.9515,11.9842,35.0657,1.9842,1.5578,2
9,0.8588,0.5697,0.2437,0.661,0.3477,0.8974,0.4048,0.0881,0.6639,9.3631,4.4379,7.5344,13.7139,5.6912,5.0583,13.107,33.7028,1.3714,1.5344,2
10,0.3554,0.2174,0.6461,0.9193,0.9791,0.4184,0.1808,0.1943,0.3225,7.4898,29.9432,15.1228,43.6874,5.7939,8.353,11.113,27.0137,2.21,0.9794,4
11,0.5746,0.0455,0.5329,0.8984,0.1577,0.8771,0.8782,0.4654,0.8584,22.0026,7.356,11.3834,34.7634,8.6392,6.4584,10.7151,24.8761,2.6888,0.9903,3
12,0.6202,0.7915,0.987,0.1002,0.404,0.4855,0.1414,0.9706,0.4434,4.493,30.2843,7.2503,114.5062,4.5473,3.2075,11.0503,23.8565,5.8069,1.1481,4
13,0.8048,0.5868,0.708,0.9979,0.4327,0.3443,0.2313,0.4207,0.7135,13.5041,9.9583,8.5314,36.6037,5.3533,6.2477,12.9197,18.7698,2.5362,1.1133,1
14,0.7806,0.7867,0.6941,0.0215,0.3788,0.6905,0.0404,0.1512,0.0768,2.1398,3.0642,5.2352,32.9731,4.4324,3.6573,11.8962,36.8796,1.8698,1.7302,2
15,0.6419,0.6425,0.0432,0.2366,0.9303,0.6692,0.6942,0.9768,0.0802,5.0251,47.2868,8.2931,57.2814,6.0393,8.5983,7.8333,23.7171,4.0601,0.9839,3
16,0.7908,0.501,0.503,0.0531,0.5303,0.3157,0.0834,0.7502,0.9965,15.1039,15.3895,9.8571,49.3899,4.5501,4.1566,14.1204,32.0153,5.4913,0.8616,3
17,0.1196,0.8382,0.9031,0.9,0.173,0.5193,0.8333,0.5184,0.2341,10.5485,8.8476,9.9163,74.8093,7.4694,3.8947,7.7322,22.8589,3.1677,0.998,0
18,0.7565,0.0397,0.7288,0.8526,0.9823,0.3702,0.5168,0.8374,0.7131,11.9898,46.7908,11.9706,71.9288,5.9295,9.5097,10.0462,18.8466,4.673,0.6565,4
19,0.2373,0.8143,0.8956,0.74,0.5957,0.6499,0.399,0.51,0.0943,5.4377,12.6005,10.7047,71.9995,6.0171,2.6907,9.8868,28.9617,3.1514,1.1151,0
20,0.1562,0.0355,0.622,0.4572,0.0632,0.5659,0.017,0.0548,0.8379,6.6525,1.1217,16.3391,18.1776,4.8104,1.8461,15.1999,38.4243,1.9694,1.7182,3
