Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,0.33,0.33,0.67,1.0,1.0,0.33,0.67,1.0,22.0166,33.6334,16.0703,74.1925,8.4605,7.6177,9.7535,33.3419,5.8903,0.0735,7
2,0.0,0.6679,0.9894,0.6733,1.0,1.0,0.33,0.67,1.0,22.4448,34.806,14.368,145.362,9.1223,7.4201,8.2685,28.8164,7.272,0.0667,6
3,0.0023,0.6622,0.9894,0.0237,1.0,0.995,0.3278,0.9905,1.0,22.9797,48.9437,14.4428,176.5505,8.3323,10.0754,9.0308,23.7146,9.8549,0.0922,7
4,0.0023,0.6622,0.9894,0.0035,1.0,0.9941,0.0271,0.9996,1.0,23.3488,49.0107,14.6668,182.9389,8.0471,10.1907,9.7744,23.9799,10.2767,0.0839,7
5,0.0023,0.6622,0.9932,0.0035,1.0,0.9941,0.0271,1.0,1.0,23.3542,49.0495,14.667,183.8923,8.0523,10.1913,9.7744,23.9356,10.2919,0.0843,7
6,0.0023,0.6622,0.9989,0.0035,1.0,0.9941,0.0277,1.0,1.0,23.3537,49.0562,14.6672,185.236,8.06,10.1917,9.7747,23.8898,10.3073,0.0848,7
7,0.0023,0.6676,0.999,0.0035,1.0,0.9941,0.0277,1.0,1.0,23.3538,49.0735,14.6182,185.4653,8.0622,10.192,9.7189,23.8878,10.3234,0.085,7
8,0.0023,0.6676,0.999,0.0035,1.0,0.9983,0.0277,1.0,1.0,23.4429,49.0633,14.6159,185.584,8.0911,10.2023,9.7093,23.8865,10.323,0.0851,7
9,0.0035,0.6703,0.999,0.0862,1.0,0.9999,0.0274,1.0,1.0,23.4964,49.8308,14.5857,185.2083,8.1443,9.809,9.5378,24.1088,10.348,0.0836,7
10,0.0111,0.6819,0.9998,0.0862,0.9961,0.9999,0.0275,0.9212,1.0,22.4359,42.2561,14.4359,174.7751,8.1368,9.6359,9.5949,27.1512,9.4124,0.0523,7
11,0.0113,0.7091,0.9988,0.0862,0.9961,0.9999,0.0274,0.9212,1.0,22.4371,42.3473,14.162,175.7098,8.1466,9.6379,9.2791,27.1483,9.4966,0.056,7
12,0.0036,0.7092,0.9999,0.0395,0.9998,0.9999,0.0233,0.9243,1.0,22.4636,42.4073,14.2086,177.1922,8.1346,9.9651,9.3246,26.9503,9.5421,0.0572,7
