Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.7671,0.7671,0.8614,0.7671,1.0,0.0,0.0,0.0,1.0,13.9509,30.6715,5.8025,88.7119,5.9878,9.8849,7.4556,28.3518,4.7322,0.2316,3
2,0.7671,0.7671,0.8614,0.7671,1.0,0.0,0.0,0.0,1.0,13.9509,30.6715,5.8025,88.7119,5.9878,9.8849,7.4556,28.3518,4.7322,0.2316,3
3,0.7243,0.8356,0.7243,0.1102,0.67,0.9457,0.0,0.9457,0.8898,17.5758,31.2351,4.7223,99.4941,6.3013,5.473,9.3932,25.7142,7.5858,0.2435,3
4,0.0,0.9819,0.6709,0.321,1.0,1.0,0.9812,0.0,0.0179,13.4863,24.0119,6.3498,98.1722,11.0945,9.1056,-1.4457,38.782,4.1865,0.4237,6
5,0.3105,0.4661,1.0,0.7074,0.4539,1.0,0.7069,0.5,0.9759,23.3123,8.8687,12.6888,104.1921,9.164,3.8902,11.382,28.2468,4.7487,0.2484,6
6,0.5,0.2338,0.8081,0.3193,0.9793,0.9644,0.9954,0.4067,0.4351,13.7471,23.5478,10.5164,88.0237,10.5039,9.558,6.4797,34.5014,2.3908,0.2063,4
7,0.1689,0.45,1.0,1.0,0.4996,0.55,0.7679,0.45,0.9461,22.7953,11.0546,13.8316,96.3008,8.3313,4.4628,11.0318,17.6516,4.5045,0.2506,6
8,0.5595,0.1417,0.9103,0.6297,0.7777,0.9574,0.9894,0.0405,0.0444,14.7359,13.4054,10.3516,81.7421,10.3982,5.4656,8.0236,32.0012,1.8219,0.2596,2
9,0.5592,0.0,1.0,0.0,0.9644,0.979,0.0,0.3419,0.0,5.9277,18.7535,13.8949,98.0618,6.5298,10.0672,12.586,33.9945,2.184,0.2823,5
10,0.7591,0.0,1.0,0.0,0.9349,0.9722,0.0,0.1098,0.0,5.8141,16.4405,12.2749,93.4063,6.2966,9.8546,12.8906,33.8622,1.9186,0.3036,4
11,0.7591,0.0,1.0,0.0,0.9349,0.9722,0.0,0.1098,0.0,5.8141,16.4405,12.2749,93.4063,6.2966,9.8546,12.8906,33.8622,1.9186,0.3036,4
12,0.0,0.0,1.0,0.7753,0.7168,1.0,1.0,0.8371,0.0,17.2312,29.1617,13.0818,99.1698,11.4864,4.1187,6.1088,21.1406,3.0396,0.2441,4
13,0.4754,0.2544,1.0,0.5,0.5363,1.0,0.9437,0.5706,0.7612,18.5124,10.9178,11.055,99.0167,10.1437,4.1964,9.326,30.6309,3.2625,0.223,2
14,0.3109,0.0,1.0,0.0,0.9875,0.0,0.0,0.0,1.0,10.0195,20.1352,15.566,97.4174,5.2555,10.62,12.2295,35.8324,3.872,0.195,6
15,0.2883,0.3807,0.9664,0.9164,0.7864,1.0,0.9202,0.2348,0.7679,23.1227,17.0427,11.9074,101.8738,11.3348,5.8109,7.6402,23.4226,3.1918,0.1636,3
16,0.2883,0.3807,0.9664,0.9164,0.7864,1.0,0.9202,0.2348,0.7679,23.1227,17.0427,11.9074,101.8738,11.3348,5.8109,7.6402,23.4226,3.1918,0.1636,3
17,0.2883,0.3807,0.9664,0.9164,0.7864,1.0,0.9202,0.2348,0.7679,23.1227,17.0427,11.9074,101.8738,11.3348,5.8109,7.6402,23.4226,3.1918,0.1636,3
18,0.2883,0.3807,0.9664,0.9164,0.7864,1.0,0.9202,0.2348,0.7679,23.1227,17.0427,11.9074,101.8738,11.3348,5.8109,7.6402,23.4226,3.1918,0.1636,3
19,0.4499,0.8069,0.8946,0.4102,0.9349,0.6894,0.88,0.5412,0.826,13.1608,25.0483,6.6825,109.08,8.3746,7.6071,5.1457,32.497,5.0362,0.2419,6
20,0.0952,0.6771,0.8361,0.5431,0.6689,0.8927,0.9048,0.6569,0.9048,19.7465,16.731,11.3976,89.4512,9.7046,3.2045,7.415,31.7647,5.1124,0.218,3
21,0.6343,0.8697,0.7577,0.7436,0.6357,0.9664,0.8662,0.6429,0.95,24.6779,17.4967,2.6993,84.6996,9.904,5.1262,4.2271,25.9613,5.6182,0.3492,3
22,0.05,0.5798,0.8515,0.8515,0.6762,0.8374,0.8429,0.6652,0.8515,20.1681,19.6631,13.0051,84.0429,9.3781,3.7016,8.633,24.2595,4.6831,0.1964,4
23,0.1316,0.5463,0.838,0.5936,0.8785,0.9868,0.5776,0.7489,0.5936,11.9028,29.3172,13.903,88.0405,8.2777,5.3574,9.8338,29.2201,4.0949,0.1614,4
24,0.5,0.941,0.9866,0.706,0.5,0.9267,0.4775,0.5338,0.8921,17.2709,11.2996,4.4738,113.2698,7.6686,3.8549,6.546,27.2212,5.7577,0.3284,2
25,0.6401,0.9223,0.7721,0.3599,0.7187,0.8735,0.6172,0.6475,0.9134,16.0009,17.3699,2.6299,84.1492,7.3714,4.9088,5.6659,31.8161,5.7569,0.3297,1
26,0.7662,0.8781,0.8603,0.5,0.1962,1.0,0.7938,0.7317,0.8439,19.1082,15.0251,0.9982,88.5211,8.4667,5.6883,6.3124,27.5079,5.2142,0.3529,3
