Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,0.33,0.33,0.67,1.0,1.0,0.33,0.67,1.0,22.0166,33.6334,16.0703,74.1925,8.4605,7.6177,9.7535,33.3419,5.8903,0.0735,7
2,0.0,0.6599,0.3433,0.9258,0.9768,0.33,0.3438,0.8755,1.0,22.3056,48.5363,14.7225,78.1332,6.6517,8.1447,8.0049,21.9834,7.8525,0.1482,5
3,0.001,0.0974,0.9517,0.6683,0.9768,0.33,0.7051,0.9979,0.9922,19.8598,56.3707,15.8097,131.3626,7.2852,7.3022,8.921,19.0549,8.7321,0.143,5
4,0.6285,0.3344,0.8421,0.6472,1.0,0.0274,0.0,0.9856,1.0,20.0458,56.4624,12.7611,128.2919,5.6727,9.7545,11.1695,19.58,9.1264,0.1617,7
5,0.0102,0.3431,0.8594,0.6472,1.0,0.0274,0.0,0.9854,0.9982,19.5544,55.3976,16.4992,131.5561,6.0917,8.2146,11.1862,22.4606,9.4333,0.1273,7
6,0.0224,0.0298,0.9648,0.9636,0.9714,0.9621,0.0083,0.2991,0.9727,23.5609,28.9055,16.556,101.7191,9.0192,7.3692,9.7435,22.977,4.6793,0.0946,6
7,0.6056,0.0005,0.9625,0.0176,0.838,0.9841,0.0,0.6268,0.9988,19.5292,17.4696,13.5601,105.4314,7.0801,7.3571,12.9867,32.3142,5.367,0.0573,6
8,0.011,0.0046,0.9504,0.1158,0.9978,1.0,0.3324,0.9899,0.8594,17.3437,48.8277,16.35,139.8333,7.8228,9.5705,10.6925,24.3729,7.5586,0.0849,6
9,0.0048,0.0046,0.9551,0.1158,0.9978,1.0,0.0648,0.9955,0.8575,17.5169,48.7867,16.5963,145.6245,7.5563,9.5669,11.3567,24.7779,7.8957,0.0817,6
10,0.0103,0.0313,0.9997,0.3433,1.0,0.702,0.0663,0.7239,0.9998,16.4161,32.6571,16.7283,127.8227,6.6592,8.2424,11.6556,32.3285,6.7655,0.0719,7
11,0.0547,0.4114,1.0,0.6449,0.9999,0.9512,0.0495,0.0301,0.9999,16.9748,26.1472,15.8189,118.2744,8.3523,7.2504,9.9002,33.2068,4.6216,0.0374,6
12,0.0547,0.4114,1.0,0.6449,0.9999,0.9579,0.0495,0.0301,0.9999,17.1017,26.1304,15.8154,118.4527,8.3947,7.2626,9.8857,33.2049,4.621,0.0351,6
13,0.0057,0.1795,0.9679,0.0004,0.9696,0.9982,0.0078,1.0,0.9998,23.4894,46.1944,16.5373,160.3287,7.8374,9.3025,11.7612,24.4837,9.3909,0.0786,7
14,0.0016,0.4332,0.9963,0.6521,0.9998,0.9956,0.0041,0.0723,1.0,18.1143,26.0995,15.9472,120.1536,8.6889,7.233,9.7885,33.3423,4.7689,0.0208,6
15,0.4012,0.0202,0.9806,0.0089,0.9996,0.999,0.8301,0.1839,0.9975,21.3142,19.7593,12.6074,121.3891,10.0062,11.2055,8.2412,35.0322,4.2413,0.0588,7
16,0.0244,0.0797,0.9816,0.0089,0.9996,0.9681,0.8301,0.1365,0.9975,20.1069,19.0149,14.2423,121.5762,10.0183,10.2689,8.3318,37.0012,4.3585,0.058,7
17,0.0776,0.0797,0.9816,0.0089,0.9996,0.9678,0.8289,0.1365,0.9989,20.1781,19.1031,14.0952,121.5232,9.9777,10.3693,8.3396,36.7265,4.3426,0.0573,7
18,0.0074,0.3662,0.9881,0.0115,0.9642,0.9603,0.0604,0.9935,0.995,22.2662,45.6872,16.2393,165.4378,7.6469,8.9865,11.6619,24.5005,9.4277,0.0795,7
19,0.0014,0.4171,0.0352,0.5558,0.9986,0.9562,0.1184,0.9993,0.8505,17.2864,54.0312,16.08,94.6592,7.3106,7.8426,10.1044,26.3238,7.5641,0.0723,5
20,0.0014,0.4171,0.0352,0.5558,0.9986,0.9562,0.1184,0.9993,0.8505,17.2864,54.0312,16.08,94.6592,7.3106,7.8426,10.1044,26.3238,7.5641,0.0723,5
21,0.0072,0.1099,0.9976,0.0317,0.9992,0.9005,0.0139,0.2235,1.0,14.952,19.5768,16.5737,115.1107,7.3002,9.5252,11.6266,37.0295,4.6396,0.0771,6
22,0.0072,0.4813,0.9779,0.0317,0.9681,0.9684,0.1154,0.991,1.0,22.5303,46.1226,15.8185,166.1712,7.7756,9.0134,11.1482,24.551,9.5526,0.0782,7
23,0.007,0.1099,0.996,0.0057,0.9807,0.9996,0.9419,0.2235,1.0,23.2364,17.9694,13.4326,129.7317,11.2528,9.9264,7.0192,36.816,4.5922,0.105,7
