Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y,Fitness,Nc
1,0.2012,0.1152,0.1433,0.6045,0.6187,1.0,0.0984,0.8857,0.4904,10.7288,26.8958,15.8657,42.9419,6.42,3.4141,13.3441,29.0343,3.7688,0.3197,0.3051,3
2,0.1809,0.0292,0.3667,0.8671,0.5146,0.4299,0.1899,0.7217,0.9453,17.7573,16.3805,16.2698,36.6272,5.6095,3.4286,13.7933,26.4664,4.8476,0.3136,0.3034,3
3,0.3339,0.8157,0.9894,0.2944,0.2602,0.7431,0.5843,0.2365,0.9602,13.4944,3.2194,9.1083,99.3873,6.6835,2.5295,9.7691,36.2546,4.7671,0.2879,0.3819,3
4,0.6541,1.0,0.9569,0.8176,1.0,0.1317,0.6323,1.0,1.0,22.2663,62.8608,0.5433,164.6674,7.1055,9.8954,0.2573,11.5458,11.0182,0.8669,0.5035,5
5,0.8864,1.0,1.0,1.0,1.0,0.1815,0.9049,1.0,1.0,28.6839,66.5417,-4.6435,173.0442,8.8854,11.6949,-2.9792,1.5025,10.8366,1.075,0.7084,6
6,1.0,1.0,1.0,1.0,1.0,0.4696,1.0,1.0,1.0,31.3241,66.4044,-7.6636,177.8895,10.3598,11.9705,-5.0335,0.7544,10.668,1.1686,0.8096,6
7,1.0,1.0,1.0,1.0,0.7025,0.4538,1.0,1.0,1.0,31.204,47.9158,-7.5998,157.0489,9.8019,7.8627,-2.3427,0.2165,9.9716,0.9243,0.7585,6
8,1.0,1.0,0.6901,1.0,1.0,0.4505,1.0,1.0,1.0,30.8272,65.9812,-7.6635,122.6755,9.7729,12.2359,-5.3286,4.6213,9.8909,1.0629,0.8005,6
9,1.0,1.0,1.0,1.0,1.0,0.4637,1.0,1.0,0.7331,21.8367,66.6484,-7.6896,162.6328,9.7581,11.9342,-4.826,0.7179,8.4805,1.0251,0.8059,6
10,1.0,1.0,1.0,1.0,1.0,0.8844,1.0,1.0,1.0,36.0119,65.4122,-8.2566,187.686,12.4146,11.8792,-6.2065,0.695,10.6059,1.2462,0.8454,6
11,1.0,1.0,0.8891,1.0,1.0,1.0,1.0,1.0,1.0,38.4994,64.9275,-8.4645,166.8304,13.1489,12.2217,-6.767,2.1923,10.2544,1.2421,0.8555,6
12,0.6934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.4756,65.0267,-3.0378,193.2075,13.5679,10.9991,-6.5802,1.9982,10.7797,1.224,0.76,6
13,1.0,1.0,1.0,1.0,1.0,1.0,0.7223,1.0,1.0,34.8216,64.4545,-6.5366,187.2222,11.0282,11.8107,-2.8193,1.4091,10.8246,1.1631,0.7411,6
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.6324,65.1013,-8.4543,191.7119,13.3597,12.1357,-6.643,0.668,10.5858,1.2876,0.8586,6
15,1.0,0.8038,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.6309,64.8308,-1.9421,181.6935,13.243,12.0551,-1.6193,0.7364,9.5545,1.1266,0.6372,6
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6302,2.2416,10.1858,0.9289,3.3271,3.8282,15.8837,37.3158,0.5843,0.6309,0.6697,2
17,1.0,1.0,1.0,0.6946,1.0,1.0,1.0,1.0,1.0,31.9616,60.2627,-8.4512,192.4649,12.4191,11.1135,-5.4681,12.091,10.487,1.1389,0.7947,6
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7424,1.0,36.7372,45.1489,-8.5516,172.7686,13.3564,12.0712,-5.6811,9.7552,8.4569,1.0421,0.808,6
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,37.2054,65.1295,-8.4564,189.5773,13.269,12.1297,-6.592,0.6633,10.2703,1.2663,0.8575,6
21,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,29.1986,66.9126,-7.088,172.0471,9.1881,12.1583,-4.1279,0.7613,10.7211,1.1248,0.7803,6
22,1.0,1.0,1.0,0.6292,1.0,0.0,1.0,1.0,1.0,21.859,61.2799,-7.0849,173.0068,8.1227,11.2036,-2.7991,13.427,10.6046,0.9607,0.7075,6
23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0717,2.309,9.6728,14.133,4.1277,1.093,6.9703,41.9771,2.8092,0.5752,0.6396,1
24,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,37.4551,63.8995,-8.5079,108.9296,12.2321,12.9467,-7.5673,10.2466,9.2433,1.1138,0.8478,6
25,0.4758,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,37.1802,63.8444,0.0979,111.568,12.5765,11.1495,-7.4621,12.5376,9.5762,1.0136,0.6994,6
26,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,26.5228,63.3066,-4.8967,99.8075,5.8171,12.9875,0.379,12.9351,10.2543,0.9051,0.609,5
27,1.0,1.0,0.0,1.0,1.0,1.0,0.3926,1.0,1.0,32.0637,62.4873,-5.4616,105.5795,8.6342,12.4422,-1.6243,11.8295,9.8045,0.9289,0.6554,6
28,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,28.0213,65.7109,-7.1417,89.2648,8.0605,12.9694,-5.0521,10.3399,9.3786,0.9644,0.7654,5
30,1.0,1.0,0.0,1.0,0.6636,1.0,1.0,1.0,1.0,37.5217,44.7478,-8.5085,84.9333,11.4583,9.4349,-4.5268,9.6457,8.5107,0.8885,0.7839,5
38,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,27.7001,64.5083,-4.843,182.5898,6.9447,12.1765,1.3033,3.3565,11.5968,1.0476,0.6276,5
39,0.2009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.185,65.16,3.8012,196.0369,13.8796,9.5951,-6.4816,4.3152,11.1139,1.1467,0.661,6
40,0.0,1.0,1.0,0.6616,1.0,1.0,1.0,1.0,1.0,31.0273,60.0624,5.9895,198.2094,12.9958,8.164,-5.1876,17.4118,11.1524,0.9666,0.5543,6
41,1.0,1.0,1.0,1.0,1.0,0.0,0.6032,1.0,1.0,26.8605,65.9354,-5.3718,172.1762,7.3762,12.076,-0.2946,1.8466,11.0164,1.0427,0.6708,5
42,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,33.5043,62.7791,-5.0735,194.7131,9.3646,11.6375,0.3119,3.2093,11.5509,1.0948,0.6474,6
44,0.1532,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,33.0242,62.8687,7.7613,199.3588,9.9151,8.9807,0.4834,7.1077,12.115,0.9476,0.4263,6
46,1.0,1.0,1.0,1.0,1.0,0.5379,0.0,1.0,1.0,28.3573,63.8988,-4.8992,185.6686,7.4269,11.6456,1.0497,3.3139,11.5823,1.0402,0.6318,5
47,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6394,26.2525,64.1837,-8.5659,90.5527,11.572,12.8896,-7.4186,10.1995,6.5933,0.9542,0.8457,5
48,1.0,1.0,0.673,1.0,1.0,0.0,0.0,1.0,1.0,27.3058,64.0194,-4.8707,125.5858,6.3995,12.4392,0.9403,7.431,10.7816,0.9549,0.6171,5
50,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,21.8857,64.5857,5.7875,87.2959,12.0763,9.8785,-7.5854,14.8351,6.0849,0.7359,0.6373,5
51,1.0,1.0,1.0,0.5221,1.0,0.0,0.0,1.0,1.0,19.4772,57.5097,-4.8401,183.9768,5.6866,11.4845,2.8767,17.7171,11.4495,0.898,0.5537,5
52,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.3851,2.1156,-4.8827,17.8859,4.2711,4.0781,5.6178,37.3082,3.7362,0.5732,0.6884,1
53,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2204,0.0883,0.15,16.9713,56.715,4.3422,1.0682,15.745,39.5373,1.5619,0.6155,0.6195,3
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.6992,29.8273,16.8443,38.0923,4.0,1.3101,14.8344,28.911,4.1651,0.4776,0.4756,4
56,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0512,65.3028,5.9864,197.3555,14.0007,9.1602,-6.4416,5.3365,11.2601,1.1234,0.6367,6
57,0.1586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8205,4.5157,0.2762,16.4483,5.0775,4.2529,1.3223,15.3772,41.1768,1.6479,0.6412,0.6406,3
60,1.0,1.0,0.0,1.0,1.0,0.7502,1.0,1.0,1.0,32.775,64.5512,-8.11,101.1966,10.4693,12.6082,-6.7104,10.2979,9.2843,1.0393,0.8206,6
61,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.1187,0.0631,14.5288,11.6066,6.2433,1.2679,11.957,41.8154,1.1734,0.5698,0.6338,3
63,1.0,1.0,0.0,0.234,1.0,0.0,0.0,1.0,1.0,18.4211,53.8929,-4.8897,104.4157,4.7419,12.7135,3.0353,22.7238,10.0747,0.7599,0.5494,4
64,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,27.4401,65.9124,7.2989,94.9084,8.7015,9.9939,-4.8507,15.0084,10.0528,0.7869,0.5417,5
66,1.0,1.0,1.0,1.0,1.0,0.4142,1.0,1.0,1.0,30.9616,66.517,-7.585,176.8681,10.1618,12.0264,-4.8953,0.7589,10.6759,1.162,0.8052,6
68,0.4423,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.3274,2.3582,14.7009,5.0094,5.2664,4.4148,15.5344,39.7463,0.8396,0.5622,0.5803,3
69,0.7752,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,33.3952,62.7135,-1.1426,195.751,9.5133,10.8111,0.3565,4.1424,11.687,1.0485,0.5664,6
70,1.0,1.0,1.0,1.0,1.0,0.9617,0.0,1.0,1.0,32.6871,62.8778,-5.0515,193.603,9.0968,11.5491,0.402,3.2209,11.5541,1.0831,0.6454,6
72,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.3872,12.5591,63.7165,-5.0049,75.4673,5.0404,12.9076,0.3413,12.8673,6.7981,0.8335,0.6318,3
74,0.6048,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,27.4939,64.4352,1.9878,184.5624,7.2117,10.746,1.3843,5.0925,11.8495,0.9602,0.4894,5
75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5297,14.9561,64.8553,-4.9242,161.0767,6.2133,12.1078,1.3779,3.299,8.5173,0.9208,0.6353,4
77,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.6706,17.3536,65.976,-7.1933,71.9077,7.4274,12.9159,-4.8884,10.2959,6.8702,0.8785,0.7679,3
78,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.7715,2.1706,-7.239,19.096,5.73,4.3364,2.8258,37.124,2.3083,0.6721,0.7829,1
79,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,17.7683,52.3427,9.5918,192.4408,5.8447,10.8029,3.9855,23.969,11.9988,0.7189,0.2454,4
88,1.0,1.0,1.0,1.0,1.0,0.219,0.0,1.0,1.0,27.7502,64.4012,-4.8517,183.0749,7.012,12.067,1.2632,3.3494,11.5944,1.0458,0.6282,5
89,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,26.5001,63.4406,10.0569,92.247,5.6574,12.7472,9.4939,12.9423,8.7037,0.6191,0.2285,4
90,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,27.1189,64.7098,9.5976,188.2334,7.5857,9.201,1.5047,8.025,12.2711,0.8655,0.3838,5
