Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.25,0.75,0.5,1.0,0.75,0.25,0.5,0.25,0.0,0.2483,0.7449,0.9932,5.959,2.6484,0.0,10.5938,7.0625,84.75,0.408,6
2,0.75,0.5,0.2613,0.3465,0.9886,0.25,0.25,0.0,0.001,0.0,0.237,0.7109,2.8436,0.0438,7.2334,31.2874,42.356,28.2374,0.4894,6
3,0.7514,0.9742,0.9604,0.7267,0.9879,0.2484,0.9765,0.0056,0.0798,0.065,12.5633,0.3041,39.1395,0.6367,19.8258,2.9949,1.9971,25.6453,0.4847,4
4,0.7518,0.9858,0.9471,0.524,0.9832,0.8131,0.9555,0.9956,0.0294,30.0632,0.1384,1.4473,7.4861,0.6853,36.9924,4.3382,1.1788,27.4842,0.4625,4
5,0.7518,0.9858,0.9471,0.524,0.9832,0.8131,0.9555,0.9956,0.0294,30.0632,0.1384,1.4473,7.4861,0.6853,36.9924,4.3382,1.1788,27.4842,0.4625,4
6,0.7518,0.9858,0.9471,0.524,0.9832,0.8131,0.9555,0.9956,0.0294,30.0632,0.1384,1.4473,7.4861,0.6853,36.9924,4.3382,1.1788,27.4842,0.4625,4
7,0.7518,0.9858,0.9471,0.524,0.9832,0.8131,0.9555,0.9956,0.0294,30.0632,0.1384,1.4473,7.4861,0.6853,36.9924,4.3382,1.1788,27.4842,0.4625,4
8,0.9555,0.9503,0.3143,0.7624,0.9832,0.2315,0.917,0.5093,0.0285,2.4898,2.4691,0.4554,18.2202,0.4052,7.5159,68.991,5.2583,4.9336,0.4786,6
9,0.7357,0.974,0.8894,0.7358,0.983,0.937,0.9895,0.9939,0.0014,47.9015,0.2947,0.5134,3.2816,0.8996,19.0153,8.9477,2.1619,29.8421,0.3847,5
10,0.7357,0.974,0.8894,0.7358,0.983,0.937,0.9895,0.9939,0.0014,47.9015,0.2947,0.5134,3.2816,0.8996,19.0153,8.9477,2.1619,29.8421,0.3847,5
11,0.7357,0.974,0.8894,0.7358,0.983,0.937,0.9895,0.9939,0.0014,47.9015,0.2947,0.5134,3.2816,0.8996,19.0153,8.9477,2.1619,29.8421,0.3847,5
12,0.7504,0.986,0.9487,0.7367,0.9831,0.846,0.9555,0.9868,0.0007,45.7775,0.6145,2.1596,8.8459,0.9868,20.8831,4.2887,1.187,28.1917,0.4376,5
13,0.7504,0.986,0.9487,0.7367,0.9831,0.846,0.9555,0.9868,0.0007,45.7775,0.6145,2.1596,8.8459,0.9868,20.8831,4.2887,1.187,28.1917,0.4376,5
14,0.9573,0.9872,0.892,0.7788,0.0723,0.2461,0.2455,0.289,0.0001,0.0937,0.2305,0.9965,4.0461,68.8133,21.0661,11.5318,1.3892,4.8264,0.4355,7
15,0.9573,0.9872,0.892,0.7788,0.0723,0.2461,0.2455,0.289,0.0001,0.0937,0.2305,0.9965,4.0461,68.8133,21.0661,11.5318,1.3892,4.8264,0.4355,7
16,0.9976,0.4418,0.8394,0.7204,0.9772,0.1926,0.1978,0.8901,0.0017,0.9958,0.1232,4.5443,23.7429,0.685,11.6768,7.9933,62.8816,0.2668,0.414,5
17,0.9976,0.4418,0.8394,0.7204,0.9772,0.1926,0.1978,0.8901,0.0017,0.9958,0.1232,4.5443,23.7429,0.685,11.6768,7.9933,62.8816,0.2668,0.414,5
18,0.9976,0.4418,0.8394,0.7204,0.9772,0.1926,0.1978,0.8901,0.0017,0.9958,0.1232,4.5443,23.7429,0.685,11.6768,7.9933,62.8816,0.2668,0.414,5
19,0.9573,0.9872,0.892,0.7788,0.0723,0.2461,0.2455,0.289,0.0001,0.0937,0.2305,0.9965,4.0461,68.8133,21.0661,11.5318,1.3892,4.8264,0.4355,7
20,0.9573,0.9872,0.892,0.7788,0.0723,0.2461,0.2455,0.289,0.0001,0.0937,0.2305,0.9965,4.0461,68.8133,21.0661,11.5318,1.3892,4.8264,0.4355,7
21,0.9573,0.9872,0.892,0.7788,0.0723,0.2461,0.2455,0.289,0.0001,0.0937,0.2305,0.9965,4.0461,68.8133,21.0661,11.5318,1.3892,4.8264,0.4355,7
22,0.9573,0.9872,0.892,0.7788,0.0723,0.2461,0.2455,0.289,0.0001,0.0937,0.2305,0.9965,4.0461,68.8133,21.0661,11.5318,1.3892,4.8264,0.4355,7
23,0.7055,0.9863,0.8834,0.6974,0.9787,0.8648,0.9294,0.9862,0.0001,37.5784,0.5249,2.8956,6.4095,1.0299,21.0181,9.1641,1.0904,33.2787,0.3786,5
24,0.7055,0.9863,0.8834,0.6974,0.9787,0.8648,0.9294,0.9862,0.0001,37.5784,0.5249,2.8956,6.4095,1.0299,21.0181,9.1641,1.0904,33.2787,0.3786,5
25,0.7055,0.9863,0.8834,0.6974,0.9787,0.8648,0.9294,0.9862,0.0001,37.5784,0.5249,2.8956,6.4095,1.0299,21.0181,9.1641,1.0904,33.2787,0.3786,5
26,0.7055,0.9863,0.8834,0.6974,0.9787,0.8648,0.9294,0.9862,0.0001,37.5784,0.5249,2.8956,6.4095,1.0299,21.0181,9.1641,1.0904,33.2787,0.3786,5
