Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.25,0.75,0.5,1.0,0.75,0.25,0.5,0.25,0.0,0.2483,0.7449,0.9932,5.959,2.6484,0.0,10.5938,7.0625,84.75,0.408,6
2,0.7244,0.5003,0.5071,0.7518,0.5,0.5,0.25,0.5112,0.0,0.4988,0.477,2.9276,3.9035,7.8069,5.1552,20.187,40.906,31.1379,0.1298,8
3,0.5104,0.75,0.4781,0.8196,0.75,0.6705,0.75,0.7555,0.0117,4.7429,1.5531,2.1174,4.1629,4.2108,3.7078,22.4353,14.3288,54.9717,0.1543,7
4,0.9999,0.8037,0.7469,0.9325,0.5,0.2328,0.2504,0.2978,0.0019,0.5474,1.2932,5.5131,24.238,31.5927,4.577,22.9658,22.1619,0.0123,0.3346,6
5,0.9999,0.8037,0.7469,0.9325,0.5,0.2328,0.2504,0.2978,0.0019,0.5474,1.2932,5.5131,24.238,31.5927,4.577,22.9658,22.1619,0.0123,0.3346,6
6,0.9999,0.7395,0.7469,1.0,0.276,0.4741,0.2717,0.3015,0.0069,0.6619,1.5445,5.9276,9.0274,45.02,0.0008,21.0761,29.3335,0.0122,0.4713,7
7,0.5539,1.0,0.7738,0.9798,0.9365,0.9852,0.2965,0.9854,0.015,12.4926,0.1875,30.5354,0.6535,2.9898,0.9722,14.0371,0.0004,49.9843,0.4361,5
8,0.9372,0.9968,0.775,0.4727,0.9805,0.7826,0.961,0.0305,0.9689,0.0265,27.0432,1.133,8.0644,0.736,42.2007,23.2358,0.3297,6.9475,0.5196,5
9,0.9994,0.5521,0.7208,0.9896,0.7449,0.4525,0.9366,0.1551,0.0233,2.0948,11.687,0.9362,17.8673,11.178,0.4611,17.1503,49.8394,0.0637,0.449,7
10,0.9994,0.5521,0.7208,0.9896,0.7449,0.4525,0.9366,0.1551,0.0233,2.0948,11.687,0.9362,17.8673,11.178,0.4611,17.1503,49.8394,0.0637,0.449,7
11,0.9994,0.5521,0.7208,0.9896,0.7449,0.4525,0.9366,0.1551,0.0233,2.0948,11.687,0.9362,17.8673,11.178,0.4611,17.1503,49.8394,0.0637,0.449,7
12,0.5321,0.6992,0.879,0.7757,0.9158,0.9999,0.8919,0.9067,0.0087,20.9485,2.175,2.8243,0.0013,2.4029,8.2516,5.0654,18.0088,52.6363,0.3861,6
13,0.5321,0.6992,0.879,0.7757,0.9158,0.9999,0.8919,0.9067,0.0087,20.9485,2.175,2.8243,0.0013,2.4029,8.2516,5.0654,18.0088,52.6363,0.3861,6
14,0.5321,0.6992,0.879,0.7757,0.9158,0.9999,0.8919,0.9067,0.0087,20.9485,2.175,2.8243,0.0013,2.4029,8.2516,5.0654,18.0088,52.6363,0.3861,6
15,0.5321,0.6992,0.879,0.7757,0.9158,0.9999,0.8919,0.9067,0.0087,20.9485,2.175,2.8243,0.0013,2.4029,8.2516,5.0654,18.0088,52.6363,0.3861,6
16,0.5321,0.6992,0.879,0.7757,0.9158,0.9999,0.8919,0.9067,0.0087,20.9485,2.175,2.8243,0.0013,2.4029,8.2516,5.0654,18.0088,52.6363,0.3861,6
17,0.9797,0.7198,0.879,0.7735,0.7294,0.9211,0.984,0.9149,0.0111,32.2104,3.0296,0.5798,3.0987,14.5741,15.7697,9.5868,30.8416,2.282,0.3206,7
18,0.9797,0.7198,0.879,0.7735,0.7294,0.9211,0.984,0.9149,0.0111,32.2104,3.0296,0.5798,3.0987,14.5741,15.7697,9.5868,30.8416,2.282,0.3206,7
19,0.9797,0.7198,0.879,0.7735,0.7294,0.9211,0.984,0.9149,0.0111,32.2104,3.0296,0.5798,3.0987,14.5741,15.7697,9.5868,30.8416,2.282,0.3206,7
20,0.9797,0.7198,0.879,0.7735,0.7294,0.9211,0.984,0.916,0.0111,32.2505,2.9921,0.5799,3.099,14.5754,15.771,9.5808,30.8416,2.282,0.3206,7
21,0.9797,0.7198,0.879,0.7735,0.7294,0.9211,0.984,0.916,0.0111,32.2505,2.9921,0.5799,3.099,14.5754,15.771,9.5808,30.8416,2.282,0.3206,7
22,0.9883,0.7075,0.7726,0.7941,0.9885,0.9879,0.9901,0.0532,0.971,0.0709,43.4996,0.4571,0.5703,0.5463,12.3196,17.6168,32.015,1.2968,0.4233,6
23,0.8834,0.7094,0.8707,0.8005,0.7641,0.9993,0.9902,0.8871,0.0272,31.6217,4.1352,0.3626,0.0267,11.4346,12.0765,8.9885,28.4779,12.9367,0.4121,5
24,0.8834,0.7094,0.8707,0.8005,0.7641,0.9993,0.9902,0.8871,0.0272,31.6217,4.1352,0.3626,0.0267,11.4346,12.0765,8.9885,28.4779,12.9367,0.4121,5
25,0.9883,0.7075,0.7726,0.7941,0.9885,0.9879,0.9901,0.0532,0.971,0.0709,43.4996,0.4571,0.5703,0.5463,12.3196,17.6168,32.015,1.2968,0.4233,6
26,0.8834,0.6952,0.9436,0.8005,0.7739,0.9993,0.9878,0.8642,0.0187,33.584,5.3769,0.491,0.0281,11.7191,12.917,3.8681,30.084,13.029,0.4601,6
27,0.884,0.6952,0.9436,0.7946,0.7739,0.9993,0.9896,0.8642,0.0183,33.4442,5.3522,0.4134,0.0279,11.6431,13.317,3.8719,30.1137,12.9689,0.4603,6
28,0.884,0.6952,0.9436,0.7946,0.7739,0.9993,0.9896,0.8642,0.0183,33.4442,5.3522,0.4134,0.0279,11.6431,13.317,3.8719,30.1137,12.9689,0.4603,6
29,0.884,0.6952,0.9436,0.7946,0.7739,0.9993,0.9896,0.8642,0.0183,33.4442,5.3522,0.4134,0.0279,11.6431,13.317,3.8719,30.1137,12.9689,0.4603,6
30,0.884,0.6952,0.9436,0.7946,0.7739,0.9993,0.9896,0.8642,0.0183,33.4442,5.3522,0.4134,0.0279,11.6431,13.317,3.8719,30.1137,12.9689,0.4603,6
