Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.67,0.0,0.67,0.33,0.33,0.33,0.0,0.33,1.0,0.1747,0.0996,0.0,0.1147,0.1321,0.152,0.538,0.0,1.0858,0.4714,7
2,0.67,0.665,0.67,0.33,0.33,0.308,0.0,0.3355,1.0,0.089,0.0518,0.0,0.0541,0.0663,0.0764,0.2702,0.5355,1.0858,0.3763,5
3,0.67,0.665,0.67,0.33,0.33,0.308,0.0,0.3355,1.0,0.089,0.0518,0.0,0.0541,0.0663,0.0764,0.2702,0.5355,1.0858,0.3763,5
4,0.67,0.665,0.67,0.33,0.33,0.308,0.0,0.3355,1.0,0.089,0.0518,0.0,0.0541,0.0663,0.0764,0.2702,0.5355,1.0858,0.3763,5
5,0.67,0.665,0.67,0.33,0.33,0.308,0.0,0.3355,1.0,0.089,0.0518,0.0,0.0541,0.0663,0.0764,0.2702,0.5355,1.0858,0.3763,5
6,0.67,0.665,0.67,0.33,0.33,0.308,0.0,0.3355,1.0,0.089,0.0518,0.0,0.0541,0.0663,0.0764,0.2702,0.5355,1.0858,0.3763,5
7,0.67,0.665,0.67,0.33,0.33,0.308,0.0,0.3355,1.0,0.089,0.0518,0.0,0.0541,0.0663,0.0764,0.2702,0.5355,1.0858,0.3763,5
8,0.67,0.6291,0.6806,0.33,0.0087,0.308,0.3329,0.3355,1.0,0.0944,0.0549,0.0629,0.0662,0.0019,0.0812,0.2988,0.5171,1.0858,0.3378,6
9,0.67,0.6291,0.6806,0.33,0.0087,0.308,0.3329,0.3355,1.0,0.0944,0.0549,0.0629,0.0662,0.0019,0.0812,0.2988,0.5171,1.0858,0.3378,6
10,0.67,0.6397,0.5097,0.33,0.0087,0.2647,0.3159,0.3355,1.0,0.1396,0.0812,0.0874,0.0811,0.0027,0.1145,0.2384,0.5228,1.0858,0.3242,8
11,0.67,0.6397,0.5097,0.33,0.0087,0.2647,0.3159,0.3355,1.0,0.1396,0.0812,0.0874,0.0811,0.0027,0.1145,0.2384,0.5228,1.0858,0.3242,8
12,0.67,0.6397,0.5097,0.33,0.0087,0.2647,0.3159,0.3355,1.0,0.1396,0.0812,0.0874,0.0811,0.0027,0.1145,0.2384,0.5228,1.0858,0.3242,8
13,0.6639,0.6291,0.3606,0.33,0.0085,0.308,0.3329,0.3351,1.0,0.1684,0.0978,0.1122,0.1181,0.0034,0.1448,0.1859,0.5258,1.0798,0.3229,7
14,0.3388,0.7145,0.3304,0.33,0.6612,0.6732,0.0682,0.7027,0.9352,0.0372,0.0742,0.0089,0.1481,0.2888,0.1912,0.2204,0.9235,0.6035,0.313,7
15,0.3388,0.7145,0.3304,0.33,0.6612,0.6732,0.0682,0.7027,0.9352,0.0372,0.0742,0.0089,0.1481,0.2888,0.1912,0.2204,0.9235,0.6035,0.313,7
