Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.55,0.55,0.4,0.7,0.85,0.7,0.7,0.4,1.0,0.145,0.0372,0.1451,0.202,0.6232,0.6662,0.2458,0.5085,0.5719,0.1928,6
2,0.5296,0.4033,0.55,0.701,0.4014,0.8123,0.4,0.9887,1.0,0.0118,0.3327,0.0855,0.5808,0.1745,0.6785,0.5005,0.2857,0.533,0.2648,4
3,0.5292,0.7101,0.55,0.701,0.4046,0.7009,0.4,0.9766,0.9961,0.0246,0.3379,0.087,0.3403,0.1284,0.4912,0.3623,0.8026,0.5307,0.1815,5
4,0.5653,0.6987,0.577,0.4017,0.55,0.6953,0.5551,0.7,1.0,0.2713,0.2629,0.1986,0.4052,0.3028,0.1715,0.394,0.7603,0.6015,0.1936,6
5,0.7003,0.5493,0.55,0.5643,0.5506,0.8017,0.5433,0.5697,0.6979,0.1324,0.1069,0.1095,0.3896,0.2374,0.283,0.3036,0.3404,0.7237,0.2051,5
6,0.5387,0.6846,0.7001,0.679,0.4023,0.6959,0.5385,0.8557,0.9994,0.1149,0.2569,0.1379,0.2983,0.1124,0.3954,0.5787,0.7532,0.5501,0.1793,7
7,0.5387,0.6846,0.7001,0.679,0.4023,0.6959,0.5385,0.8557,0.9994,0.1149,0.2569,0.1379,0.2983,0.1124,0.3954,0.5787,0.7532,0.5501,0.1793,7
8,0.6993,0.6996,0.701,0.5971,0.4529,0.8725,0.8549,0.8539,0.9881,0.0229,0.0505,0.1231,0.3429,0.1231,0.2437,0.4465,0.6191,0.8603,0.1642,5
9,0.5387,0.6846,0.7001,0.679,0.4023,0.6959,0.5385,0.8557,0.9994,0.1149,0.2569,0.1379,0.2983,0.1124,0.3954,0.5787,0.7532,0.5501,0.1793,7
10,0.5368,0.6846,0.6992,0.679,0.402,0.696,0.5385,0.8557,0.999,0.1153,0.2578,0.1383,0.2994,0.1127,0.3967,0.5781,0.7542,0.5462,0.1799,7
11,0.5717,0.5464,0.766,0.5971,0.5529,0.8725,0.8581,0.8261,0.9868,0.0308,0.0565,0.1464,0.4062,0.2274,0.3087,0.7656,0.487,0.6076,0.1223,6
12,0.6248,0.5496,0.5533,0.5614,0.4025,0.401,0.8667,0.5506,0.9999,0.225,0.1161,0.6146,0.1716,0.1786,0.3829,0.4206,0.467,0.7193,0.1081,5
13,0.5388,0.5532,0.5545,0.679,0.4031,0.4159,0.6074,0.8482,0.9986,0.2194,0.4652,0.3366,0.1712,0.1665,0.5832,0.4617,0.5184,0.5498,0.1362,6
14,0.5498,0.5496,0.5007,0.4912,0.7306,0.4655,0.8489,0.6728,0.9998,0.1721,0.1482,0.484,0.1894,0.6307,0.3379,0.3793,0.5078,0.5713,0.1314,5
15,0.5702,0.568,0.7002,0.5614,0.4103,0.4333,0.8432,0.402,0.9868,0.2335,0.0606,0.4947,0.1672,0.1558,0.3217,0.6569,0.5238,0.6046,0.1303,5
16,0.5702,0.568,0.7003,0.5516,0.4103,0.7333,0.8421,0.8074,0.9868,0.0883,0.1452,0.3458,0.434,0.1572,0.3115,0.657,0.5238,0.6046,0.1313,5
17,0.5702,0.568,0.7003,0.5516,0.4103,0.7333,0.8421,0.8074,0.9868,0.0883,0.1452,0.3458,0.434,0.1572,0.3115,0.657,0.5238,0.6046,0.1313,5
18,0.5647,0.6717,0.5577,0.6766,0.6998,0.4693,0.4646,0.8529,0.9996,0.1463,0.3206,0.1243,0.1347,0.3846,0.484,0.3906,0.7134,0.6001,0.1002,6
19,0.625,0.5338,0.5477,0.6767,0.804,0.6964,0.5629,0.6663,0.9903,0.1574,0.1319,0.1116,0.223,0.5207,0.5368,0.415,0.4389,0.7141,0.1169,6
20,0.625,0.5338,0.5477,0.6767,0.804,0.6964,0.5629,0.6663,0.9903,0.1574,0.1319,0.1116,0.223,0.5207,0.5368,0.415,0.4389,0.7141,0.1169,6
21,0.625,0.5338,0.5459,0.568,0.7676,0.6964,0.4792,0.6663,0.9903,0.2225,0.1865,0.1096,0.2961,0.57,0.396,0.4125,0.4389,0.7141,0.1173,6
22,0.5666,0.5514,0.4765,0.489,0.718,0.4096,0.5952,0.7074,0.9999,0.3384,0.3389,0.2979,0.1522,0.6136,0.3341,0.3393,0.5029,0.604,0.139,5
23,0.6105,0.5098,0.62,0.5567,0.7156,0.7333,0.6968,0.9621,0.9999,0.027,0.23,0.2213,0.3607,0.5012,0.3681,0.5429,0.4135,0.6907,0.1295,7
24,0.6085,0.663,0.6989,0.6737,0.4957,0.4553,0.8214,0.8609,0.9989,0.0744,0.1727,0.3354,0.1298,0.1649,0.3788,0.5584,0.6647,0.6861,0.0877,6
25,0.6085,0.663,0.6989,0.6737,0.4957,0.4553,0.8214,0.8609,0.9989,0.0744,0.1727,0.3354,0.1298,0.1649,0.3788,0.5584,0.6647,0.6861,0.0877,6
26,0.6085,0.663,0.6989,0.6737,0.4957,0.4553,0.8214,0.8609,0.9989,0.0744,0.1727,0.3354,0.1298,0.1649,0.3788,0.5584,0.6647,0.6861,0.0877,6
27,0.6104,0.5179,0.62,0.6092,0.683,0.7333,0.837,0.4239,0.9997,0.1404,0.0407,0.2875,0.3631,0.4369,0.4308,0.5398,0.426,0.6904,0.1236,7
28,0.6267,0.642,0.6991,0.6749,0.7283,0.6338,0.9028,0.8603,0.9999,0.0273,0.063,0.2298,0.1752,0.3269,0.3838,0.5647,0.6149,0.7231,0.0368,7
29,0.6285,0.6524,0.6881,0.6697,0.7115,0.6961,0.5626,0.4007,0.9992,0.1929,0.0497,0.1081,0.216,0.3194,0.3801,0.54,0.63,0.7263,0.0324,7
30,0.6267,0.642,0.6991,0.6749,0.7283,0.6338,0.9028,0.8603,0.9999,0.0273,0.063,0.2298,0.1752,0.3269,0.3838,0.5647,0.6149,0.7231,0.0368,7
31,0.6268,0.6404,0.6991,0.6749,0.7331,0.69,0.9028,0.8298,0.9999,0.029,0.0545,0.2066,0.2,0.3308,0.3846,0.566,0.6123,0.7233,0.0374,7
32,0.6268,0.6404,0.6991,0.6749,0.7331,0.69,0.9028,0.8298,0.9999,0.029,0.0545,0.2066,0.2,0.3308,0.3846,0.566,0.6123,0.7233,0.0374,7
33,0.6268,0.6404,0.6991,0.6749,0.7331,0.69,0.9028,0.8298,0.9999,0.029,0.0545,0.2066,0.2,0.3308,0.3846,0.566,0.6123,0.7233,0.0374,7
34,0.6268,0.6404,0.6991,0.6749,0.7331,0.69,0.9028,0.8298,0.9999,0.029,0.0545,0.2066,0.2,0.3308,0.3846,0.566,0.6123,0.7233,0.0374,7
