Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,weighted_sum,Fitness,Nc
1,0.4615,0.4992,0.5271,0.5635,0.6358,0.5745,0.6758,0.6284,1.0,0.36853,0.26502,0.403242,0.339906,0.521766,0.466814,0.466195,0.452173,0.407868,0.5377,0.1923,7
2,0.9334,0.4996,0.4072,0.4411,0.9356,0.4927,0.4891,0.5453,0.6316,0.014871,0.013104,0.011346,0.012204,0.17922,0.0572,0.051646,0.081965,0.994088,0.1305,0.6727,1
3,0.4,0.5385,0.5551,0.4541,0.5887,0.6773,0.5963,0.9243,1.0,0.117088,0.475835,0.310982,0.515573,0.472541,0.299243,0.513556,0.535378,0.310862,0.5882,0.2176,6
4,0.4,0.5465,0.5307,0.4,0.4595,0.519,0.5209,0.805,1.0,0.380555,0.634579,0.334656,0.367292,0.307664,0.242097,0.459771,0.553892,0.310862,0.5486,0.2335,6
5,0.5009,0.4,0.4255,0.6534,0.666,0.4037,0.7646,0.4,1.0,0.371468,0.095377,0.490597,0.159885,0.547179,0.660185,0.320329,0.287199,0.478354,0.6011,0.2486,6
6,0.4,0.4,0.4,0.5959,0.6797,0.5003,0.5269,0.4,1.0,0.580146,0.148956,0.282886,0.274377,0.636925,0.608619,0.291637,0.301096,0.310862,0.4914,0.2955,6
7,0.4059,0.6991,0.7083,0.4,0.5493,0.6959,0.5424,0.8465,0.9981,0.142594,0.306143,0.166502,0.364889,0.269759,0.151398,0.616674,0.839741,0.326241,0.4384,0.2734,7
8,0.8742,0.5421,0.4078,0.412,0.704,0.4164,0.9985,0.5404,0.7017,0.0,0.0,0.223747,0.063635,0.225424,0.087578,0.090722,0.171374,0.965092,0.2514,0.6727,3
9,0.5955,0.6475,0.467,0.4684,0.8068,0.835,0.4102,0.6303,0.6449,0.064699,0.077555,0.035914,0.276044,0.514327,0.216872,0.230617,0.530305,0.546329,0.3207,0.321,4
10,0.4671,0.583,0.8389,0.8956,0.682,0.5707,0.5603,0.961,0.6224,0.004333,0.061648,0.033341,0.039467,0.071774,0.351292,0.737301,0.480945,0.344965,0.1693,0.5167,3
11,0.7101,0.703,0.7116,0.6964,0.6943,0.4113,0.7149,0.686,0.7081,0.068942,0.089863,0.133851,0.050852,0.180733,0.257536,0.374867,0.510466,0.74303,0.246,0.2571,3
12,0.5141,0.5884,0.5345,0.6358,0.6111,0.481,0.6414,0.5561,0.9997,0.389755,0.209195,0.33169,0.209318,0.391136,0.531535,0.418458,0.596444,0.496615,0.5243,0.1315,6
13,0.5187,0.587,0.5338,0.6371,0.623,0.4875,0.6304,0.5542,0.9971,0.388859,0.200061,0.314479,0.213361,0.399613,0.527743,0.415472,0.592189,0.515109,0.4448,0.125,6
14,0.4683,0.5105,0.5281,0.5725,0.6327,0.5627,0.6715,0.6193,0.9998,0.381672,0.263258,0.394617,0.326792,0.496925,0.476482,0.460688,0.467017,0.425085,0.5659,0.1822,7
