Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.55,0.55,0.4,0.7,0.85,0.7,0.7,0.4,1.0,0.145,0.0372,0.1451,0.202,0.6232,0.6662,0.2458,0.5085,0.5719,0.1928,6
2,0.55,0.55,0.4,0.7,0.85,0.7,0.7,0.4,1.0,0.145,0.0372,0.1451,0.202,0.6232,0.6662,0.2458,0.5085,0.5719,0.1928,6
3,0.5402,0.5546,0.5548,0.5552,0.4,0.7,0.7,0.4,0.9999,0.3763,0.0966,0.3765,0.5242,0.1934,0.4091,0.4614,0.5207,0.5531,0.1229,6
4,0.5402,0.5546,0.5548,0.5552,0.4,0.7,0.7,0.4254,0.9999,0.3729,0.109,0.3765,0.5242,0.1934,0.4091,0.4614,0.5207,0.5531,0.1229,6
5,0.5335,0.5512,0.4454,0.4003,0.4063,0.5438,0.7347,0.408,0.9956,0.5079,0.1359,0.5959,0.3983,0.2358,0.2365,0.3059,0.516,0.5385,0.1992,5
6,0.4149,0.5664,0.5241,0.466,0.4146,0.515,0.4089,0.8903,0.9994,0.2457,0.7278,0.2065,0.352,0.2408,0.3204,0.441,0.5813,0.3338,0.1995,5
7,0.4149,0.5664,0.5206,0.466,0.4146,0.5152,0.4089,0.8903,0.9994,0.2464,0.7297,0.207,0.3531,0.2414,0.3213,0.4355,0.5813,0.3338,0.1996,5
8,0.4001,0.5371,0.73,0.7661,0.5766,0.698,0.5983,0.8305,0.9997,0.1091,0.2058,0.1468,0.2644,0.2197,0.5806,0.8083,0.5298,0.311,0.2129,7
9,0.4064,0.5292,0.4936,0.4057,0.4049,0.4088,0.8508,0.4636,1.0,0.3631,0.1275,0.8307,0.246,0.2496,0.2593,0.4083,0.5145,0.3207,0.2305,5
10,0.5295,0.5358,0.6604,0.4047,0.4025,0.5824,0.4554,0.9903,0.9997,0.0182,0.6015,0.2032,0.3746,0.1918,0.2004,0.6438,0.4927,0.5328,0.2008,4
11,0.4034,0.5616,0.4379,0.4602,0.4307,0.4046,0.4096,0.9906,1.0,0.0253,0.8585,0.2317,0.2339,0.2759,0.3317,0.3157,0.575,0.316,0.2288,5
12,0.4034,0.5747,0.4382,0.4603,0.4307,0.7033,0.4116,0.4249,0.9995,0.5994,0.1747,0.1701,0.6362,0.2722,0.3275,0.3119,0.5995,0.3159,0.2287,5
13,0.5442,0.4084,0.6674,0.4388,0.4283,0.8669,0.6839,0.4151,0.9984,0.2052,0.057,0.1924,0.6978,0.2237,0.2456,0.694,0.289,0.56,0.2327,6
14,0.5442,0.4084,0.6674,0.4388,0.4283,0.8669,0.6839,0.4151,0.9984,0.2052,0.057,0.1924,0.6978,0.2237,0.2456,0.694,0.289,0.56,0.2327,6
15,0.5103,0.4084,0.6814,0.4388,0.4283,0.8669,0.6839,0.4183,0.9984,0.2051,0.0578,0.1925,0.6983,0.2238,0.2458,0.7372,0.2967,0.4965,0.2422,6
16,0.5099,0.4104,0.6814,0.4388,0.4283,0.8669,0.6749,0.4183,0.9876,0.2066,0.0583,0.1867,0.692,0.2218,0.2436,0.7306,0.297,0.4915,0.244,6
17,0.5084,0.4072,0.6695,0.4414,0.5025,0.8655,0.6758,0.4306,1.0,0.2061,0.0618,0.1877,0.6868,0.3116,0.2549,0.7183,0.2957,0.4937,0.2398,6
18,0.4679,0.4741,0.4041,0.7179,0.4646,0.4361,0.446,0.9631,0.9868,0.0709,0.6212,0.202,0.2023,0.2425,0.7652,0.2772,0.4027,0.4171,0.2407,6
19,0.4712,0.4609,0.7077,0.7179,0.4368,0.436,0.446,0.9631,0.9997,0.0533,0.4667,0.1517,0.1519,0.1596,0.5674,0.7856,0.3847,0.427,0.2173,6
20,0.4696,0.6729,0.4256,0.4632,0.4323,0.5583,0.4694,0.9602,0.9998,0.0784,0.6362,0.2311,0.3631,0.2334,0.2826,0.25,0.7674,0.4244,0.2249,6
21,0.4922,0.4611,0.7157,0.7429,0.5294,0.4765,0.4438,0.9618,1.0,0.0466,0.3945,0.127,0.1554,0.2097,0.5796,0.7901,0.3804,0.4642,0.1967,7
22,0.4007,0.4611,0.7224,0.7577,0.5331,0.4765,0.4138,0.9618,1.0,0.0463,0.3916,0.1087,0.1524,0.2089,0.6121,0.836,0.3968,0.3119,0.2413,7
