Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y,Fitness,Nc
1,0.4,0.536,0.5301,0.4282,0.4923,0.5002,0.5169,0.7883,0.9727,0.3987,0.5974,0.3253,0.3269,0.3384,0.2746,0.453,0.5229,0.3036,5.8849,0.2284,6
2,0.4014,0.5395,0.5373,0.4298,0.4921,0.5001,0.5181,0.7845,0.9683,0.4099,0.5826,0.3226,0.3243,0.3357,0.2724,0.469,0.5229,0.3036,5.8632,0.2291,6
3,0.4,0.4716,0.5015,0.4,0.4,0.4,0.4204,0.7245,0.9936,0.6257,0.6633,0.2594,0.2435,0.2514,0.2595,0.4323,0.4085,0.3084,7.3568,0.2547,5
4,0.4,0.4,0.4347,0.4,0.4,0.4,0.4,0.5957,1.0,0.835,0.5299,0.2539,0.2621,0.2706,0.2794,0.3358,0.3011,0.3109,7.8317,0.2919,5
5,0.4,0.5304,0.4,0.4,0.4,0.4,0.4,0.537,1.0,0.8371,0.4127,0.2396,0.2474,0.2554,0.2637,0.2723,0.5171,0.3109,7.1409,0.2651,5
6,0.4,0.4,0.5467,0.4,0.4,0.4,0.4,0.5508,1.0,0.8161,0.4199,0.2356,0.2433,0.2512,0.2593,0.5365,0.3011,0.3109,7.0703,0.2846,6
7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6832,0.9049,0.6629,0.6161,0.2382,0.2459,0.2539,0.2621,0.2706,0.2794,0.2885,7.3447,0.3259,5
8,0.4,0.4,0.4,0.4,0.4,0.4,0.5347,0.6156,1.0,0.7682,0.5299,0.4408,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,7.6825,0.3024,5
9,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6683,1.0,0.7613,0.6479,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.0951,0.3024,5
10,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7261,1.0,0.6694,0.7425,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1099,0.3024,5
11,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7031,1.0,0.7179,0.6957,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1195,0.3024,5
12,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7035,1.0,0.7179,0.6957,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1195,0.3024,5
13,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7038,1.0,0.7179,0.6957,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1195,0.3024,5
14,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7039,1.0,0.7179,0.6957,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1195,0.3024,5
15,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.704,1.0,0.7179,0.6957,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1195,0.3024,5
16,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7041,1.0,0.7179,0.6957,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1195,0.3024,5
17,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7042,1.0,0.7179,0.6957,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1195,0.3024,5
18,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7043,1.0,0.7179,0.6957,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1195,0.3024,5
19,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7044,1.0,0.7179,0.6957,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1195,0.3024,5
21,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7045,1.0,0.7179,0.6957,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1195,0.3024,5
22,0.566,0.4,0.4,0.4,0.4,0.4,0.4,0.7063,1.0,0.6327,0.6409,0.2312,0.2387,0.2465,0.2545,0.2627,0.2712,0.6106,7.2584,0.2674,5
23,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7046,1.0,0.7179,0.6957,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1195,0.3024,5
24,0.4,0.4,0.4,0.4,0.4,0.5089,0.4,0.6723,1.0,0.7213,0.6139,0.2432,0.4234,0.2736,0.2825,0.2916,0.3011,0.3109,7.7861,0.3024,5
26,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7047,1.0,0.7179,0.6957,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1195,0.3024,5
27,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7048,1.0,0.7179,0.6957,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1195,0.3024,5
28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7049,1.0,0.7179,0.6957,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1195,0.3024,5
29,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.705,1.0,0.7179,0.6957,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1195,0.3024,5
30,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7051,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
31,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7053,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
32,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7058,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
33,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7083,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
34,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7089,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
35,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7037,1.0,0.7179,0.6957,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1195,0.3024,5
36,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7104,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
37,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7107,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
38,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.711,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
39,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7112,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
40,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7036,1.0,0.7179,0.6957,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1195,0.3024,5
41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.712,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
42,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7121,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
43,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7123,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
44,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7124,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
46,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7129,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
47,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.713,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
48,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7131,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
51,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7135,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
52,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7136,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
57,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7138,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
58,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7052,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
61,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7054,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
63,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7055,1.0,0.7023,0.7114,0.2567,0.265,0.2736,0.2825,0.2916,0.3011,0.3109,8.1203,0.3024,5
