Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.33,0.33,0.33,0.33,0.67,0.0,0.0,0.0,0.67,0.2929,0.1563,0.1698,0.1844,0.6161,0.596,0.7513,0.947,1.1937,0.069,7
2,0.33,0.33,0.33,0.33,0.67,0.0,0.0,0.0,0.67,0.2929,0.1563,0.1698,0.1844,0.6161,0.596,0.7513,0.947,1.1937,0.069,7
3,0.33,0.33,0.3314,0.3416,0.6813,0.0,0.0,0.6675,0.729,0.1981,0.3137,0.1668,0.1811,0.6193,0.6053,0.7555,0.9506,1.1978,0.0679,7
4,0.3317,0.33,0.3289,0.3233,0.1022,0.0206,0.3531,0.9953,0.9983,0.1829,0.4733,0.4065,0.2837,0.3652,0.605,0.7651,0.9635,1.2154,0.0635,7
5,0.3296,0.3299,0.3253,0.3234,0.1035,0.3237,0.33,0.972,1.0,0.169,0.4155,0.3465,0.4314,0.3671,0.6073,0.7633,0.9646,1.2129,0.064,7
6,0.3296,0.3294,0.2682,0.3231,0.3595,0.3242,0.3338,0.972,1.0,0.1528,0.3758,0.3153,0.3913,0.5195,0.6273,0.7176,0.9642,1.2129,0.064,7
7,0.3295,0.3334,0.2771,0.0078,0.3596,0.003,0.3291,0.6432,0.9967,0.314,0.4268,0.416,0.2862,0.5953,0.4015,0.723,0.968,1.2126,0.064,7
8,0.3272,0.3041,0.3301,0.7271,0.1999,0.6456,0.3286,0.9937,0.9729,0.0871,0.2263,0.187,0.3885,0.3042,0.8376,0.7789,0.9391,1.2084,0.0663,7
9,0.317,0.3215,0.2995,0.3869,0.1265,0.6418,0.3299,0.67,0.9726,0.1926,0.2756,0.2647,0.546,0.3749,0.6635,0.751,0.9623,1.1957,0.0679,7
10,0.2656,0.328,0.1979,0.9758,0.3261,0.333,0.3299,0.6703,0.9977,0.1262,0.1792,0.172,0.2174,0.2709,1.0266,0.6839,0.9984,1.1313,0.0819,8
11,0.2656,0.328,0.1979,0.971,0.2797,0.333,0.3299,0.6511,0.9915,0.1329,0.1834,0.1781,0.2251,0.2599,1.0244,0.6837,0.9981,1.131,0.082,8
12,0.2656,0.3214,0.3014,0.9614,0.2797,0.333,0.3299,0.6687,0.9915,0.1263,0.1792,0.1722,0.2177,0.2513,0.9707,0.7755,0.9913,1.131,0.082,8
13,0.3008,0.3265,0.3628,0.9683,0.3205,0.1494,0.1061,0.3514,0.9965,0.1828,0.1565,0.1302,0.1589,0.2445,0.9172,0.8076,0.9776,1.1764,0.0719,7
14,0.3008,0.3265,0.3628,0.9683,0.3205,0.1494,0.1061,0.3514,0.9965,0.1828,0.1565,0.1302,0.1589,0.2445,0.9172,0.8076,0.9776,1.1764,0.0719,7
15,0.298,0.3265,0.3613,0.9683,0.3205,0.1494,0.1061,0.3598,0.9965,0.1823,0.1582,0.1305,0.1593,0.2452,0.9195,0.8077,0.9791,1.1728,0.0727,7
16,0.298,0.3265,0.361,0.9565,0.3205,0.134,0.1062,0.3598,0.9965,0.1873,0.1626,0.1341,0.1591,0.2503,0.9159,0.8075,0.9791,1.1728,0.0727,7
17,0.2985,0.3073,0.361,0.9565,0.3205,0.1327,0.1062,0.3582,0.9965,0.1897,0.1642,0.1357,0.1605,0.2531,0.926,0.8164,0.9592,1.1735,0.0729,7
18,0.2985,0.3073,0.361,0.9565,0.3205,0.1327,0.1062,0.3582,0.9965,0.1897,0.1642,0.1357,0.1605,0.2531,0.926,0.8164,0.9592,1.1735,0.0729,7
19,0.2985,0.3073,0.361,0.9565,0.3205,0.1327,0.1062,0.3582,0.9965,0.1897,0.1642,0.1357,0.1605,0.2531,0.926,0.8164,0.9592,1.1735,0.0729,7
20,0.2985,0.3073,0.3596,0.9565,0.3205,0.1327,0.0741,0.3612,0.9965,0.1919,0.1669,0.1291,0.1607,0.2533,0.9268,0.8152,0.9592,1.1735,0.0729,7
