Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.4352,0.0926,0.1574,0.4723,0.6574,0.5648,0.2777,0.6574,0.5926,4.9074,4.9063,5.3453,5.8334,5.95,5.7083,5.5832,6.625,-122.1227,0.088,2
2,0,0.3654,0.6305,0.75,0.75,0.0264,0.5557,0.6938,0.5,5.2718,5.8058,6.0225,5.9138,5.5466,4.9957,6.2484,6.3719,-120.263,0.0655,5
3,0,0.4971,0.5443,0.5606,0.7444,0.5976,0.726,0.5484,0.3743,5.5927,6.1668,6.2658,6.3269,6.3833,6.0541,5.9461,5.1521,-120.3416,0.0457,7
4,0,0.4971,0.5443,0.5606,0.7444,0.5976,0.726,0.5484,0.3743,5.5927,6.1668,6.2658,6.3269,6.3833,6.0541,5.9461,5.1521,-120.3416,0.0457,7
5,0.402,0.4648,0.4263,0.6253,0.75,0.5377,0.7155,0.6391,0.3152,5.8758,6.033,6.1544,6.3741,6.3235,5.9668,6.0092,5.294,-120.9181,0.0343,7
6,0.402,0.4648,0.4263,0.6253,0.75,0.5377,0.7155,0.6391,0.3152,5.8758,6.033,6.1544,6.3741,6.3235,5.9668,6.0092,5.294,-120.9181,0.0343,7
7,0.402,0.4648,0.4263,0.6253,0.75,0.5377,0.7155,0.6391,0.3152,5.8758,6.033,6.1544,6.3741,6.3235,5.9668,6.0092,5.294,-120.9181,0.0343,7
8,0.402,0.4648,0.4263,0.6253,0.75,0.5377,0.7155,0.6391,0.3152,5.8758,6.033,6.1544,6.3741,6.3235,5.9668,6.0092,5.294,-120.9181,0.0343,7
9,0.2544,0.5661,0.5912,0.5475,0.4587,0.5849,0.573,0.6166,0.3538,5.5462,5.8282,5.7901,5.7017,5.6565,5.7885,5.6299,5.3666,-120.3652,0.0442,1
10,0.2544,0.5661,0.5912,0.5475,0.4587,0.5849,0.573,0.6166,0.3538,5.5462,5.8282,5.7901,5.7017,5.6565,5.7885,5.6299,5.3666,-120.3652,0.0442,1
11,0.3394,0.3746,0.6218,0.4413,0.5809,0.75,0.409,0.5642,0.412,5.4931,5.6729,5.8588,5.736,5.889,5.8041,5.1555,5.3927,-121.3219,0.0584,0
12,0.1603,0.3803,0.3537,0.6724,0.5585,0.4011,0.3644,0.6206,0.5156,5.0269,5.3499,5.4823,5.6989,5.4284,5.2789,5.5019,6.1129,-119.8396,0.0808,2
13,0.5937,0.5684,0.5761,0.4875,0.4303,0.2853,0.515,0.6486,0.3817,5.4867,5.3796,5.2744,5.1226,5.0697,5.119,5.6361,5.6366,-121.026,0.0958,0
14,0.3936,0.1629,0.5197,0.2288,0.5178,0.7343,0.5262,0.75,0.4526,5.2859,5.3788,5.7949,5.8145,6.3656,6.5418,6.1863,6.4117,-118.2928,0.0461,5
15,0.75,0.6217,0.75,0.1552,0.75,0.2486,0.75,0.6465,0.3439,6.0159,5.7991,5.6853,5.3412,5.9301,5.4751,6.221,5.4565,-119.6266,0.0488,4
16,0.75,0.6217,0.75,0.1552,0.75,0.2486,0.75,0.6465,0.3439,6.0159,5.7991,5.6853,5.3412,5.9301,5.4751,6.221,5.4565,-119.6266,0.0488,4
17,0.75,0.6217,0.75,0.1552,0.75,0.2486,0.75,0.6465,0.3439,6.0159,5.7991,5.6853,5.3412,5.9301,5.4751,6.221,5.4565,-119.6266,0.0488,4
18,0.75,0.6217,0.75,0.1552,0.75,0.2486,0.75,0.6465,0.3439,6.0159,5.7991,5.6853,5.3412,5.9301,5.4751,6.221,5.4565,-119.6266,0.0488,4
19,0.75,0.6217,0.75,0.1552,0.75,0.2486,0.75,0.6465,0.3439,6.0159,5.7991,5.6853,5.3412,5.9301,5.4751,6.221,5.4565,-119.6266,0.0488,4
20,0.75,0.6217,0.75,0.1552,0.75,0.2486,0.75,0.6465,0.3439,6.0159,5.7991,5.6853,5.3412,5.9301,5.4751,6.221,5.4565,-119.6266,0.0488,4
21,0.542,0.4817,0.679,0.5702,0.4771,0.6862,0.75,0.7236,0.2352,6.145,6.1784,6.2988,6.1634,6.1697,6.3887,6.1262,5.3143,-119.7544,0.0331,8
22,0.75,0.6217,0.75,0.1552,0.75,0.2486,0.75,0.6465,0.3439,6.0159,5.7991,5.6853,5.3412,5.9301,5.4751,6.221,5.4565,-119.6266,0.0488,4
23,0.75,0.6217,0.75,0.1552,0.75,0.2486,0.75,0.6465,0.3439,6.0159,5.7991,5.6853,5.3412,5.9301,5.4751,6.221,5.4565,-119.6266,0.0488,4
24,0.75,0.6217,0.75,0.1552,0.75,0.2486,0.75,0.6465,0.3439,6.0159,5.7991,5.6853,5.3412,5.9301,5.4751,6.221,5.4565,-119.6266,0.0488,4
25,0.684,0.75,0.75,0.75,0.75,0.3328,0.5372,0.741,0.247,6.542,6.4652,6.2816,6.0369,5.6943,5.1803,5.5754,5.4459,-122.1504,0.0528,4
26,0.6585,0.75,0.4014,0.6677,0.3357,0.5858,0.1005,0.75,0.4117,5.6614,5.5033,5.1823,5.2773,4.9308,5.1581,4.7866,6.2278,-120.9754,0.1108,2
27,0.6585,0.75,0.4014,0.6677,0.3357,0.5858,0.1005,0.75,0.4117,5.6614,5.5033,5.1823,5.2773,4.9308,5.1581,4.7866,6.2278,-120.9754,0.1108,2
