Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.5618,0.1798,0.5438,0.5953,0.4182,0.3193,0.5819,0.3183,0.167,4.6854,4.514,4.7849,4.6,4.2485,4.1196,4.2016,3.1838,-92.5257,0.8038,1
2,0.5122,0.2471,0.5978,0.3288,0.173,0.1231,0.1532,0.1192,0.3375,3.5919,3.3397,3.3562,2.8522,2.6308,2.6492,2.8297,3.0551,-81.715,1.3813,1
3,0.343,0.1403,0.733,0.3747,0.6902,0.1407,0.6508,0.2552,0.2623,4.5902,4.6531,4.9946,4.5608,4.5986,3.9452,4.5049,3.3288,-93.0163,0.7572,1
4,0.0341,0.7176,0.0002,0.2932,0.3276,0.7252,0.2297,0.6605,0.0019,3.99,4.3254,3.8778,4.3572,4.5008,4.6389,3.6763,3.9808,-66.2452,0.8436,1
5,0.7274,0.2694,0.1752,0.4101,0.2209,0.1251,0.2873,0.1115,0.4557,3.7826,3.3121,3.296,3.4159,3.1609,3.2041,3.5635,3.5524,-91.0615,1.197,1
6,0.334,0.0876,0.175,0.602,0.3482,0.6515,0.5828,0.0722,0.3971,4.2504,4.281,4.637,4.9807,4.6932,4.8331,4.1563,3.1118,-97.8414,0.7802,1
7,0.4571,0.026,0.0529,0.5323,0.1828,0.0008,0.0018,0.3188,0.6381,3.2106,2.9727,3.2211,3.5119,3.0561,3.1589,3.8761,5.306,-96.0897,1.1832,1
8,0.177,0.3559,0.3479,0.0702,0.026,0.279,0.1731,0.0545,0.0393,2.5229,2.5141,2.2729,1.9632,2.0294,2.2283,1.8007,1.4221,-44.014,1.8321,1
9,0.4304,0.4435,0.6456,0.1724,0.613,0.5585,0.1623,0.7058,0.6659,5.3974,5.4629,5.5302,5.3168,5.8699,5.7081,5.602,7.1726,-135.1424,0.2091,1
10,0.6039,0.4672,0.2936,0.5477,0.6932,0.6016,0.5675,0.0515,0.6377,5.4639,5.3425,5.3622,5.6488,5.5927,5.1812,4.7701,4.1014,-135.7334,0.4319,0
11,0.207,0.5129,0.7106,0.2067,0.5879,0.6504,0.1377,0.2436,0.7264,4.9832,5.2482,5.1957,4.829,5.2228,4.9557,4.3231,5.365,-130.4019,0.4561,0
12,0.2457,0.1996,0.5093,0.5481,0.2149,0.3649,0.3398,0.0644,0.2953,3.782,3.8533,4.0043,3.7411,3.3027,3.3949,3.0985,2.6186,-83.3514,1.1812,1
13,0.4162,0.6189,0.1486,0.467,0.725,0.5902,0.0863,0.1124,0.4514,4.616,4.5998,4.3183,4.6485,4.5375,3.7907,2.9503,3.5371,-107.2493,0.8968,1
14,0.7355,0.4162,0.7199,0.6363,0.613,0.2014,0.5286,0.0633,0.0925,5.0067,4.6801,4.6707,4.2026,3.6978,2.9931,3.0532,1.7011,-90.5248,1.146,1
15,0.2328,0.6118,0.6064,0.0619,0.2841,0.478,0.6273,0.2157,0.589,4.707,4.9085,4.6802,4.384,4.9494,5.2975,5.296,4.6212,-118.3036,0.5213,1
