Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.375,0.0,0.125,0.5,0.75,0.4766,0.75,0.25,0.625,4.8516,4.9112,5.4699,6.0274,6.1329,5.7286,5.875,4.9375,-121.1278,0.1014,2
2,0.2551,0.724,0.75,0.4629,0.6945,0.375,0.4166,0.625,0.375,5.6781,5.9759,5.7559,5.4235,5.4751,5.0311,5.2498,5.5,-119.6877,0.0761,2
3,0.2551,0.724,0.75,0.4629,0.6945,0.375,0.4166,0.625,0.375,5.6781,5.9759,5.7559,5.4235,5.4751,5.0311,5.2498,5.5,-119.6877,0.0761,2
4,0.2551,0.724,0.75,0.4629,0.6945,0.375,0.4166,0.625,0.375,5.6781,5.9759,5.7559,5.4235,5.4751,5.0311,5.2498,5.5,-119.6877,0.0761,2
5,0.0,0.4938,0.5793,0.75,0.75,0.3805,0.5875,0.75,0.4125,5.7036,6.2916,6.4126,6.4457,6.1849,5.7936,6.2499,6.2312,-122.1232,0.013,6
6,0.375,0.375,0.75,0.375,0.75,0.4258,0.5647,0.6678,0.375,5.6583,5.8187,6.0249,5.7374,6.0099,5.5749,5.8225,5.6925,-119.7253,0.028,3
7,0.0,0.4938,0.5793,0.75,0.75,0.3805,0.5875,0.75,0.4125,5.7036,6.2916,6.4126,6.4457,6.1849,5.7936,6.2499,6.2312,-122.1232,0.013,6
8,0.0,0.4938,0.5793,0.75,0.75,0.3805,0.5875,0.75,0.4125,5.7036,6.2916,6.4126,6.4457,6.1849,5.7936,6.2499,6.2312,-122.1232,0.013,6
9,0.3275,0.4081,0.2532,0.3712,0.4877,0.5241,0.3735,0.7169,0.5252,4.9873,5.1173,5.1808,5.4978,5.7291,5.8142,5.8467,6.5893,-119.6433,0.0831,2
10,0.0008,0.6789,0.75,0.2496,0.75,0.208,0.4596,0.7376,0.5426,5.3772,5.9234,5.7539,5.4212,5.8561,5.3827,6.2195,6.7611,-122.8799,0.0506,3
11,0.0008,0.6789,0.75,0.2496,0.75,0.208,0.4596,0.7376,0.5426,5.3772,5.9234,5.7539,5.4212,5.8561,5.3827,6.2195,6.7611,-122.8799,0.0506,3
12,0.4298,0.6528,0.5842,0.375,0.7031,0.375,0.375,0.75,0.375,5.6199,5.7139,5.548,5.4297,5.6407,5.2188,5.5,6.0625,-119.8494,0.0606,2
13,0.2775,0.0745,0.2041,0.044,0.75,0.75,0.5123,0.75,0.6249,4.9873,5.1736,5.674,6.1468,7.0969,6.9337,6.6616,7.1869,-121.0232,0.0671,5
14,0.0653,0.3044,0.4826,0.3359,0.5626,0.5399,0.569,0.5928,0.5444,4.9969,5.423,5.6635,5.7168,6.0555,6.0537,6.1186,6.1174,-122.3941,0.0603,4
15,0.3951,0.75,0.6847,0.75,0.248,0.4427,0.44,0.75,0.3854,5.8459,6.0071,5.7581,5.5242,5.079,5.5408,5.7262,6.1094,-121.5794,0.0565,2
16,0.3951,0.75,0.6847,0.75,0.248,0.4427,0.44,0.75,0.3854,5.8459,6.0071,5.7581,5.5242,5.079,5.5408,5.7262,6.1094,-121.5794,0.0565,2
17,0.6689,0.0073,0.5855,0.4207,0.4126,0.4095,0.3302,0.75,0.5477,5.1324,4.8965,5.4438,5.3062,5.4101,5.5842,5.8838,6.8396,-123.0147,0.0894,1
18,0.1572,0.375,0.5198,0.375,0.5222,0.5363,0.375,0.6484,0.5176,5.0264,5.3529,5.4926,5.4616,5.679,5.6739,5.6229,6.2469,-120.8918,0.0714,2
19,0.1572,0.375,0.5198,0.375,0.5222,0.5363,0.375,0.6484,0.5176,5.0264,5.3529,5.4926,5.4616,5.679,5.6739,5.6229,6.2469,-120.8918,0.0714,2
20,0.1572,0.375,0.5198,0.375,0.5222,0.5363,0.375,0.6484,0.5176,5.0264,5.3529,5.4926,5.4616,5.679,5.6739,5.6229,6.2469,-120.8918,0.0714,2
21,0.75,0.5278,0.4412,0.4797,0.4718,0.4947,0.5973,0.543,0.3758,5.6813,5.4227,5.376,5.4435,5.4688,5.5244,5.5483,5.1346,-123.5534,0.076,0
22,0.0604,0.6603,0.0544,0.6443,0.4771,0.6665,0.6603,0.4905,0.5108,5.2247,5.6848,5.5051,6.1744,6.0494,6.2384,5.9849,5.506,-122.5011,0.0511,4
23,0.0,0.0849,0.6671,0.0933,0.75,0.731,0.0,0.5267,0.6615,4.5146,4.954,5.4096,5.1438,5.8046,5.3183,4.5648,6.3472,-117.3198,0.1356,2
24,0.1417,0.75,0.6871,0.75,0.7245,0.75,0.6618,0.75,0.2583,6.4734,6.9981,6.8907,6.8419,6.6603,6.4451,6.0102,5.5372,-120.8117,0.0205,8
25,0.2417,0.3151,0.3057,0.375,0.375,0.75,0.7476,0.7176,0.491,5.3187,5.5866,5.8368,6.1843,6.5462,7.089,6.8687,6.4387,-119.1533,0.0375,6
26,0.0887,0.4918,0.3831,0.6375,0.5443,0.6109,0.602,0.4918,0.426,5.2761,5.7109,5.7515,5.9688,5.815,5.7941,5.5595,5.13,-119.8131,0.0612,2
27,0.75,0.75,0.7476,0.75,0.649,0.375,0.6654,0.75,0.2426,6.6796,6.5458,6.3738,6.148,5.8276,5.5743,5.9741,5.4669,-124.0004,0.032,5
