Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
2,0.0,59.9813,30.0,22.9966,0.0,60.0,59.6887,47.5,0.1972,6.7284,3.4314,5.739,4.9636,2.5844,2.3415,2.0001,3.2352,4.8011,0.0683,6
3,0.0,59.9813,30.0,22.9966,0.0,60.0,59.6887,47.5,0.1972,6.7284,3.4314,5.739,4.9636,2.5844,2.3415,2.0001,3.2352,4.8011,0.0683,6
4,0.0,59.9813,30.0,22.9966,0.0,60.0,59.6887,47.5,0.1972,6.7284,3.4314,5.739,4.9636,2.5844,2.3415,2.0001,3.2352,4.8011,0.0683,6
5,0.0,59.9813,30.0,22.9966,0.0,60.0,59.6887,47.5,0.1972,6.7284,3.4314,5.739,4.9636,2.5844,2.3415,2.0001,3.2352,4.8011,0.0683,6
6,0.0,59.9813,30.0,22.9966,0.0,60.0,59.6887,47.5,0.1972,6.7284,3.4314,5.739,4.9636,2.5844,2.3415,2.0001,3.2352,4.8011,0.0683,6
7,0.0,59.9813,30.0,22.9966,0.0,60.0,59.6887,47.5,0.1972,6.7284,3.4314,5.739,4.9636,2.5844,2.3415,2.0001,3.2352,4.8011,0.0683,6
8,0.0,59.9813,30.0,22.9966,0.0,60.0,59.6887,47.5,0.1972,6.7284,3.4314,5.739,4.9636,2.5844,2.3415,2.0001,3.2352,4.8011,0.0683,6
9,2.2052,59.8655,30.0,22.9966,0.0,59.7669,59.6887,47.5,0.6847,6.7141,3.4358,5.7374,4.9552,2.5828,2.3408,2.003,3.2282,4.8031,0.0678,6
10,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
11,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
12,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
13,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
14,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
15,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
16,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
17,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
18,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
19,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
20,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
21,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
22,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
23,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
24,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
25,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
26,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
27,0.0238,35.0,15.0,22.3348,30.3488,30.0,58.454,60.0,0.0,4.8865,3.8184,5.4369,4.1615,2.4687,2.2242,3.0471,2.8429,4.5465,0.082,5
28,0.0238,35.0,15.0,22.3348,30.3488,30.0,58.454,60.0,0.0,4.8865,3.8184,5.4369,4.1615,2.4687,2.2242,3.0471,2.8429,4.5465,0.082,5
29,0.0238,35.0,15.0,22.3348,30.3488,30.0,58.454,60.0,0.0,4.8865,3.8184,5.4369,4.1615,2.4687,2.2242,3.0471,2.8429,4.5465,0.082,5
30,0.0238,35.0,15.0,22.3348,30.3488,30.0,58.454,60.0,0.0,4.8865,3.8184,5.4369,4.1615,2.4687,2.2242,3.0471,2.8429,4.5465,0.082,5
31,0.0238,35.0,15.0,22.3348,30.3488,30.0,58.454,60.0,0.0,4.8865,3.8184,5.4369,4.1615,2.4687,2.2242,3.0471,2.8429,4.5465,0.082,5
32,0.0238,35.0,15.0,22.3348,30.3488,30.0,58.454,60.0,0.0,4.8865,3.8184,5.4369,4.1615,2.4687,2.2242,3.0471,2.8429,4.5465,0.082,5
33,0.0238,35.0,15.0,22.3348,30.3488,30.0,58.454,60.0,0.0,4.8865,3.8184,5.4369,4.1615,2.4687,2.2242,3.0471,2.8429,4.5465,0.082,5
