Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
2,15.0,34.8661,45.6229,35.0,15.0,59.27,60.0,10.0,0.0,6.3962,2.8934,5.4383,4.6281,2.8243,1.9999,2.461,3.1648,5.4122,0.0592,5
3,11.2279,35.27,45.6229,35.0,15.0,59.906,60.0,10.0,0.4206,6.4157,2.8575,5.4465,4.6562,2.7912,1.9676,2.4177,3.1678,5.3683,0.0632,5
4,11.2279,35.27,45.6229,35.0,15.0,59.906,60.0,10.0,0.4206,6.4157,2.8575,5.4465,4.6562,2.7912,1.9676,2.4177,3.1678,5.3683,0.0632,5
5,11.2279,35.27,45.6229,35.0,15.0,59.906,60.0,10.0,0.4206,6.4157,2.8575,5.4465,4.6562,2.7912,1.9676,2.4177,3.1678,5.3683,0.0632,5
6,0.0,47.5,15.0,34.855,1.2361,59.1297,60.0,58.2097,15.0,6.4354,2.8276,5.7088,4.7657,2.9043,2.0095,2.8264,3.4076,4.7555,0.0661,6
7,0.6588,59.7355,14.2232,34.855,1.2361,59.5195,60.0,58.2097,7.1393,6.6648,3.0087,6.0292,4.7493,2.9371,2.3164,2.3445,3.447,4.5975,0.0579,5
8,0.5216,58.8511,15.0,11.6779,15.2857,58.8326,56.776,36.9285,0.7898,6.472,3.2528,5.3556,5.256,2.3055,2.031,2.5047,3.8368,5.1885,0.035,7
9,0.5216,58.8511,15.0,11.6779,15.2857,58.8326,56.776,36.9285,0.7898,6.472,3.2528,5.3556,5.256,2.3055,2.031,2.5047,3.8368,5.1885,0.035,7
10,0.5216,58.8511,15.0,11.6779,15.2857,58.8326,56.776,36.9285,0.7898,6.472,3.2528,5.3556,5.256,2.3055,2.031,2.5047,3.8368,5.1885,0.035,7
11,0.5216,58.8511,15.0,11.6779,15.2857,58.8326,56.776,36.9285,0.7898,6.472,3.2528,5.3556,5.256,2.3055,2.031,2.5047,3.8368,5.1885,0.035,7
12,0.5216,58.8511,15.0,11.6779,15.2857,58.8326,56.776,36.9285,0.7898,6.472,3.2528,5.3556,5.256,2.3055,2.031,2.5047,3.8368,5.1885,0.035,7
13,0.3628,10.8674,57.1116,10.394,17.2243,59.9558,59.6043,11.5667,10.568,6.3467,3.7979,4.8076,4.9312,2.3484,2.122,2.259,2.3928,5.3392,0.0406,6
14,0.9399,54.4959,15.3578,10.3131,4.6744,59.4391,17.945,36.9784,7.7767,5.9173,2.8889,3.0453,5.5803,1.5332,2.2208,3.0767,3.8783,5.5863,0.1779,5
15,1.2047,57.7343,0.6326,11.7192,17.0673,59.9558,56.7197,10.522,2.388,6.3241,2.7664,5.1676,5.2852,2.1021,1.5793,2.5954,4.1744,5.4237,0.1123,6
16,0.9758,10.4819,59.7968,13.1493,3.0688,59.9558,59.9822,10.3009,12.4679,6.4989,3.8799,4.8803,4.9534,2.3887,2.1838,2.0914,2.2032,5.4088,0.069,6
17,0.9758,10.4819,59.7968,13.1493,3.0688,59.9558,59.9822,10.3009,12.4679,6.4989,3.8799,4.8803,4.9534,2.3887,2.1838,2.0914,2.2032,5.4088,0.069,6
18,8.3315,57.7183,5.5496,22.1176,3.103,0.5142,56.3006,54.9478,16.7781,4.8988,4.0368,5.8053,4.2046,2.2485,2.4504,2.2289,2.7905,4.6145,0.0924,4
19,9.4958,54.572,1.2454,12.1625,3.4898,55.3548,58.4562,10.8677,7.7111,6.1804,2.818,5.2552,5.1805,2.0915,1.4472,2.6205,3.9834,5.5759,0.1252,6
20,8.6104,11.05,58.5858,11.3642,2.4609,59.9607,59.9366,13.053,58.7787,4.9672,3.5981,4.5693,4.8429,2.1929,2.0451,2.2462,2.3516,3.4918,0.1289,4
21,1.907,58.0389,2.9481,12.9266,2.2338,56.1821,59.4032,10.2088,2.6466,6.3102,2.8515,5.4554,5.2039,2.1228,1.5064,2.4418,4.0083,5.5046,0.1148,5
22,8.6305,59.7456,0.7242,11.211,0.4165,59.7348,59.3517,59.8241,18.5262,6.4455,3.4127,5.4202,5.0377,2.3811,2.1287,2.3669,3.2973,4.4775,0.043,5
23,3.3145,11.1197,59.9813,59.8462,2.0364,59.1319,59.1609,57.7335,1.7793,6.7191,2.8933,6.3386,3.7084,4.2027,3.1749,2.2579,2.0403,4.5457,0.1217,4
24,3.3145,11.1197,59.9813,59.8462,2.0364,59.1319,59.1609,57.7335,1.7793,6.7191,2.8933,6.3386,3.7084,4.2027,3.1749,2.2579,2.0403,4.5457,0.1217,4
25,1.8986,23.0601,53.9719,59.3241,0.5521,23.871,59.3864,11.724,10.2651,5.3053,2.8105,6.7477,3.3231,3.7074,2.6663,2.1806,2.5222,5.1903,0.1347,5
26,2.5273,11.05,54.3328,10.4544,2.6878,59.9607,59.9877,10.2034,59.0364,4.9101,3.3828,4.5612,4.9381,2.1357,1.8251,2.4565,2.6242,3.574,0.1268,3
27,3.1623,21.7235,54.0236,12.4824,0.3161,5.605,59.8729,14.9091,10.2651,5.2458,4.8408,5.6851,4.4539,2.397,2.6176,2.1797,2.0515,5.6221,0.089,4
28,3.1623,21.7235,54.0236,12.4824,0.3161,5.605,59.8729,14.9091,10.2651,5.2458,4.8408,5.6851,4.4539,2.397,2.6176,2.1797,2.0515,5.6221,0.089,4
29,2.5273,11.05,56.9289,10.0184,2.1407,59.9381,59.9822,10.6466,1.657,6.5466,3.7914,4.8554,5.0326,2.3517,2.056,2.243,2.3689,5.5796,0.0433,6
30,3.3024,10.8915,53.8703,13.3184,1.8611,56.4062,59.9828,14.9729,10.2651,6.2752,3.699,4.8978,4.9233,2.3206,1.957,2.3462,2.4316,5.5228,0.0336,5
31,3.3024,10.8915,53.8703,13.3184,1.8611,56.4062,59.9828,14.9729,10.2651,6.2752,3.699,4.8978,4.9233,2.3206,1.957,2.3462,2.4316,5.5228,0.0336,5
32,3.3024,57.6974,1.4009,10.2509,0.2884,59.827,59.9828,10.017,8.3549,6.6124,2.9074,5.5452,5.4573,2.275,1.578,2.6305,4.2286,5.6362,0.095,6
