Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
2,15.0,35.0,45.0,35.0,15.0,15.0,60.0,10.0,0.0,5.0504,3.7617,5.9596,3.9185,2.6775,2.3445,2.2263,2.5743,5.3692,0.0887,6
3,14.9996,57.3726,44.0954,35.7179,0.4466,0.0326,15.5913,45.0235,0.0,4.9952,4.4637,4.4072,4.3809,2.3713,3.9297,2.2637,2.6089,5.2518,0.0728,4
4,15.5893,57.3726,44.0954,36.4704,0.6357,0.0303,0.1064,44.2919,0.0,5.3189,4.7781,4.6176,4.7578,2.7086,4.3318,2.6815,3.0144,5.6613,0.038,7
5,0.3474,57.3726,0.6556,35.7179,0.4466,15.3926,59.1885,45.0235,0.0265,5.5862,3.8386,6.7669,4.4985,3.0308,2.6604,2.6741,3.6006,5.3489,0.0311,7
6,0.3474,57.3726,0.6556,35.7179,0.4466,15.3926,59.1885,45.0235,0.0265,5.5862,3.8386,6.7669,4.4985,3.0308,2.6604,2.6741,3.6006,5.3489,0.0311,7
7,0.3474,57.3726,0.6556,35.7179,0.4466,15.3926,59.1885,45.0235,0.0265,5.5862,3.8386,6.7669,4.4985,3.0308,2.6604,2.6741,3.6006,5.3489,0.0311,7
8,0.3474,57.3726,0.6556,35.7179,0.4466,15.3926,59.1885,45.0235,0.0265,5.5862,3.8386,6.7669,4.4985,3.0308,2.6604,2.6741,3.6006,5.3489,0.0311,7
9,15.5893,57.3726,42.7785,36.8958,0.6343,0.0303,0.1064,44.379,0.0118,5.3637,4.7687,4.6798,4.8178,2.7707,4.344,2.7911,3.1332,5.7354,0.0353,8
10,15.5893,57.3726,42.7785,36.8958,0.6343,0.0303,0.1064,44.379,0.0118,5.3637,4.7687,4.6798,4.8178,2.7707,4.344,2.7911,3.1332,5.7354,0.0353,8
11,15.5893,57.3728,42.9839,36.8958,0.6343,0.0303,0.1064,44.379,0.0118,5.4024,4.8134,4.7176,4.8524,2.8088,4.3882,2.8199,3.1608,5.7688,0.0332,8
12,15.5893,57.3728,43.3697,36.8958,0.6343,0.0303,0.1064,44.379,0.0118,5.4442,4.8667,4.7579,4.8866,2.8496,4.4405,2.843,3.1818,5.8006,0.0309,8
13,15.5913,57.8697,43.3686,36.8958,0.6343,0.052,0.1064,44.5809,0.0118,5.4788,4.9067,4.8003,4.9121,2.8803,4.4858,2.8496,3.2071,5.8131,0.029,8
14,15.5913,57.8697,43.3686,36.8958,0.6343,0.0517,0.1064,44.5772,0.0115,5.4789,4.9067,4.8003,4.9122,2.8803,4.4858,2.8497,3.2073,5.8133,0.029,8
15,15.592,57.8716,43.3733,36.8106,0.1889,0.0523,0.1064,44.5772,0.0004,5.495,4.926,4.8138,4.9302,2.8935,4.5014,2.8651,3.222,5.8298,0.0281,8
16,15.5925,57.8716,43.3733,36.8106,0.1889,0.0523,0.1064,44.5772,0.0,5.495,4.926,4.8138,4.9303,2.8936,4.5014,2.8651,3.222,5.8299,0.0281,8
17,15.5925,57.8716,43.3733,36.8106,0.1889,0.0523,0.1064,44.5772,0.0,5.495,4.926,4.8138,4.9303,2.8936,4.5014,2.8651,3.222,5.8299,0.0281,8
18,15.7167,57.8574,54.5835,36.964,0.2234,0.0509,0.1064,44.5772,0.0001,5.6499,5.4546,4.9225,4.8293,3.0224,5.0049,2.4079,2.693,5.6582,0.023,7
19,15.7167,57.8574,54.5835,36.964,0.2234,0.0509,0.1064,44.5772,0.0001,5.6499,5.4546,4.9225,4.8293,3.0224,5.0049,2.4079,2.693,5.6582,0.023,7
20,15.7167,57.8574,54.5835,36.964,0.2234,0.0509,0.1064,44.5772,0.0001,5.6499,5.4546,4.9225,4.8293,3.0224,5.0049,2.4079,2.693,5.6582,0.023,7
21,15.5925,57.8563,54.1708,37.0678,0.1889,0.1019,0.1064,44.4045,0.0007,5.6533,5.4359,4.9322,4.843,3.0288,4.9916,2.4364,2.7296,5.6774,0.021,7
22,15.5925,57.8563,54.1708,37.0678,0.1889,0.1019,0.1064,44.4045,0.0007,5.6533,5.4359,4.9322,4.843,3.0288,4.9916,2.4364,2.7296,5.6774,0.021,7
23,15.5925,57.8563,54.1708,37.0678,0.1889,0.1019,0.1064,44.4045,0.0007,5.6533,5.4359,4.9322,4.843,3.0288,4.9916,2.4364,2.7296,5.6774,0.021,7
24,15.5925,57.8573,54.1708,37.6467,0.1889,0.1019,0.1064,44.4045,0.0007,5.702,5.4625,4.998,4.8774,3.0963,5.0436,2.4866,2.7846,5.7222,0.0167,7
