Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
2,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
3,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
4,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
5,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
6,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
7,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
8,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
9,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
10,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
11,13.4661,35.0,48.1595,35.0,15.739,16.1058,60.0,22.1059,4.9608,5.0305,3.9006,5.9331,3.8128,2.666,2.4769,2.0259,2.2892,5.1287,0.1113,5
12,13.4661,35.0,48.1595,35.0,15.739,16.1058,60.0,22.1059,4.9608,5.0305,3.9006,5.9331,3.8128,2.666,2.4769,2.0259,2.2892,5.1287,0.1113,5
13,13.4661,35.0,48.1595,35.0,15.739,16.1058,60.0,22.1059,4.9608,5.0305,3.9006,5.9331,3.8128,2.666,2.4769,2.0259,2.2892,5.1287,0.1113,5
14,0.0,60.0,30.0,47.5,0.0,60.0,0.0,47.5,0.0,6.1067,2.3339,3.8839,4.7927,2.5487,3.0376,2.6793,3.705,5.0325,0.1201,6
15,0.0,60.0,30.0,47.5,0.0,60.0,0.0,47.5,0.0,6.1067,2.3339,3.8839,4.7927,2.5487,3.0376,2.6793,3.705,5.0325,0.1201,6
16,0.0,60.0,30.0,47.5,0.0,60.0,0.0,47.5,0.0,6.1067,2.3339,3.8839,4.7927,2.5487,3.0376,2.6793,3.705,5.0325,0.1201,6
17,15.0,60.0,30.0,35.0,0.0,0.0,15.0,47.5,0.0,4.5791,3.7643,4.0476,4.1638,1.9471,3.263,2.2787,2.7567,5.0018,0.1249,4
18,15.0,60.0,30.0,35.0,0.0,0.0,15.0,47.5,0.0,4.5791,3.7643,4.0476,4.1638,1.9471,3.263,2.2787,2.7567,5.0018,0.1249,4
19,15.0,60.0,30.0,35.0,0.0,0.0,15.0,47.5,0.0,4.5791,3.7643,4.0476,4.1638,1.9471,3.263,2.2787,2.7567,5.0018,0.1249,4
20,15.0,60.0,30.0,35.0,0.0,0.0,15.0,47.5,0.0,4.5791,3.7643,4.0476,4.1638,1.9471,3.263,2.2787,2.7567,5.0018,0.1249,4
21,15.0,60.0,30.0,59.8977,0.0,0.0,58.045,47.5,0.0,5.2022,2.8222,7.2939,3.1081,3.7401,3.0198,1.8932,2.9881,4.5235,0.1658,4
22,15.0,60.0,30.0,59.8977,0.0,0.0,58.045,47.5,0.0,5.2022,2.8222,7.2939,3.1081,3.7401,3.0198,1.8932,2.9881,4.5235,0.1658,4
23,15.0,60.0,30.0,59.8977,0.0,0.0,58.045,47.5,0.0,5.2022,2.8222,7.2939,3.1081,3.7401,3.0198,1.8932,2.9881,4.5235,0.1658,4
24,15.0,60.0,30.0,59.8977,0.0,0.0,58.045,47.5,0.0,5.2022,2.8222,7.2939,3.1081,3.7401,3.0198,1.8932,2.9881,4.5235,0.1658,4
25,15.0,60.0,30.0,59.8977,0.0,0.0,58.045,47.5,0.0,5.2022,2.8222,7.2939,3.1081,3.7401,3.0198,1.8932,2.9881,4.5235,0.1658,4
