Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0,43.6502,25.3803,10,30,35.446,55.3803,60,0,5.0391,4.136,5.1082,4.2915,2.2219,2.4913,2.6196,2.6101,4.3643,0.0853,5
2,0,33.1005,40.6488,16.2522,7.2001,28.4403,55.6793,38.3739,22.2001,5.0116,4.0411,5.0917,4.4389,2.1273,2.2243,2.4287,2.4134,5.0086,0.0796,4
3,0,33.1005,40.6488,16.2522,7.2001,28.4403,55.6793,38.3739,22.2001,5.0116,4.0411,5.0917,4.4389,2.1273,2.2243,2.4287,2.4134,5.0086,0.0796,4
4,0,33.1005,40.6488,16.2522,7.2001,28.4403,55.6793,38.3739,22.2001,5.0116,4.0411,5.0917,4.4389,2.1273,2.2243,2.4287,2.4134,5.0086,0.0796,4
5,0,33.1005,40.6488,16.2522,7.2001,28.4403,55.6793,38.3739,22.2001,5.0116,4.0411,5.0917,4.4389,2.1273,2.2243,2.4287,2.4134,5.0086,0.0796,4
6,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
7,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
8,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
9,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
10,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
11,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
12,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
13,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
14,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
15,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
16,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
17,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
18,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
19,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
20,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
21,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
22,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
23,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
24,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
25,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
26,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
27,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
28,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
29,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
30,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
31,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
32,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
33,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
34,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
35,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
36,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
37,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
38,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
39,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
40,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
41,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
42,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
43,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
44,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
45,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
46,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
47,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
48,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
49,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
50,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
51,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
52,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
53,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
54,0,60,33.0679,40.9892,25.5656,46.904,44.8622,10,15.47,5.376,2.7843,5.2138,4.3129,2.5056,2.599,2.1554,3.6744,4.7588,0.0968,4
