Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,weighted_sum,Fitness,Nc
1,0.0,10.0,15.6398,40.9825,10.0907,55.7528,29.0188,43.9563,0.0,5.558478,1.941212,3.433272,4.933263,2.319221,1.743509,4.082884,3.826284,5.826441,0.7104,0.1769,4
2,7.7269,10.0,52.7539,38.4639,0.0,39.9683,60.0,17.2048,0.0,5.653824,3.417983,5.635398,4.137655,2.816629,2.187455,2.324813,2.351089,5.453931,0.532,0.059,4
3,0.0,27.621,0.0,48.0992,22.2631,57.7629,33.9615,60.0,0.0,5.628162,1.91289,4.049131,4.533418,2.828884,2.170837,3.951456,3.770551,5.056181,0.6723,0.1573,5
4,27.1632,33.6477,48.8945,39.5061,0.1818,54.3056,49.5481,19.0708,26.5152,5.640231,2.800851,4.511523,4.235573,2.66084,2.305413,2.500138,2.793147,5.092381,0.6057,0.0798,6
5,6.8285,10.0,11.2421,45.743,11.6208,60.0,3.8859,21.654,14.0177,5.437598,1.193553,2.856004,5.065367,2.204585,1.530802,4.361757,4.421125,6.11688,0.6609,0.2678,4
6,0.0,10.0,0.0,27.9156,11.5299,36.6196,26.3575,58.3936,0.0,4.792343,3.01644,3.237321,4.758808,1.890382,2.041133,4.003202,3.13878,5.553253,0.6053,0.1483,4
7,12.2057,10.0,20.9819,60.0,18.3544,60.0,31.6533,47.1805,17.2475,5.579311,0.989166,4.184819,4.232738,3.286799,2.01919,4.142145,4.070864,5.279701,0.593,0.2446,5
8,0.0,33.6495,11.9992,37.1446,12.8558,60.0,27.8106,26.7537,0.0,5.703173,1.76537,3.339128,5.12221,2.045494,1.604904,3.734862,4.166298,5.858256,0.5993,0.2073,4
9,15.8963,23.9264,13.8113,28.4932,20.2566,2.1997,11.0465,24.5608,11.4459,3.839919,2.875715,2.951846,4.414357,1.495659,1.964568,3.768781,3.413848,5.85104,0.5521,0.2231,3
10,52.8563,14.1121,22.5423,46.508,31.2908,58.6087,20.8606,11.4365,16.8775,4.635336,1.129581,2.055145,3.518569,2.584028,1.827963,4.409935,3.898077,5.812378,0.5925,0.3135,4
11,16.1278,15.3278,21.1167,20.7044,6.7878,0.9776,13.1112,23.9465,13.9275,3.985146,3.113462,2.772555,4.626503,1.334221,1.878301,3.736044,3.177955,6.077944,0.4801,0.2345,3
12,49.1239,14.8818,8.7044,33.0571,30.6457,42.0577,3.7207,23.4303,52.4511,2.742214,1.783769,1.500545,3.613437,1.733187,1.75783,4.464662,3.665277,4.382552,0.412,0.3597,2
13,33.6212,10.8777,9.0724,24.5171,2.9061,36.3665,56.5979,50.2815,29.8695,4.699476,2.967,4.413024,4.129656,2.352258,1.493758,3.666885,2.944759,5.158631,0.6233,0.1323,3
14,42.8633,15.8565,7.3981,24.7743,2.928,30.6161,57.4477,41.6821,35.0589,4.285223,2.835398,4.236947,3.776236,2.339854,1.401981,3.673232,2.953689,5.179893,0.5036,0.17,3
15,4.8901,22.4545,13.4452,45.1971,19.2249,40.4836,40.2508,48.6913,0.0,5.002426,2.316836,4.439609,4.2703,2.625688,2.005488,3.729251,3.517349,5.356173,0.6289,0.1309,5
16,21.6432,39.7571,42.5286,46.6466,1.4777,58.0883,47.7056,32.4399,27.8318,5.84874,2.368563,4.807367,4.323429,2.952274,2.369492,2.701867,3.231119,4.906041,0.5956,0.1132,5
