Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,55.9474,54.9969,49.8026,22.8533,8.0883,46.9197,20.7377,29.9654,29.7242,4.7432,3.6026,2.2225,3.5325,2.0102,3.2862,2.2556,2.1041,4.9894,0.6654,2
2,15.5803,27.8476,32.7568,16.2648,43.6627,14.4107,47.1359,31.7979,58.0742,2.1807,3.5318,3.9916,3.646,1.6889,2.2267,3.0711,2.9582,2.5772,0.9032,4
3,53.3275,37.0904,48.1455,27.5545,41.9279,27.346,20.671,26.806,14.6695,3.4505,3.6465,2.2229,2.7684,2.0349,3.2613,2.8683,2.1544,4.7097,0.8203,3
4,1.1833,24.4942,40.9706,59.4202,8.4545,23.6606,3.1824,39.6415,35.0339,4.0092,2.1866,4.0749,3.6548,2.8445,2.9118,3.2852,3.0435,4.7052,0.5659,4
5,3.6939,11.3449,15.7355,18.2329,32.302,44.4061,13.3217,16.0384,34.4637,3.8536,2.4654,2.3896,4.8879,1.3107,1.646,4.0926,3.9106,5.0764,0.8324,4
6,55.1529,41.0527,3.3177,39.5099,7.4952,22.7603,44.105,30.2289,47.7274,3.3062,2.2211,3.4398,2.9885,2.431,1.9109,3.5508,3.1612,4.6247,0.7358,2
7,13.9251,14.3707,8.4595,41.9324,40.5569,14.7423,27.496,56.5428,26.4973,3.244,2.8019,3.6621,3.5623,2.2781,2.4872,3.9751,3.2235,4.1683,0.6225,3
8,18.1474,59.2933,15.7324,13.8576,23.6349,3.2011,25.0625,38.3273,10.8764,4.193,3.847,3.7647,4.3489,1.4818,2.766,2.5425,3.1339,4.9811,0.5405,4
9,56.4388,48.286,25.839,30.1965,29.3965,31.8773,29.6093,38.7774,38.8464,3.4237,2.9436,2.5315,3.0051,2.1345,2.6996,3.2556,2.8182,4.4252,0.7586,3
10,55.6361,24.3023,9.3482,34.4621,58.8779,58.4975,30.1044,53.9283,40.0601,2.9068,2.0057,1.7866,2.6324,2.4691,2.506,4.4832,3.576,2.9984,1.0844,3
11,41.8579,58.5433,12.5892,14.7387,43.9569,13.8807,33.3511,16.7656,48.9756,2.3914,3.3096,3.237,3.3187,1.5696,2.6332,2.8698,3.4695,3.2805,0.8919,3
12,23.497,58.6097,17.8282,12.7669,19.0281,39.1146,57.1846,23.351,22.6511,5.1547,3.424,5.2722,4.4354,2.0689,2.0039,2.2637,3.4084,4.8728,0.2558,3
13,18.7748,20.3678,21.5177,21.1196,57.1101,30.2568,24.7613,16.1555,26.6021,2.5366,2.8569,2.7143,3.5832,1.4624,2.192,3.7861,3.6811,3.8428,0.9025,3
14,24.8974,42.1026,44.0765,18.9453,4.3222,7.3145,43.7914,44.0839,51.5951,3.5248,4.2043,4.1464,3.953,1.8605,2.8018,2.2853,2.0534,3.6036,0.6247,2
15,42.5043,38.9959,47.7996,44.9438,27.0946,27.0273,22.1374,54.0253,15.1117,4.2265,3.5318,3.3565,3.0098,2.6884,3.6065,2.71,1.9542,4.5682,0.5884,4
16,46.7521,46.6535,12.3712,56.3291,15.6487,1.6277,41.7429,21.1936,53.1069,2.9011,1.6258,4.454,2.6481,2.9597,2.2246,3.3073,3.5451,3.9616,0.8932,4
17,24.214,18.7198,34.9956,30.0516,58.1512,49.0469,47.5476,39.3856,31.4067,3.4512,2.9844,3.8838,3.3755,2.379,2.4852,3.4557,3.3482,3.1288,0.6719,3
18,3.6464,10.767,42.311,39.3123,34.2665,59.2111,7.5612,49.3399,31.1966,4.7799,2.6065,2.735,4.5245,2.2358,2.7179,3.6082,3.1553,4.31,0.5421,3
19,25.3619,55.7658,38.1379,16.6477,3.9798,14.6284,16.98,25.5681,38.6118,3.8699,3.9059,3.266,4.323,1.4104,2.9364,2.2748,2.6863,4.5948,0.6448,3
20,52.2109,20.8873,47.3735,34.3712,44.5256,16.531,46.7885,34.886,18.9696,3.3358,3.6179,3.5466,2.3181,2.6101,2.9528,2.9416,1.9961,4.3514,0.7529,4
21,45.1451,27.3543,52.5384,10.8665,7.5929,50.1728,55.6172,51.8751,25.3844,5.4996,4.1728,3.9259,3.8432,2.5121,2.7111,2.4199,1.5584,4.7914,0.4556,3
22,11.7991,14.2998,56.5992,56.6461,9.3474,36.7808,11.7815,54.1775,41.2718,4.3017,3.0126,3.8661,3.6027,2.9974,3.5959,2.805,2.0516,3.9548,0.5074,3
23,14.8605,36.4769,56.0499,51.4077,41.5321,38.2629,13.5549,38.8101,45.8912,3.412,3.1617,3.7718,3.2851,2.7044,3.8012,2.5201,2.5468,2.9397,0.7007,4
24,2.5479,56.2817,18.8447,31.5072,39.4398,29.7353,13.9024,55.9331,35.7416,3.5345,3.475,3.6009,3.982,1.8508,3.2099,2.8325,3.2154,3.344,0.6442,3
25,28.7832,54.654,37.2139,56.3243,26.3001,11.7761,24.7281,47.3076,49.3573,3.1719,2.6944,4.5059,2.9302,2.8742,3.4822,2.4917,2.8665,3.0777,0.7581,4
26,44.6624,10.5325,43.4337,58.6902,28.9431,11.5241,23.8704,17.1125,56.9669,2.2606,1.8425,3.3385,2.439,2.8898,2.7128,3.546,2.8928,3.575,1.0012,4
27,39.5891,37.2199,25.8819,50.982,0.4874,32.7191,49.1685,38.2819,23.907,4.7325,2.2277,4.873,3.329,3.1025,2.2042,3.1946,3.1428,5.2098,0.5203,6
