Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
2,15.0,35.0,45.0,35.0,15.0,15.0,60.0,10.0,0.0,5.0504,3.7617,5.9596,3.9185,2.6775,2.3445,2.2263,2.5743,5.3692,0.0887,6
3,0.4528,35.0,29.9192,22.5,0.0246,59.7658,45.0,60.0,0.0,6.2491,3.264,4.0899,5.112,2.2954,2.2559,3.1339,2.9716,5.1361,0.0466,6
4,0.4528,35.0,29.9192,22.5,0.0246,59.7658,45.0,60.0,0.0,6.2491,3.264,4.0899,5.112,2.2954,2.2559,3.1339,2.9716,5.1361,0.0466,6
5,0.4528,35.0,29.9192,22.5,0.0246,59.7658,45.0,60.0,0.0,6.2491,3.264,4.0899,5.112,2.2954,2.2559,3.1339,2.9716,5.1361,0.0466,6
6,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
7,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
8,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
9,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
10,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
11,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
12,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
13,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
14,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
15,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
16,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
17,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
18,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
19,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
20,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
21,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
22,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
23,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
24,1.5372,22.511,24.3994,22.5,0.0246,44.2916,59.7983,58.7415,15.3902,5.6354,3.4992,5.2278,4.6352,2.4981,1.8464,3.1433,2.7477,5.0314,0.0346,4
