Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,35.0,45.7333,35.6111,14.2667,60.0,30.0,23.1111,29.2667,5.5726,2.6738,3.5041,4.9218,2.166,2.4192,2.867,3.2559,5.0266,0.1191,5
2,0.0,35.0,45.7333,35.6111,14.2667,60.0,30.0,23.1111,29.2667,5.5726,2.6738,3.5041,4.9218,2.166,2.4192,2.867,3.2559,5.0266,0.1191,5
3,0.0,35.0,45.7333,35.6111,14.2667,60.0,30.0,23.1111,29.2667,5.5726,2.6738,3.5041,4.9218,2.166,2.4192,2.867,3.2559,5.0266,0.1191,5
4,3.0284,33.5136,45.7797,33.8144,14.3691,57.0546,32.8934,23.1037,30.2471,5.4308,2.8303,3.6129,4.8693,2.1397,2.4019,2.8493,3.1645,5.0037,0.1081,5
5,3.0284,33.5136,45.7797,33.8144,14.3691,57.0546,32.8934,23.1037,30.2471,5.4308,2.8303,3.6129,4.8693,2.1397,2.4019,2.8493,3.1645,5.0037,0.1081,5
6,3.0284,33.5136,45.7797,33.8144,14.3691,57.0546,32.8934,23.1037,30.2471,5.4308,2.8303,3.6129,4.8693,2.1397,2.4019,2.8493,3.1645,5.0037,0.1081,5
7,3.0284,33.5136,45.7797,33.8144,14.3691,57.0546,32.8934,23.1037,30.2471,5.4308,2.8303,3.6129,4.8693,2.1397,2.4019,2.8493,3.1645,5.0037,0.1081,5
8,3.0284,33.5136,45.7797,33.8144,14.3691,57.0546,32.8934,23.1037,30.2471,5.4308,2.8303,3.6129,4.8693,2.1397,2.4019,2.8493,3.1645,5.0037,0.1081,5
9,3.0284,33.5136,45.7797,33.8144,14.3691,57.0546,32.8934,23.1037,30.2471,5.4308,2.8303,3.6129,4.8693,2.1397,2.4019,2.8493,3.1645,5.0037,0.1081,5
10,3.0284,33.5136,45.7797,33.8144,14.3691,57.0546,32.8934,23.1037,30.2471,5.4308,2.8303,3.6129,4.8693,2.1397,2.4019,2.8493,3.1645,5.0037,0.1081,5
11,3.0284,33.5136,45.7797,33.8144,14.3691,57.0546,32.8934,23.1037,30.2471,5.4308,2.8303,3.6129,4.8693,2.1397,2.4019,2.8493,3.1645,5.0037,0.1081,5
12,34.6876,31.6122,39.2052,33.9098,18.4911,60.0,60.0,10.0,39.4175,5.4623,2.4504,4.7918,4.2704,2.7735,1.7228,2.962,3.3682,4.7139,0.1214,4
13,34.6876,31.6122,39.2052,33.9098,18.4911,60.0,60.0,10.0,39.4175,5.4623,2.4504,4.7918,4.2704,2.7735,1.7228,2.962,3.3682,4.7139,0.1214,4
14,34.6876,31.6122,39.2052,33.9098,18.4911,60.0,60.0,10.0,39.4175,5.4623,2.4504,4.7918,4.2704,2.7735,1.7228,2.962,3.3682,4.7139,0.1214,4
