Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
2,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
3,0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.9928,3.2599,6.1556,4.1512,2.5588,1.9392,2.5626,3.243,5.1687,0.0761,5
4,15.0,34.1691,45.0,34.9716,15.0,59.2879,60.0,10.0,2.5988,6.3774,2.8551,5.4159,4.6314,2.8122,1.9581,2.4991,3.1878,5.4233,0.0629,5
5,15.0,34.1691,45.0,34.9716,15.0,59.2879,60.0,10.0,2.5988,6.3774,2.8551,5.4159,4.6314,2.8122,1.9581,2.4991,3.1878,5.4233,0.0629,5
6,15.0,34.1691,45.0,34.9716,15.0,59.2879,60.0,10.0,2.5988,6.3774,2.8551,5.4159,4.6314,2.8122,1.9581,2.4991,3.1878,5.4233,0.0629,5
7,15.0,34.1691,45.0,34.9716,15.0,59.2879,60.0,10.0,2.5988,6.3774,2.8551,5.4159,4.6314,2.8122,1.9581,2.4991,3.1878,5.4233,0.0629,5
8,15.0,34.1691,45.0,34.9716,15.0,59.2879,60.0,10.0,2.5988,6.3774,2.8551,5.4159,4.6314,2.8122,1.9581,2.4991,3.1878,5.4233,0.0629,5
9,15.0,34.1691,45.0,34.9716,15.0,59.2879,60.0,10.0,2.5988,6.3774,2.8551,5.4159,4.6314,2.8122,1.9581,2.4991,3.1878,5.4233,0.0629,5
10,15.0,34.1691,45.0,34.9716,15.0,59.2879,60.0,10.0,2.5988,6.3774,2.8551,5.4159,4.6314,2.8122,1.9581,2.4991,3.1878,5.4233,0.0629,5
11,15.0,34.1691,45.0,34.9716,15.0,59.2879,60.0,10.0,2.5988,6.3774,2.8551,5.4159,4.6314,2.8122,1.9581,2.4991,3.1878,5.4233,0.0629,5
12,15.0,34.1691,45.0,34.9716,15.0,59.2879,60.0,10.0,2.5988,6.3774,2.8551,5.4159,4.6314,2.8122,1.9581,2.4991,3.1878,5.4233,0.0629,5
13,15.0,34.1691,45.0,34.9716,15.0,59.2879,60.0,10.0,2.5988,6.3774,2.8551,5.4159,4.6314,2.8122,1.9581,2.4991,3.1878,5.4233,0.0629,5
14,15.0,34.1691,45.0,34.9716,15.0,59.2879,60.0,10.0,2.5988,6.3774,2.8551,5.4159,4.6314,2.8122,1.9581,2.4991,3.1878,5.4233,0.0629,5
15,0.3464,33.7558,37.9795,34.1188,0.735,58.2329,43.1103,48.3137,4.5562,6.1469,2.9616,4.2508,4.8928,2.4792,2.3329,2.9768,3.0487,5.2893,0.0546,6
16,0.3464,33.7558,37.9795,34.1188,0.735,58.2329,43.1103,48.3137,4.5562,6.1469,2.9616,4.2508,4.8928,2.4792,2.3329,2.9768,3.0487,5.2893,0.0546,6
17,15.0729,34.1691,49.2237,29.7248,15.0,59.3545,55.3469,10.0,31.217,5.8165,3.0318,4.7778,4.6538,2.4568,2.0883,2.357,2.9273,4.7972,0.0527,3
18,15.0729,34.1691,49.2237,29.7248,15.0,59.3545,55.3469,10.0,31.217,5.8165,3.0318,4.7778,4.6538,2.4568,2.0883,2.357,2.9273,4.7972,0.0527,3
19,0.3464,58.1678,3.8513,33.6208,0.735,51.7193,59.9285,48.1664,7.5478,6.236,2.9739,6.0547,4.6886,2.7616,2.0904,2.4466,3.6095,4.9137,0.0515,5
20,0.3464,58.1678,3.8513,33.6208,0.735,51.7193,59.9285,48.1664,7.5478,6.236,2.9739,6.0547,4.6886,2.7616,2.0904,2.4466,3.6095,4.9137,0.0515,5
21,0.321,57.3119,16.1273,33.6208,0.735,51.7193,59.9776,59.3126,7.5478,6.3583,3.3647,6.1375,4.6493,2.9398,2.4548,2.4209,3.2751,4.6733,0.0293,5
22,0.321,57.3119,16.1273,33.6208,0.735,51.7193,59.9776,59.3126,7.5478,6.3583,3.3647,6.1375,4.6493,2.9398,2.4548,2.4209,3.2751,4.6733,0.0293,5
23,0.321,57.3119,16.1273,33.6208,0.735,51.7193,59.9776,59.3126,7.5478,6.3583,3.3647,6.1375,4.6493,2.9398,2.4548,2.4209,3.2751,4.6733,0.0293,5
