Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y,Fitness,Nc
1,57.3617,18.8044,9.1596,11.7781,49.0986,25.7442,14.0529,36.2537,34.2016,2.1808,2.791,1.119,2.7594,1.5243,2.2295,4.3236,3.0445,4.3435,0.3999,0.3889,3
2,31.6117,34.3759,17.7833,14.1874,41.4503,7.6034,29.9841,50.8365,13.8648,3.3659,3.7282,3.0854,3.6443,1.6886,2.6118,3.4632,2.8185,4.5098,0.2556,0.2272,4
3,56.8473,17.4288,10.5667,22.8369,33.8494,33.3828,57.9953,57.2327,22.0825,4.0018,3.1295,3.6803,2.7948,2.6337,1.9346,3.7865,2.4577,4.7282,0.1901,0.1927,2
4,12.7143,45.3587,57.5863,30.1604,25.043,13.6902,16.6313,53.3751,9.9562,4.4724,4.9133,3.747,3.8572,2.0774,4.1094,1.8115,1.4455,4.3431,0.3416,0.2188,2
5,54.5714,24.8117,24.1828,42.7689,28.951,9.1305,14.2108,37.0849,22.5221,3.2157,2.4445,2.2829,2.743,2.3078,2.5018,3.9413,2.8335,5.3528,0.3106,0.2865,4
6,45.1542,59.7061,15.2008,19.78,6.805,25.8958,34.5905,32.4405,0.7674,4.6288,3.3723,3.4696,3.8782,1.8424,2.5142,2.66,3.0267,5.574,0.1773,0.1535,4
7,1.1657,32.2665,46.8141,24.4722,52.1671,47.7368,28.905,14.8993,29.3252,3.7251,3.3874,3.2299,3.9992,1.8246,2.8822,2.8812,3.1759,3.6635,0.2513,0.21,3
8,54.5881,25.0787,10.7613,16.1262,27.3563,14.5068,52.6597,26.4294,25.0868,3.6137,2.9959,3.4101,3.1059,2.0814,1.603,3.6442,2.841,5.4211,0.2423,0.2185,3
9,52.7344,48.5957,5.2526,50.2176,41.3874,27.2023,32.1446,58.9387,54.416,2.2886,2.2323,3.329,2.1594,2.8511,3.0053,3.5362,3.0665,2.5016,0.3972,0.3549,4
10,11.8127,57.2748,2.0948,38.1581,51.7717,58.8377,29.9914,58.8542,31.4276,4.3005,2.6022,3.8602,3.958,2.4289,3.0472,3.1556,3.9777,2.8129,0.3,0.2079,3
11,33.7061,55.2433,0.3619,25.9107,57.242,21.4334,23.9545,56.0252,23.2016,2.7011,3.6149,3.2737,2.9796,1.9312,3.3476,3.1128,3.2208,2.9696,0.3417,0.2862,4
12,52.2457,52.0044,2.078,37.4758,18.8147,12.3385,40.9772,10.6946,3.6721,4.1016,2.5653,3.7524,3.0997,2.3266,2.1671,3.0985,3.281,5.7481,0.2176,0.1913,4
13,59.292,20.1516,38.2885,53.8843,45.2081,7.0435,16.2842,22.9962,30.515,2.4024,2.0913,2.4514,1.7001,2.8546,2.972,3.8009,2.7826,4.4402,0.3863,0.3588,4
14,33.9852,47.8588,45.2886,54.0432,35.7111,53.2606,36.3451,45.0919,12.2032,5.1819,2.5376,4.4495,3.2989,3.3092,3.382,2.6167,3.0005,4.2505,0.2385,0.1544,4
15,4.6045,21.48,22.8808,15.8457,23.8895,4.3462,29.686,52.0626,41.4273,3.3051,3.6532,3.2753,4.338,1.5149,2.2847,3.5122,2.7501,4.2412,0.2283,0.2269,4
16,55.932,54.9266,4.3868,18.9596,2.4892,21.5211,15.8136,39.1414,19.5798,4.0155,3.1857,2.2022,3.5214,1.7045,2.5694,3.2332,2.8679,5.6454,0.2633,0.2473,4
17,15.6765,39.3278,6.9683,20.8163,57.823,4.8514,3.4751,44.5539,40.9149,1.7719,3.3589,2.712,3.3979,1.3942,2.8287,3.6232,3.4953,2.7603,0.3985,0.3555,3
18,46.6888,38.1251,31.1092,54.544,57.7594,16.9288,3.1015,51.9092,33.133,2.0583,2.4727,3.0246,1.7656,2.9069,3.6283,3.6079,3.0164,2.8501,0.4408,0.3666,4
19,41.5679,19.936,21.8258,27.4111,8.6255,54.6054,26.2557,43.2529,4.8295,5.2709,2.4001,2.3153,4.4756,2.0238,1.8871,4.0114,3.2667,6.0096,0.261,0.209,3
20,49.9322,25.6481,2.8798,59.6494,54.9202,22.0372,37.673,46.9582,22.3245,2.5995,1.5935,3.9194,1.6527,3.4277,2.7323,4.1642,3.5652,3.7055,0.4427,0.3546,4
21,18.6601,13.7925,22.0997,44.3445,2.948,0.9448,55.9496,12.943,52.3264,3.3727,2.2867,5.2826,3.7462,2.5386,1.4281,3.4005,3.4011,4.2924,0.2602,0.2265,4
22,4.4903,55.6261,50.8578,15.9688,27.0465,6.1092,34.1101,26.0357,9.9332,4.4414,4.7164,4.3159,4.1159,1.7153,3.445,1.5355,2.1413,4.6119,0.2704,0.201,2
23,47.5957,58.132,36.3889,15.3695,8.6497,36.0688,2.9904,34.9236,9.9456,4.6678,3.6584,2.3612,3.9314,1.6279,3.0536,2.4876,2.5337,5.4451,0.2118,0.2185,4
24,8.6615,36.7842,11.206,11.0056,21.3166,30.4671,47.0825,42.9624,41.575,4.0254,3.381,4.2379,4.5789,1.7623,1.8831,3.2573,3.2707,4.3382,0.1738,0.1574,2
25,26.7663,46.5466,26.7915,49.9492,46.3598,0.1762,22.3755,29.8053,31.7948,2.8297,2.5471,4.0043,2.9162,2.471,3.0169,3.1158,3.502,3.7183,0.303,0.255,3
26,56.0726,43.2353,58.913,25.8805,49.692,27.7717,2.746,48.4521,17.4679,3.1928,4.5708,1.9584,2.242,2.187,4.3702,2.2976,1.2627,3.6462,0.4476,0.3594,2
27,48.8876,45.9114,39.1394,42.6354,21.117,10.5288,18.4192,59.6909,16.769,3.9812,3.5932,3.1337,2.846,2.5806,3.5852,2.8379,1.9428,4.6678,0.2581,0.2174,4
28,28.5859,42.6827,59.2553,26.7496,36.5465,22.2613,50.4044,57.9967,23.4458,4.354,5.1484,4.8569,3.1601,2.6074,3.9491,1.545,1.0983,3.4033,0.3829,0.2895,4
29,12.1208,59.869,33.6271,26.1314,26.0208,10.0861,1.9693,17.1914,54.4977,2.8117,3.4931,3.3674,4.149,1.3402,2.9702,2.2954,3.1721,3.2947,0.2846,0.2794,2
30,24.6416,27.2424,29.5845,56.8923,32.7523,10.5765,56.8742,13.9704,50.6471,3.0748,1.9268,5.8849,2.8443,3.2462,2.0229,3.1587,3.5008,3.5131,0.3248,0.2777,5
31,28.214,37.0132,55.28,51.1216,22.962,41.6059,44.6237,34.0945,54.6875,3.8866,2.9156,4.7,3.279,2.9979,3.1309,2.2368,2.3677,3.0408,0.2439,0.216,3
32,51.3256,47.1688,42.8291,41.0433,57.7691,19.9721,41.684,56.7762,58.6081,1.4466,3.5837,3.5928,1.5847,2.7578,3.8284,2.6808,2.1779,0.9978,0.4081,0.4375,4
33,55.8858,50.1592,16.6385,59.9242,57.0668,0.8455,57.4822,45.3734,26.5265,2.6832,2.1665,5.5651,0.9492,3.972,3.1214,3.1129,3.2653,2.9494,0.4537,0.3745,5
34,21.5885,22.5739,38.6891,59.4361,38.6502,13.3351,57.7283,35.2708,22.2799,3.9793,2.417,6.2898,2.6228,3.6606,2.5752,2.9253,3.0149,4.1422,0.3108,0.2222,5
