Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,3.0,2.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,3.5005,120.0879,1.1572,1.142,14.0103,72.7356,11.3152,2.2843,7.0719,0.1645,3
2,2.0,1.0,1.9898,4.0,4.0,4.0,2.0311,1.0294,3.0,3.0856,95.2337,1.1877,1.2574,19.2822,73.1372,12.1666,2.3693,7.746,0.1577,5
3,2.0146,3.1186,3.0,3.0301,3.9632,3.9386,1.0018,1.0334,2.0127,3.9035,90.9579,1.3276,1.5773,20.6762,75.7599,11.7112,2.3546,5.0494,0.1351,5
4,3.9999,3.1376,3.9487,3.0471,3.9899,3.7837,1.0069,1.0495,3.3965,4.9505,145.1716,1.1042,1.161,18.5257,80.0903,9.9177,2.0814,4.8512,0.1605,3
5,4.0,3.6879,3.8959,4.0,3.9994,2.0056,1.0013,1.006,1.0163,4.4705,150.3784,1.4664,1.462,17.6789,49.5565,10.2561,2.6427,7.2718,0.1424,5
6,4.0,3.6879,3.8959,4.0,3.9994,2.0056,1.0013,1.006,1.0163,4.4705,150.3784,1.4664,1.462,17.6789,49.5565,10.2561,2.6427,7.2718,0.1424,5
7,1.0283,2.0,3.0042,3.9816,4.0,2.921,1.0074,2.0017,3.9956,5.6989,86.8045,0.7979,1.4269,20.6249,75.0438,10.7757,2.1794,7.2619,0.1267,5
8,1.0283,2.0,3.0042,3.9816,4.0,2.921,1.0074,2.0017,3.9956,5.6989,86.8045,0.7979,1.4269,20.6249,75.0438,10.7757,2.1794,7.2619,0.1267,5
9,1.0283,2.0,3.0042,3.9816,4.0,2.921,1.0074,2.0017,3.9956,5.6989,86.8045,0.7979,1.4269,20.6249,75.0438,10.7757,2.1794,7.2619,0.1267,5
10,3.9987,3.5172,3.8702,3.9998,3.9994,2.0335,1.0961,1.0598,3.8945,6.9258,149.3793,0.88,1.3456,17.9658,65.5299,10.1685,2.1618,7.1774,0.1303,5
11,3.9987,3.5172,3.9233,4.0,3.9989,2.0335,1.0013,1.0028,2.9955,5.0523,150.1853,1.2693,1.3519,17.811,65.6105,10.2383,2.299,7.1799,0.0942,6
12,3.9987,3.5172,3.9233,4.0,3.9989,2.0335,1.0013,1.0028,2.9955,5.0523,150.1853,1.2693,1.3519,17.811,65.6105,10.2383,2.299,7.1799,0.0942,6
13,3.9987,3.4564,3.9233,4.0,3.9989,2.0335,1.0013,1.0028,2.5597,5.14,150.3125,1.3174,1.3143,17.8018,69.5689,10.2471,2.3655,7.1594,0.0903,6
14,3.9987,3.4564,3.9233,4.0,3.9989,2.0335,1.0013,1.0028,2.5597,5.14,150.3125,1.3174,1.3143,17.8018,69.5689,10.2471,2.3655,7.1594,0.0903,6
15,3.9987,3.4564,3.9233,4.0,3.9989,2.0335,1.0013,1.0028,2.5597,5.14,150.3125,1.3174,1.3143,17.8018,69.5689,10.2471,2.3655,7.1594,0.0903,6
