Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,3.0,2.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,3.5005,120.0879,1.1572,1.142,14.0103,72.7356,11.3152,2.2843,7.0719,0.1645,3
2,3.0,2.0,1.0,3.9108,4.0,3.0371,3.0,1.0,2.996,3.4581,120.0547,1.1548,1.138,14.0809,72.841,11.2413,2.2867,6.8087,0.168,3
3,2.0,2.983,2.0541,1.8708,3.9354,1.0487,1.0118,1.0,3.0,3.1036,83.8261,1.1575,1.3632,22.5859,94.3267,12.591,1.6805,3.9348,0.2201,4
4,2.6742,1.0176,3.988,3.7395,4.0,3.9742,2.0467,2.0367,1.9965,4.258,110.6036,1.2944,1.1713,15.508,72.242,9.5943,2.5008,7.0273,0.1264,3
5,3.0755,1.0176,3.9872,3.9865,4.0,3.9745,1.8987,1.0505,1.9872,4.2183,121.6669,1.2879,1.0285,16.1125,72.5945,11.1667,2.5087,7.6319,0.1468,5
6,1.0018,1.2267,3.9592,3.8697,3.0132,3.2258,1.0701,2.9354,1.9126,4.3817,58.1414,1.3505,1.6147,17.9318,87.8361,7.6114,2.5175,7.5,0.131,5
7,1.0018,1.2267,3.9592,3.8697,3.0132,3.2258,1.0701,2.9354,1.9126,4.3817,58.1414,1.3505,1.6147,17.9318,87.8361,7.6114,2.5175,7.5,0.131,5
8,1.0018,1.2267,3.0271,3.8697,3.999,3.3052,1.0701,1.0132,1.9126,3.3741,87.2846,1.3233,1.4023,20.6574,82.3984,12.4789,2.5321,7.1023,0.1244,6
9,1.0018,1.2267,3.9592,3.8697,3.0132,3.2258,1.0701,2.9354,1.9126,4.3817,58.1414,1.3505,1.6147,17.9318,87.8361,7.6114,2.5175,7.5,0.131,5
10,3.9649,1.3074,1.0395,3.9375,1.3691,3.0852,3.0072,2.0782,1.2062,2.8433,83.2601,1.2266,0.9921,14.0726,90.2677,9.5316,2.5463,7.3785,0.2086,4
11,3.9954,3.8654,3.9867,3.7874,1.0233,3.08,1.6746,1.9505,3.909,7.365,80.4876,0.8328,1.5399,16.376,47.6599,9.4712,2.1792,6.9186,0.177,2
12,3.9954,3.8654,3.9867,3.7874,1.0233,3.08,1.6746,1.9505,3.909,7.365,80.4876,0.8328,1.5399,16.376,47.6599,9.4712,2.1792,6.9186,0.177,2
13,3.9954,3.8654,3.9867,3.7874,1.0233,3.08,1.6746,1.9505,3.909,7.365,80.4876,0.8328,1.5399,16.376,47.6599,9.4712,2.1792,6.9186,0.177,2
14,3.1214,3.0056,3.9809,3.985,3.9698,3.8469,1.9028,1.1028,3.4061,5.2894,121.7844,1.1838,1.2632,15.8033,79.8295,10.9835,2.2927,7.1194,0.0906,4
15,3.6792,2.0877,3.9181,3.9018,1.147,3.9671,1.5437,1.0548,1.7597,4.0745,72.2555,1.2566,0.8171,17.6743,73.0655,11.5139,2.5119,7.3767,0.1902,4
16,2.9164,2.8718,1.0362,3.526,3.8637,1.0426,1.3985,1.0077,3.1277,3.518,111.5043,1.1491,1.1281,21.8899,94.2034,10.8909,2.2317,6.1551,0.1616,5
17,4.0,2.9671,3.999,3.7995,3.8385,1.0998,1.737,2.0457,3.8593,6.601,144.6977,0.8702,1.0126,16.5463,92.8632,8.1973,2.129,6.8191,0.1765,4
18,1.0158,1.0111,1.1289,3.2271,3.8826,1.1034,1.249,3.9872,1.1107,3.2144,82.554,1.3391,1.9862,20.8043,86.6166,4.1275,2.5176,6.7598,0.2315,6
19,4.0,3.7915,3.8429,3.3076,3.6132,1.2534,1.6113,2.0751,3.9429,7.22,135.0464,0.786,1.48,17.1791,46.3436,7.7948,2.0599,5.9027,0.2142,4
20,2.8082,3.7893,3.6642,3.9827,3.8593,1.0274,1.6959,2.0951,3.9998,7.4708,109.2976,0.8269,1.7723,16.909,44.634,9.2082,2.1922,7.6775,0.1839,5
21,2.8082,3.7893,3.6642,3.9827,3.8593,1.0274,1.6959,2.0951,3.9998,7.4708,109.2976,0.8269,1.7723,16.909,44.634,9.2082,2.1922,7.6775,0.1839,5
22,2.0354,2.9925,3.8594,3.0683,3.9697,1.1244,3.2164,1.0464,1.4795,4.2766,96.02,1.4116,1.6515,9.1135,89.3762,11.7378,2.3854,5.1535,0.1929,5
23,3.6175,3.7889,1.156,3.2255,1.0445,1.1742,3.6102,2.1485,3.4763,5.6242,70.4477,1.0297,2.0465,9.6371,53.5953,9.0441,2.0998,5.9037,0.2091,3
24,3.7092,3.7889,1.156,3.2255,1.0445,1.0083,3.6102,1.0797,3.4664,5.4533,73.2103,1.0297,1.9426,9.8717,54.2787,11.0752,2.1053,5.8377,0.2009,4
25,1.0033,1.8441,1.1819,3.853,3.9081,3.7803,3.8959,1.0941,1.7794,3.7275,90.803,1.3682,2.0422,8.1786,63.8267,12.4487,2.5754,6.9019,0.2069,5
26,1.0033,1.8441,1.1819,3.853,3.9081,3.7803,3.8959,1.0941,1.7794,3.7275,90.803,1.3682,2.0422,8.1786,63.8267,12.4487,2.5754,6.9019,0.2069,5
27,3.999,2.2502,3.8811,3.9598,3.9951,1.1292,1.9795,1.2371,3.3153,4.7414,149.251,1.0949,0.7075,16.2234,79.0968,10.0874,2.1962,7.2874,0.1985,3
28,1.1869,1.0936,1.0238,3.0695,3.981,1.0073,1.0041,1.0535,3.9115,4.6243,83.9199,0.7494,1.2872,23.2802,89.2264,12.0805,2.0076,5.7185,0.1706,5
29,3.9767,3.5744,3.9886,3.9972,3.9148,3.7786,1.9679,1.0272,1.183,4.5298,146.4988,1.4431,1.4175,15.0022,52.43,10.2849,2.6645,7.1886,0.14,4
30,3.9945,3.094,1.8098,3.7513,1.0811,1.1521,3.9245,2.3171,3.3093,5.0333,86.0066,1.1189,1.7853,7.5945,100.2523,8.4583,2.1913,6.8387,0.195,5
31,3.9271,3.6613,1.6481,3.6801,1.3187,2.9828,1.1459,1.192,1.0992,3.2966,79.5482,1.3382,1.4139,21.5684,65.9925,10.9553,2.6143,6.4781,0.1482,4
32,3.9891,3.7515,3.9155,3.9704,3.9563,1.3417,1.5996,1.0159,4.0,7.4211,147.6134,0.7915,1.4339,16.7153,47.4371,10.1467,2.1637,7.3871,0.1864,4
33,3.9891,3.7515,3.9155,3.9704,3.9563,1.3417,1.5996,1.0159,4.0,7.4211,147.6134,0.7915,1.4339,16.7153,47.4371,10.1467,2.1637,7.3871,0.1864,4
34,1.0059,2.939,3.9927,3.9014,3.999,3.9999,1.1437,1.016,1.1376,3.8344,89.043,1.5624,1.6992,17.6981,75.1538,12.481,2.7341,7.0974,0.0833,5
35,3.996,3.883,1.0384,3.3735,1.0233,1.0027,1.747,2.7701,1.1545,3.9801,78.6019,1.2823,1.6251,19.9089,45.7048,6.5047,2.5292,6.5266,0.2037,3
36,3.9997,3.7587,1.0087,3.8419,1.0485,1.0477,1.8895,1.9582,3.6855,5.8199,79.9236,0.8958,1.424,19.7808,58.1572,9.5189,2.1926,7.422,0.1385,3
37,3.9997,3.6689,1.0322,3.8419,1.0547,1.0252,3.6288,1.0089,3.6855,6.2018,84.7051,0.9472,1.8522,9.4981,64.7774,11.1895,2.1858,7.1874,0.1767,5
38,1.0171,3.5744,3.984,3.9627,3.7724,3.7895,2.0817,2.1943,3.7307,6.7706,81.4712,1.1291,2.0865,14.5861,53.2287,10.0859,2.3214,7.3679,0.1254,5
39,1.1351,3.5494,3.984,3.9627,3.7724,3.7618,1.2147,2.1943,3.9623,7.202,82.2478,0.9664,2.0898,17.21,57.3982,9.9969,2.2852,7.3579,0.117,5
40,1.0353,2.0086,3.9885,3.9483,3.9517,3.3972,1.8618,1.2301,3.1373,4.2536,87.264,1.2768,1.327,16.3943,73.263,12.3073,2.3369,7.1354,0.0961,4
41,1.0353,2.0086,3.9885,3.9483,3.9517,3.3972,1.8618,1.2301,3.1373,4.2536,87.264,1.2768,1.327,16.3943,73.263,12.3073,2.3369,7.1354,0.0961,4
42,1.0353,2.0086,3.9885,3.9483,3.9517,3.3972,1.8618,1.2301,3.1373,4.2536,87.264,1.2768,1.327,16.3943,73.263,12.3073,2.3369,7.1354,0.0961,4
