Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,3.0,2.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,3.5005,120.0879,1.1572,1.142,14.0103,72.7356,11.3152,2.2843,7.0719,0.1645,3
2,2.2223,3.0019,1.0474,3.9822,2.9884,1.0634,1.0,1.0013,2.8067,3.6699,68.8814,1.2559,1.373,22.2223,98.6014,12.0841,2.349,7.5352,0.1203,6
3,3.9742,3.8703,1.8812,3.9929,2.0242,1.0279,1.1226,1.1257,3.0524,4.4751,90.6307,1.1516,1.5032,21.1805,47.2177,11.0135,2.3035,7.8473,0.1491,5
4,2.0,3.8189,1.8663,3.9458,3.0,1.1125,1.1273,1.0492,1.0296,3.5823,65.0419,1.4561,1.8991,21.1531,46.4772,12.1312,2.6993,7.6883,0.1828,6
5,2.0,3.8189,1.8663,3.9458,3.0,1.1125,1.1273,1.0492,1.0296,3.5823,65.0419,1.4561,1.8991,21.1531,46.4772,12.1312,2.6993,7.6883,0.1828,6
6,2.0,3.8189,1.8663,3.9458,3.0,1.1125,1.1273,1.0492,1.0296,3.5823,65.0419,1.4561,1.8991,21.1531,46.4772,12.1312,2.6993,7.6883,0.1828,6
7,3.9515,2.9672,1.9076,3.9743,3.9411,1.2753,1.0567,1.0267,2.9046,3.632,145.5918,1.1863,1.0212,21.6218,92.5892,10.2526,2.286,7.2135,0.1619,5
8,3.9662,2.9672,1.9076,3.9213,3.8609,1.2753,1.0553,1.0267,2.9046,3.6083,143.6923,1.1817,1.0115,21.6862,93.2083,10.1735,2.2846,7.0688,0.165,5
9,3.9981,3.7702,3.6357,3.8632,1.0308,1.0291,1.0063,1.0021,3.8202,6.8514,80.7029,0.88,1.434,18.9293,57.896,11.0968,2.1762,7.4412,0.1402,4
10,3.9981,3.7702,3.6357,3.8632,1.0308,1.0291,1.0063,1.0021,3.8202,6.8514,80.7029,0.88,1.434,18.9293,57.896,11.0968,2.1762,7.4412,0.1402,4
11,3.9896,3.0842,3.983,3.9215,3.9824,1.2753,1.0939,1.0264,2.9046,4.7202,149.6864,1.2665,1.0709,17.8864,90.4913,10.1855,2.2935,7.0541,0.1263,6
12,3.9896,3.0842,3.983,3.9215,3.9824,1.2753,1.0939,1.0264,2.9046,4.7202,149.6864,1.2665,1.0709,17.8864,90.4913,10.1855,2.2935,7.0541,0.1263,6
13,3.9896,3.0842,3.983,3.9215,3.9824,1.2753,1.0939,1.0264,2.9046,4.7202,149.6864,1.2665,1.0709,17.8864,90.4913,10.1855,2.2935,7.0541,0.1263,6
14,3.9896,3.0842,3.983,3.9215,3.9824,1.2753,1.0939,1.0264,2.9046,4.7202,149.6864,1.2665,1.0709,17.8864,90.4913,10.1855,2.2935,7.0541,0.1263,6
15,3.9896,3.0842,3.983,3.9215,3.9824,1.2753,1.0939,1.0264,2.9046,4.7202,149.6864,1.2665,1.0709,17.8864,90.4913,10.1855,2.2935,7.0541,0.1263,6
16,3.9896,3.0842,3.983,3.9215,3.9824,1.2753,1.0939,1.0264,2.9046,4.7202,149.6864,1.2665,1.0709,17.8864,90.4913,10.1855,2.2935,7.0541,0.1263,6
17,3.9896,3.0842,3.983,3.9215,3.9824,1.2753,1.0939,1.0264,2.9046,4.7202,149.6864,1.2665,1.0709,17.8864,90.4913,10.1855,2.2935,7.0541,0.1263,6
18,3.9896,3.0842,3.983,3.9215,3.9824,1.2753,1.0939,1.0264,2.9046,4.7202,149.6864,1.2665,1.0709,17.8864,90.4913,10.1855,2.2935,7.0541,0.1263,6
19,3.9896,3.0889,3.983,3.92,3.9824,1.2753,1.0939,1.0266,2.9046,4.7229,149.6854,1.2667,1.0734,17.885,90.387,10.1837,2.2937,7.0501,0.1258,6
20,3.9896,3.0922,3.983,3.9152,3.9824,1.0287,1.0939,1.0266,2.9046,4.7308,149.6916,1.2665,1.0737,17.8889,90.7332,10.1792,2.2959,7.0778,0.1255,6
21,3.9896,3.0922,3.983,3.9152,3.9824,1.0287,1.0939,1.0266,2.9046,4.7308,149.6916,1.2665,1.0737,17.8889,90.7332,10.1792,2.2959,7.0778,0.1255,6
22,3.9896,3.0922,3.983,3.9152,3.9824,1.0287,1.0939,1.0266,2.9046,4.7308,149.6916,1.2665,1.0737,17.8889,90.7332,10.1792,2.2959,7.0778,0.1255,6
23,3.9896,3.0922,3.983,3.9152,3.9824,1.0287,1.0939,1.0266,2.9046,4.7308,149.6916,1.2665,1.0737,17.8889,90.7332,10.1792,2.2959,7.0778,0.1255,6
24,3.9896,3.0922,3.983,3.9152,3.9824,1.0209,1.0935,1.0266,2.9124,4.7307,149.6892,1.2654,1.0737,17.8905,90.7488,10.1792,2.2948,7.0788,0.1255,6
25,3.9896,3.0922,3.983,3.9152,3.9824,1.0209,1.0935,1.0266,2.9124,4.7307,149.6892,1.2654,1.0737,17.8905,90.7488,10.1792,2.2948,7.0788,0.1255,6
26,3.9896,3.0922,3.983,3.9152,3.9824,1.0209,1.0935,1.0266,2.9124,4.7307,149.6892,1.2654,1.0737,17.8905,90.7488,10.1792,2.2948,7.0788,0.1255,6
27,3.9896,3.0922,3.983,3.9152,3.9824,1.0209,1.0935,1.0266,2.9124,4.7307,149.6892,1.2654,1.0737,17.8905,90.7488,10.1792,2.2948,7.0788,0.1255,6
28,3.9896,3.0922,3.983,3.9152,3.9824,1.0209,1.0935,1.0266,2.9124,4.7307,149.6892,1.2654,1.0737,17.8905,90.7488,10.1792,2.2948,7.0788,0.1255,6
29,3.9896,3.0922,3.983,3.9152,3.9824,1.0209,1.0935,1.0266,2.9124,4.7307,149.6892,1.2654,1.0737,17.8905,90.7488,10.1792,2.2948,7.0788,0.1255,6
30,3.9881,2.976,3.9992,3.9152,3.9936,1.0209,1.0907,1.0266,2.9607,4.6607,149.988,1.2514,1.0124,17.9137,92.5075,10.1919,2.2816,7.0725,0.138,6
31,3.9881,2.976,3.9992,3.9152,3.9936,1.0209,1.0907,1.0266,2.9607,4.6607,149.988,1.2514,1.0124,17.9137,92.5075,10.1919,2.2816,7.0725,0.138,6
