Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,3.0,2.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,3.5005,120.0879,1.1572,1.142,14.0103,72.7356,11.3152,2.2843,7.0719,0.1645,3
2,3.9621,3.0113,4.0,4.0,1.9802,1.0,1.0,1.0,2.0,4.8515,91.7102,1.2982,1.0008,18.1248,101.6136,11.2226,2.4294,7.5907,0.1375,7
3,3.9621,3.0113,4.0,4.0,1.9802,1.0,1.0,1.0,2.0,4.8515,91.7102,1.2982,1.0008,18.1248,101.6136,11.2226,2.4294,7.5907,0.1375,7
4,3.9621,3.0113,4.0,4.0,1.9802,1.0,1.0,1.0,2.0,4.8515,91.7102,1.2982,1.0008,18.1248,101.6136,11.2226,2.4294,7.5907,0.1375,7
5,3.9879,3.0113,3.9639,4.0,1.9802,1.0,1.0757,1.0,2.0,4.8415,92.2815,1.294,0.9893,18.1463,101.6392,11.2101,2.428,7.5884,0.1398,7
6,2.0061,2.9184,3.0,4.0,3.9988,1.9487,3.0316,1.745,1.0654,3.7013,98.0052,1.4872,1.633,11.6789,86.0812,11.0954,2.6285,7.198,0.1369,5
7,3.9879,3.0113,3.9639,4.0,1.9802,1.0,1.0757,1.0,2.0,4.8415,92.2815,1.294,0.9893,18.1463,101.6392,11.2101,2.428,7.5884,0.1398,7
8,3.9879,3.0113,3.9639,4.0,1.9802,1.0,1.0757,1.0,2.0,4.8415,92.2815,1.294,0.9893,18.1463,101.6392,11.2101,2.428,7.5884,0.1398,7
9,3.9879,3.0113,3.9639,4.0,1.9802,1.0,1.0757,1.0,2.0,4.8415,92.2815,1.294,0.9893,18.1463,101.6392,11.2101,2.428,7.5884,0.1398,7
10,3.9879,3.0113,3.9639,4.0,1.9802,1.0,1.0757,1.0,2.0,4.8415,92.2815,1.294,0.9893,18.1463,101.6392,11.2101,2.428,7.5884,0.1398,7
11,3.9879,3.0113,3.9639,4.0,1.9802,1.0,1.0757,1.0,2.0,4.8415,92.2815,1.294,0.9893,18.1463,101.6392,11.2101,2.428,7.5884,0.1398,7
12,3.9879,3.0113,3.9639,4.0,1.9802,1.0,1.0757,1.0,2.0,4.8415,92.2815,1.294,0.9893,18.1463,101.6392,11.2101,2.428,7.5884,0.1398,7
13,3.9618,2.9998,1.0339,4.0,3.0147,1.0015,1.0,2.0059,1.0,3.0986,117.1617,1.354,1.082,21.9217,97.0178,8.7849,2.6032,7.5479,0.18,6
14,4.0,3.5914,3.9946,3.9975,2.9998,1.0,1.2129,2.0073,2.0,5.45,118.9505,1.3245,1.4028,17.2082,67.1279,8.6839,2.4606,7.6652,0.0926,6
