Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,2.727,2.3635,2,2,3.3635,2.0906,1.727,1.3635,2.273,3.0602,80.5488,1.1246,0.9254,21.3548,84.4267,11.5942,1.7839,3.9008,0.2591,3
2,2.727,2.3635,2,2,3.3635,2.0906,1.727,1.3635,2.273,3.0602,80.5488,1.1246,0.9254,21.3548,84.4267,11.5942,1.7839,3.9008,0.2591,3
3,2.727,2.3635,2,2,3.3635,2.0906,1.727,1.3635,2.273,3.0602,80.5488,1.1246,0.9254,21.3548,84.4267,11.5942,1.7839,3.9008,0.2591,3
4,2.727,2.3635,2,2,3.3635,2.0906,1.727,1.3635,2.273,3.0602,80.5488,1.1246,0.9254,21.3548,84.4267,11.5942,1.7839,3.9008,0.2591,3
5,2.727,2.3635,2,2,3.3635,2.0906,1.727,1.3635,2.273,3.0602,80.5488,1.1246,0.9254,21.3548,84.4267,11.5942,1.7839,3.9008,0.2591,3
6,2.727,2.3635,2,2,3.3635,2.0906,1.727,1.3635,2.273,3.0602,80.5488,1.1246,0.9254,21.3548,84.4267,11.5942,1.7839,3.9008,0.2591,3
7,2.727,2.3635,2,2,3.3635,2.0906,1.727,1.3635,2.273,3.0602,80.5488,1.1246,0.9254,21.3548,84.4267,11.5942,1.7839,3.9008,0.2591,3
8,2.727,2.3635,2,2,3.3635,2.0906,1.727,1.3635,2.273,3.0602,80.5488,1.1246,0.9254,21.3548,84.4267,11.5942,1.7839,3.9008,0.2591,3
9,2.727,2.3635,2,2,3.3635,2.0906,1.727,1.3635,2.273,3.0602,80.5488,1.1246,0.9254,21.3548,84.4267,11.5942,1.7839,3.9008,0.2591,3
10,4,2,3,1,2,2,2,1,3,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
11,4,2,3,1,2,2,2,1,3,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
12,4,2,3,1,2,2,2,1,3,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
13,4,2,3,1,2,2,2,1,3,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
14,4,2,3,1,2,2,2,1,3,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
15,4,2,3,1,2,2,2,1,3,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
16,4,2,3,1,2,2,2,1,3,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
17,4,2,3,1,2,2,2,1,3,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
18,4,2,3,1,2,2,2,1,3,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
19,4,2,3,1,2,2,2,1,3,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
20,4,2,3,1,2,2,2,1,3,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
21,4,2,3,1,2,2,2,1,3,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
22,1,1,3,1,4,1,3,3,2,3.8092,78.3199,1.2277,1.7209,12.7933,86.4376,8.0833,1.664,4.3171,0.2011,3
23,1,1,3,1,4,1,3,3,2,3.8092,78.3199,1.2277,1.7209,12.7933,86.4376,8.0833,1.664,4.3171,0.2011,3
