Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,weighted_sum,Fitness,Nc
1,1.0,2.6861,3.2043,4.0,4.0,1.5341,4.0,1.7881,2.0113,5.085125,94.262677,1.451927,2.228587,5.275099,86.168768,11.424533,2.484792,7.278852,0.624,0.2301,7
2,1.0,1.9719,1.0,4.0,2.4873,2.8711,1.0,1.0,1.0,2.349396,41.547151,1.407798,1.322011,22.556839,82.509266,13.20455,2.666838,7.49087,0.755,0.2512,5
3,1.0,1.7592,1.0,4.0,4.0,2.4137,1.0,2.1791,1.0,2.479806,88.367135,1.420744,1.433495,22.124687,71.918001,10.336533,2.660521,7.510263,0.6319,0.1799,6
4,1.0,2.7717,1.0,4.0,1.6486,1.4297,1.0,1.0,1.0,2.747397,25.424561,1.455722,1.471884,22.409371,101.039441,13.585488,2.669075,7.722084,0.6796,0.2772,6
5,1.0,3.6975,1.0,4.0,2.9209,3.3736,1.0,1.2825,1.0,3.421299,53.855914,1.513507,2.09067,21.596342,55.36259,12.495971,2.758201,7.461423,0.7076,0.1862,5
6,1.0,2.8113,2.3908,4.0,2.6088,2.4741,1.0,1.7281,1.0,2.86899,44.128303,1.483367,1.55992,21.391209,96.740169,12.024879,2.665584,7.389283,0.6966,0.2097,5
7,1.0,2.0876,4.0,4.0,4.0,2.86,4.0,3.7002,2.529,6.121491,96.133788,1.432072,2.602817,2.070162,70.581276,5.070652,2.401474,7.618784,0.6077,0.3384,6
8,1.0,3.6133,4.0,4.0,4.0,1.5243,4.0,2.0952,3.9838,8.211624,95.243154,1.017607,2.768934,2.828772,57.207478,10.46928,2.227906,7.432136,0.6408,0.299,5
9,1.0,1.7346,1.0,4.0,1.9591,3.5855,2.7753,1.0,1.0,2.578593,30.076877,1.406529,1.427779,15.742406,77.878241,13.630484,2.691856,7.636531,0.5893,0.2713,4
10,2.2605,2.6176,1.0,4.0,2.6391,2.6262,1.0,1.7751,1.0,2.715826,59.038937,1.400592,1.265092,22.211981,93.913409,11.257341,2.635597,7.325642,0.7183,0.1967,5
11,1.0,3.7071,4.0,4.0,4.0,1.0763,4.0,3.5553,2.3633,7.193205,96.387832,1.524777,3.221044,1.469002,46.067029,5.308945,2.486927,7.994845,0.5765,0.3713,6
12,1.0,2.6161,1.0,4.0,2.4685,2.6264,1.0,1.8449,2.1185,3.633095,41.073067,1.316141,1.490967,22.239559,94.85336,11.85939,2.474307,7.406089,0.7936,0.1924,5
13,1.0,2.9216,1.0,4.0,3.2152,2.2177,1.0,1.0,1.9729,3.633586,63.812254,1.353632,1.574238,22.172485,94.168054,12.581868,2.512342,7.328441,0.6818,0.1182,5
14,1.0,2.0757,1.0,4.0,1.8508,2.2565,1.0,2.5557,1.2884,2.825633,28.252298,1.34701,1.459364,22.154634,83.500707,9.952088,2.59359,7.794353,0.5838,0.2653,5
15,1.0979,2.3248,1.0,4.0,2.0434,3.8626,1.0,1.2688,2.6126,3.367019,31.332962,1.274727,1.41949,22.388226,79.585243,13.179369,2.441033,7.64938,0.7093,0.2381,5
16,1.0,3.5727,1.0,4.0,3.1052,2.7982,1.0,2.6697,1.9748,4.444872,60.191355,1.382742,2.153252,21.231191,66.429162,8.58339,2.551814,7.529882,0.5978,0.1205,5
17,1.0,2.8744,1.0,4.0,2.5715,2.5333,1.7341,1.5195,1.2684,2.961416,43.182128,1.411233,1.51163,20.701881,97.577717,12.484157,2.627532,7.35408,0.596,0.21,5
18,1.5482,1.6229,1.0,4.0,2.4095,2.7185,1.0,1.3485,2.4239,3.261875,42.890461,1.224443,1.229674,22.59458,84.430109,12.660201,2.403017,7.602591,0.6286,0.2157,6
19,1.4288,2.1851,1.5484,4.0,2.872,4.0,1.0,1.2984,1.0,2.447743,54.190864,1.421622,1.373023,22.132927,68.421289,12.460206,2.71394,7.675835,0.6402,0.2189,5
20,1.7162,3.3605,1.3461,4.0,3.2751,1.126,1.0,1.7965,1.0,3.236166,70.958443,1.47785,1.736261,21.708404,82.511752,11.042168,2.685054,7.659522,0.6736,0.1246,7
21,1.0,3.0615,1.0,4.0,1.6436,2.8853,1.0,1.006,2.1496,3.812225,24.98131,1.345891,1.647579,22.199166,100.550256,13.545678,2.497416,7.362907,0.6671,0.244,5
22,1.0,3.1604,4.0,4.0,4.0,2.8401,4.0,2.2556,2.9264,5.741052,95.695632,1.472644,2.551918,2.887257,84.940501,10.044202,2.371821,7.010033,0.555,0.2776,7
23,1.0,2.2459,4.0,4.0,4.0,1.3839,4.0,3.0078,3.4047,6.19262,95.8504,1.275175,2.327198,2.931899,75.682528,7.263025,2.251463,7.645459,0.6061,0.2914,6
24,1.0,2.6923,1.0,3.0598,2.9053,2.4168,1.0,1.4861,1.0,2.348681,49.709714,1.406202,1.445752,22.882511,94.442459,11.920045,2.480498,5.154071,0.6496,0.2473,5
25,1.0,2.5676,1.8248,4.0,2.5119,3.0638,1.0,1.7541,2.366,3.565016,41.471322,1.311793,1.485529,21.956325,94.541613,12.04895,2.442558,7.358942,0.5942,0.1934,5
26,1.0,3.9377,1.0,4.0,2.5365,1.8673,1.0,1.6526,1.0,3.762085,43.105405,1.492479,2.186427,21.458187,35.196504,12.149503,2.731109,7.888692,0.6106,0.2582,6
27,1.0,2.2192,1.3198,4.0,2.9261,1.5655,1.0,1.4953,1.0,2.496513,54.411388,1.423322,1.345341,22.373681,83.55995,12.238998,2.654441,7.695643,0.6295,0.2113,6
28,1.5979,3.116,1.0,4.0,3.6517,2.5443,1.0,1.8627,1.0,3.022457,81.792958,1.480743,1.658584,21.820303,88.617679,10.884984,2.679466,7.218058,0.7463,0.1327,6
29,1.4958,2.9533,1.6198,4.0,3.2941,2.0845,1.0,2.6071,1.0,3.090834,68.91405,1.468542,1.679504,21.479193,92.511178,8.588553,2.658169,7.510455,0.7095,0.1446,5
30,1.0,3.2227,3.149,4.0,4.0,2.0483,4.0,3.3007,3.1511,5.924497,94.121261,1.382507,2.82815,4.287767,80.145869,6.167556,2.316859,7.472903,0.6137,0.2801,5
31,1.0,2.0494,1.0,4.0,1.4591,3.6399,1.0,1.0,1.0,2.385644,22.789775,1.413694,1.3672,22.513804,80.542309,13.666,2.701897,7.651473,0.7125,0.3034,5
32,1.6964,2.7501,1.0,4.0,2.1956,3.177,1.0,1.0,1.0,2.682388,39.435621,1.435642,1.401817,22.286421,98.885277,13.100842,2.676871,7.306409,0.6087,0.238,5
33,1.0,2.4677,1.0,4.0,2.9539,3.0192,1.0,1.929,1.3836,2.837096,54.915439,1.373724,1.480485,22.182304,89.736685,11.275334,2.611649,7.348339,0.646,0.185,5
34,1.0,2.8133,1.0,4.0,2.3619,1.8289,1.0,1.9121,2.4776,3.775913,38.439026,1.313521,1.552334,22.201867,98.491831,11.740855,2.412628,7.608546,0.7494,0.1954,6
35,1.0,1.0,1.0,4.0,2.1195,3.5152,1.0,1.0,1.0,2.209054,32.714566,1.399083,1.408264,22.63152,94.479817,13.482402,2.701516,7.826563,0.5893,0.2782,6
36,2.772,2.8144,1.0,4.0,3.5996,2.0167,1.0,2.1592,1.0,2.943759,101.21745,1.404979,1.288302,21.880133,90.652778,9.179527,2.625141,7.336715,0.7772,0.1616,5
37,2.0892,2.8359,1.0,4.0,3.0863,1.915,1.0,2.1361,1.8013,3.611147,69.964267,1.30903,1.418468,21.970496,94.676362,10.005001,2.501746,7.472567,0.6253,0.117,5
38,3.1686,2.9567,1.0,4.0,3.9737,2.8081,1.0,1.5687,1.0,2.897383,123.298319,1.410513,1.252647,21.847196,90.006368,10.318292,2.64121,7.003218,0.6823,0.1668,6
39,3.1908,2.1334,1.0,4.0,3.4765,2.6073,1.0,2.7496,1.0,2.823213,108.987605,1.333614,1.128583,21.782323,77.072829,6.676595,2.599631,7.437793,0.6102,0.2148,4
40,2.6864,3.8142,1.0,4.0,4.0,1.9358,1.0,2.2529,1.0,3.784751,111.219588,1.449802,1.910039,21.09498,37.908658,8.959613,2.686453,7.559241,0.6943,0.198,6
41,2.697,3.0013,1.9471,4.0,3.533,2.0818,1.0,1.6481,1.0,2.926551,96.538068,1.428796,1.339567,21.566085,91.317376,10.580306,2.63362,7.268171,0.6761,0.1556,6
42,1.0,2.5005,1.0,4.0,1.7555,2.6712,1.0,1.9651,3.0222,3.408413,26.508306,1.230109,1.458459,22.369818,95.313689,11.90397,2.321965,7.493539,0.4818,0.2526,5
43,1.0,3.2452,1.0,4.0,4.0,1.6726,1.0,2.3225,1.0,3.262936,88.506941,1.516999,1.890725,21.536397,81.679182,9.797327,2.698175,7.507829,0.6982,0.116,7
44,2.4167,2.8207,1.0,3.318,4.0,1.9151,1.0,1.8418,1.0,2.611059,102.658448,1.392313,1.303408,22.391003,89.10269,10.107398,2.539852,5.568332,0.689,0.1969,6
