Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,1.4007,2.8959,1.6066,2.5586,3.577,2.138,1.4227,1.9743,1.3628,2.6244,69.351,1.3148,1.4709,21.9053,92.7282,10.6799,2.2081,4.4117,0.6589,5
2,3.9656,1.6852,1.1882,1.2433,3.9165,3.8728,1.8725,3.6963,3.3588,4.0099,133.6619,0.89,1.2273,19.8608,63.2927,3.5745,1.4599,4.1946,0.9545,2
3,1.5097,3.5472,2.4478,2.3938,1.6185,1.6976,3.1126,3.0463,2.0858,4.7807,20.2792,1.2817,2.2441,12.0415,71.5941,8.0636,2.0242,4.8227,0.9096,3
4,3.9136,3.6255,3.9794,2.7526,1.7223,1.7242,3.9632,1.4081,2.4758,5.8617,85.6905,1.2889,2.0124,4.0197,66.8804,10.7547,2.0596,4.7532,0.8646,6
5,2.1943,3.3753,2.6849,1.0318,3.7037,3.0302,1.1965,2.82,3.8262,5.6376,79.0911,0.8506,1.7868,20.9514,79.6077,7.9385,1.409,3.5235,0.7047,3
6,1.1692,3.387,1.0354,1.8527,3.1258,2.1119,1.758,2.0372,3.162,3.6526,49.7557,1.1495,1.7413,21.2138,81.5643,11.2955,1.6788,3.9454,0.6882,4
7,2.5818,1.4219,3.7952,1.9294,2.6948,3.3774,1.0831,2.0872,1.3313,2.969,57.2388,1.2329,1.0674,19.6972,86.3262,10.662,1.9552,4.1573,0.7673,4
8,1.5427,2.5515,2.1036,2.4237,3.166,3.7747,1.0182,3.9451,3.5096,4.8642,55.7097,0.9988,2.0011,20.8586,80.7256,4.55,1.8385,5.0067,0.7351,2
9,3.7487,2.0407,2.9432,3.3084,1.8518,1.1465,1.363,3.1488,2.3691,4.1702,78.644,1.126,0.984,20.0594,85.6524,5.2342,2.2231,6.353,0.6783,3
10,1.8113,3.5308,3.8898,2.2388,3.6894,1.3272,3.8731,3.1066,1.989,5.9937,82.7376,1.3886,2.6475,3.9954,65.278,6.7076,1.9887,4.4544,0.9467,4
11,3.5473,2.0626,1.6516,1.6359,2.9367,3.608,3.8639,2.5662,1.5547,3.3165,95.6349,1.1716,1.5824,8.7211,75.3764,8.0794,1.8118,3.7114,0.8134,1
12,2.4579,2.365,3.3088,1.2557,1.4984,1.6692,2.5526,3.8907,3.2029,4.8438,29.6558,1.0508,1.6217,14.2668,89.1517,5.6514,1.4455,4.5171,0.9329,1
13,1.7775,1.7726,1.6058,3.4986,2.3789,1.7509,1.1925,2.0466,1.5262,2.6109,43.0161,1.2445,1.1738,22.3675,82.8671,10.7384,2.4776,6.5314,0.7488,5
14,1.5745,1.9815,2.2202,2.5119,1.4059,3.5708,2.6091,1.5043,2.853,2.9394,17.0077,1.1297,1.2342,17.0127,81.6866,12.9133,1.9432,4.5998,1.0114,3
15,2.4567,3.8119,3.5162,3.0118,3.1073,3.2775,3.0548,1.4099,1.0446,4.3699,74.2315,1.4523,2.0251,10.6112,42.7647,11.1197,2.4918,5.0444,0.7029,4
16,3.2943,1.8734,2.2582,3.4254,3.0616,3.9653,2.357,3.2261,3.0807,3.7873,94.9293,1.0796,1.2357,16.9735,64.2925,4.651,2.2219,6.427,0.7019,2
17,3.9152,1.3842,1.9254,3.0331,3.9772,3.7654,3.0278,1.2168,1.0813,2.3555,142.1776,1.2439,0.9894,13.9665,69.614,10.0062,2.4184,5.1042,0.7798,4
18,2.8088,3.1726,2.1142,3.112,3.5006,2.8094,1.1837,2.237,1.1692,2.911,94.2586,1.3503,1.439,21.4704,89.5687,8.5338,2.4481,5.068,0.5699,5
19,3.4486,3.0624,2.2997,3.0309,2.0366,3.37,1.6175,3.4668,2.1048,4.3683,70.1104,1.1981,1.5339,19.641,96.7181,4.3851,2.2454,5.4186,0.6602,3
20,1.2386,1.5335,2.9695,2.5965,1.9705,2.1063,2.4303,3.8278,3.4268,4.8323,22.8691,0.9967,1.7679,15.705,83.2536,5.5973,1.8457,5.5134,0.9059,2
21,2.0537,1.0929,1.644,1.8892,2.7362,2.5494,3.5319,1.6189,3.5885,4.1206,50.0993,0.8895,1.5451,11.5302,92.1324,12.2995,1.5541,4.0583,0.7846,2
22,3.4277,3.1345,3.0357,2.0373,1.5795,3.5036,1.0001,3.0511,3.2491,4.3889,56.6646,1.0559,1.4638,20.5598,96.651,6.7326,1.6776,4.173,0.6844,2
23,1.7051,2.6469,1.5986,3.5892,1.4404,3.7599,3.0093,2.677,1.0234,3.1268,27.67,1.4204,1.7164,13.5317,87.5877,9.0935,2.6453,6.524,0.8004,4
24,1.9338,3.4775,1.585,1.2578,1.3916,2.7505,1.1874,2.5106,1.3582,3.0544,18.7631,1.2876,1.7803,22.1441,81.402,10.4694,1.8354,3.8145,0.995,5
25,1.9143,1.5936,1.4391,1.6794,3.9568,2.6286,3.3152,2.0229,3.9746,5.1004,84.9873,0.6518,1.4884,12.7776,75.0255,11.0751,1.4488,3.7119,0.7889,3
26,2.4543,3.6642,2.2214,1.6271,1.7172,2.8334,3.8457,1.6557,2.3262,4.6931,36.7293,1.2573,2.3047,8.1924,63.9573,12.5525,1.7346,3.6732,0.9451,3
27,2.1982,3.6138,1.9434,2.0597,3.0258,2.0178,3.8152,3.1974,1.871,4.9416,64.2311,1.2919,2.607,7.6587,60.4578,6.532,1.9284,4.2819,0.8455,2
28,2.4368,2.1805,3.0912,2.4841,3.1668,1.5265,1.7559,2.3463,1.4795,3.0878,69.7878,1.2164,1.0504,19.5171,82.3442,9.1219,2.0972,4.6867,0.6781,4
29,1.3382,1.512,1.8016,2.0884,1.9041,3.7568,2.8745,2.051,1.7149,2.7297,20.403,1.1849,1.4272,15.548,78.6211,12.0526,1.986,4.4408,0.983,1
30,1.2966,2.4152,2.3617,1.8554,3.7147,1.8219,2.4738,2.5786,2.8335,3.3074,69.5288,1.1663,1.4176,17.2164,82.6253,9.3188,1.6769,4.0142,0.6401,2
31,2.315,1.2464,2.5502,3.9149,3.3145,3.09,2.175,2.113,3.8379,5.1287,79.0079,0.812,1.1606,18.2357,86.8853,9.7903,2.1674,7.2992,0.4549,4
32,2.6078,2.0157,1.4531,2.9788,3.3967,1.3731,1.4997,3.5857,2.9725,3.6871,85.3296,1.0852,1.3939,20.8698,78.3268,4.013,2.054,5.7911,0.7225,3
33,3.6091,1.0574,2.7499,2.0835,1.8087,3.4071,2.9227,1.1273,3.4121,3.6712,65.9097,0.8958,0.931,14.6146,95.5785,12.0112,1.6299,4.2004,0.7885,2
34,2.9761,3.9198,1.2792,3.6002,1.1409,3.705,3.729,2.4845,3.6388,6.4325,53.869,1.0199,2.4935,8.2494,33.0175,8.6327,2.2486,6.6349,0.8846,3
35,1.0174,1.9768,2.3687,2.8112,3.646,2.7896,2.0817,3.9701,2.899,4.0324,70.6908,1.1717,1.8965,17.6927,73.9266,4.2895,2.0482,5.4198,0.6818,3
36,1.4187,2.8537,2.7314,2.5211,3.0221,2.9366,2.6346,3.8227,2.7868,4.5558,51.1253,1.226,2.0537,14.2891,93.7191,4.8444,1.9511,4.8063,0.7515,3
