Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,3.0,2.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,3.5005,120.0879,1.1572,1.142,14.0103,72.7356,11.3152,2.2843,7.0719,0.1645,3
2,4.0,3.0,2.0,3.9854,3.0044,4.0,3.0,1.9904,1.0,3.3889,117.8603,1.39,1.3471,13.0101,78.1998,8.9242,2.6564,7.2984,0.1547,3
3,4.0,2.9895,3.9765,3.9991,2.997,2.0134,1.0,1.9903,2.1043,4.9709,118.887,1.2994,1.0736,17.9162,94.6961,8.7819,2.4027,7.3006,0.1297,5
4,4.0,2.9823,3.9765,3.9991,3.1333,2.0134,1.0092,1.9903,1.977,4.8792,123.2919,1.3063,1.0727,17.8881,94.0179,8.6916,2.4247,7.2818,0.1311,5
5,4.0,3.0303,3.9957,3.9945,3.9991,1.1608,1.0393,1.9915,2.8662,4.8453,150.6017,1.2722,1.1143,17.6899,91.1125,8.5675,2.2934,7.3485,0.125,5
6,4.0,2.9008,3.9957,3.9763,3.6757,1.1619,1.0408,1.9915,2.8662,4.7527,141.0335,1.255,1.0333,17.8451,94.2482,8.4828,2.2841,7.3435,0.1413,5
7,3.9999,2.9009,3.9697,3.9171,3.9991,1.0078,1.0192,1.092,2.991,4.6113,150.4318,1.2389,0.9807,18.1172,92.7419,10.1389,2.2727,7.0806,0.1446,6
8,3.9999,2.9009,3.9697,3.9192,3.9991,1.0078,1.0192,1.0833,2.991,4.6117,150.4331,1.239,0.9806,18.1163,92.7408,10.1482,2.2728,7.0864,0.1446,6
9,3.9959,2.9008,3.9559,3.9883,3.8183,1.0288,1.0402,1.0927,2.9857,4.637,145.1042,1.2375,0.9768,18.1177,93.8933,10.1399,2.2712,7.3153,0.1441,6
10,3.9999,2.9009,3.9695,3.9181,3.8195,1.0077,1.0192,1.0831,2.9853,4.6096,145.2913,1.2357,0.9728,18.1599,93.9835,10.087,2.2717,7.1107,0.146,6
11,3.9999,2.9009,3.9825,3.9181,3.9999,1.0077,1.0192,1.0653,3.1839,4.7703,150.4052,1.1972,0.98,18.1102,92.6953,10.1602,2.2428,7.0821,0.1432,5
12,3.9999,2.9009,3.9005,3.9348,3.9999,1.0077,1.0192,1.0653,3.1864,4.748,150.1639,1.192,0.9812,18.3347,92.6877,10.1749,2.2415,7.1302,0.1429,5
13,3.9999,2.9023,1.5137,3.9983,3.9999,1.0265,3.1011,1.0851,3.1862,4.1652,150.3741,1.1371,1.1889,12.9248,90.0658,10.3071,2.2334,7.2277,0.1413,4
