Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
2,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
3,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
4,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
5,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
6,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
7,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
8,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
9,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.1254,79.3665,0.992,0.5515,19.5059,85.3374,12.0054,1.4071,3.7013,0.3286,3
10,2.5817,2.2783,3.9943,3.3543,3.1197,3.2743,2.1793,3.2309,3.4739,5.4539,78.881,1.0663,1.3544,14.6009,81.9854,5.2511,2.1325,5.9344,0.1953,3
11,2.5817,2.2783,3.9943,3.3543,3.1197,3.2743,2.1793,3.2309,3.4739,5.4539,78.881,1.0663,1.3544,14.6009,81.9854,5.2511,2.1325,5.9344,0.1953,3
12,2.611,2.1182,3.1291,2.5,3.298,3.4412,2.0514,2.9914,3.3824,4.3038,77.4483,0.9978,1.225,17.8989,77.7489,6.4527,1.8224,4.5528,0.2154,1
13,2.611,2.1182,3.1291,2.5,3.298,3.4412,2.0514,2.9914,3.3824,4.3038,77.4483,0.9978,1.225,17.8989,77.7489,6.4527,1.8224,4.5528,0.2154,1
14,2.611,2.1182,3.1291,2.5,3.298,3.4412,2.0514,2.9914,3.3824,4.3038,77.4483,0.9978,1.225,17.8989,77.7489,6.4527,1.8224,4.5528,0.2154,1
15,3.85,1.5771,1.7859,3.5985,1.9273,3.5841,1.0874,1.9874,2.4181,3.2038,84.2383,1.1117,0.8286,22.2675,82.8802,9.4214,2.3383,6.5423,0.2152,4
16,3.85,1.5771,1.7859,3.5985,1.9273,3.5841,1.0874,1.9874,2.4181,3.2038,84.2383,1.1117,0.8286,22.2675,82.8802,9.4214,2.3383,6.5423,0.2152,4
17,3.85,1.5771,1.7859,3.5985,1.9273,3.5841,1.0874,1.9874,2.4181,3.2038,84.2383,1.1117,0.8286,22.2675,82.8802,9.4214,2.3383,6.5423,0.2152,4
18,3.1877,3.3019,2.613,3.8191,2.6165,2.5068,3.0827,3.3131,2.0969,5.193,82.26,1.2988,1.9159,11.102,83.3081,4.9567,2.4242,7.0353,0.2051,6
19,3.3321,2.5,2.5,2.5,2.6823,3.6227,2.5,2.5,1.68,3.2632,78.2982,1.171,1.088,16.6802,85.7447,8.0734,2.0945,4.4047,0.226,2
20,4.0,2.1389,3.8722,1.736,2.3909,1.3847,1.6117,1.0132,1.585,3.4006,89.6115,1.1441,0.5773,18.6631,86.888,11.6477,1.7828,4.0266,0.2919,4
21,4.0,2.1389,3.8722,1.736,2.3909,1.3847,1.6117,1.0132,1.585,3.4006,89.6115,1.1441,0.5773,18.6631,86.888,11.6477,1.7828,4.0266,0.2919,4
22,4.0,2.1389,3.8722,1.736,2.3909,1.3847,1.6117,1.0132,1.585,3.4006,89.6115,1.1441,0.5773,18.6631,86.888,11.6477,1.7828,4.0266,0.2919,4
23,3.9706,1.9657,1.5905,1.3208,2.0073,1.9657,2.6154,2.9935,3.9858,5.3475,78.8192,0.5104,0.9086,17.114,82.6418,6.7564,1.2933,4.0293,0.332,3
24,3.9706,1.9657,1.5905,1.3208,2.0073,1.9657,2.6154,2.9935,3.9858,5.3475,78.8192,0.5104,0.9086,17.114,82.6418,6.7564,1.2933,4.0293,0.332,3
