Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,3.0,2.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,3.5005,120.0879,1.1572,1.142,14.0103,72.7356,11.3152,2.2843,7.0719,0.1645,3
2,1.0405,2.0,1.0,4.0,3.8024,3.0,1.1026,1.0,3.395,3.6482,82.1172,1.1141,1.3449,22.3618,76.4052,12.4888,2.2811,7.2824,0.1183,4
3,1.0195,1.0015,1.0312,3.9799,3.783,3.0,1.1026,1.0,3.4042,3.5015,81.4324,1.097,1.396,22.4982,90.2369,12.4891,2.2859,7.4696,0.1198,5
4,1.986,3.0075,3.9515,4.0,2.9496,1.8452,1.0174,2.0,1.0,4.0032,65.0767,1.5232,1.5016,18.0263,94.8443,10.5951,2.649,7.4972,0.1011,5
5,1.0611,3.0075,3.9515,4.0,2.953,1.8452,1.0174,2.0,1.0,3.9797,56.7622,1.5619,1.6648,18.05,94.8049,11.0188,2.6733,7.5385,0.1209,6
6,2.9926,2.8892,1.0392,3.9861,3.9138,1.0012,1.1455,1.2329,3.9679,5.6647,115.8545,0.7602,1.1799,22.0394,93.5602,10.8949,2.1533,7.3751,0.1592,6
7,1.0499,2.9903,2.0681,3.8671,3.9165,1.0785,3.0831,1.0022,1.0001,3.2146,87.1004,1.517,1.8,12.772,88.9726,12.4709,2.6783,7.0313,0.1465,6
8,1.4466,3.2365,1.096,3.928,3.9555,4.0,1.0276,1.4092,1.9771,3.8807,89.0452,1.3817,1.8127,21.6347,68.9048,11.8479,2.5934,7.1969,0.0907,6
9,1.0889,2.9264,1.1932,4.0,3.9781,3.0,1.3346,2.9326,2.0028,4.0804,87.6697,1.3656,1.841,20.7415,89.4835,7.4684,2.5209,7.3299,0.1046,6
10,1.0957,1.3787,1.0171,3.9691,3.5444,3.1831,1.0607,1.1401,3.657,4.2344,74.0198,0.9692,1.3564,22.5871,83.4318,12.3258,2.248,7.4082,0.11,4
11,1.0108,2.7555,3.9718,3.8133,3.4861,1.0226,1.0453,1.1219,1.0073,3.6717,73.9165,1.5434,1.4814,18.3433,93.7656,12.2383,2.6718,7.0607,0.1045,5
12,1.0108,2.7555,3.9718,3.8133,3.4861,1.0226,1.0453,1.1219,1.0073,3.6717,73.9165,1.5434,1.4814,18.3433,93.7656,12.2383,2.6718,7.0607,0.1045,5
13,1.1725,2.9535,3.903,3.8735,3.8851,1.0134,1.1286,1.0646,1.0568,3.8072,86.9184,1.5468,1.5578,18.2132,92.1083,12.2805,2.6741,7.1478,0.0857,6
14,1.0107,2.9996,3.9718,3.9425,3.4861,3.112,1.1941,1.2329,1.0084,3.8055,73.5878,1.5739,1.6479,17.8304,93.1399,12.2366,2.706,6.9899,0.0888,5
15,1.0107,2.9996,3.9718,3.9425,3.4861,3.112,1.1941,1.2329,1.0084,3.8055,73.5878,1.5739,1.6479,17.8304,93.1399,12.2366,2.706,6.9899,0.0888,5
16,1.0027,3.1068,3.5959,3.8742,3.9344,1.0213,1.0984,1.0228,3.9511,6.4694,85.9578,0.9293,1.6661,19.1854,90.9092,12.3168,2.2127,7.1426,0.0772,6
17,3.9456,3.9282,3.8037,3.9907,3.9647,2.9912,1.0006,1.0065,3.7465,6.8889,146.6844,0.9751,1.6402,17.868,29.9823,10.194,2.2287,7.1987,0.2198,5
18,3.9316,2.8478,3.9742,3.9911,1.0496,1.0216,1.0963,1.0065,1.0041,3.8738,80.5462,1.4118,0.9168,18.2159,103.2591,11.375,2.5933,7.6095,0.171,6
19,1.0603,1.3575,1.45,3.9905,3.7652,1.0031,1.2156,1.1952,1.0211,2.2972,81.4729,1.399,1.3117,22.1131,82.8504,12.3338,2.6609,7.8795,0.1956,7
20,1.0603,3.1844,1.45,3.8208,3.7652,1.0031,1.2156,1.2045,3.9876,5.7405,80.438,0.8377,1.6858,21.8859,90.0223,12.0461,2.2092,7.0342,0.1028,5
21,1.0603,3.1844,1.4384,3.8208,3.7652,1.2043,1.2156,1.2045,1.0517,2.944,81.3239,1.4864,1.6913,21.69,88.205,12.1158,2.6845,7.0123,0.1388,6
22,3.9885,2.888,3.8497,3.9646,3.9923,1.2316,1.2327,1.0439,1.8801,4.5891,149.5797,1.309,0.9617,18.0621,91.3965,10.2395,2.4519,7.1878,0.148,6
23,1.0022,3.3437,3.9239,3.9955,3.9008,1.1112,1.03,1.1589,1.0406,4.1481,86.8317,1.5863,1.827,17.9339,79.422,12.3315,2.7031,7.5414,0.0572,7
24,1.019,2.888,1.4211,3.9648,3.9923,1.2316,1.3105,1.0439,1.8604,3.5177,87.7989,1.3676,1.5404,21.5345,91.5264,12.4634,2.5376,7.3646,0.1038,6
25,3.9731,3.6187,3.906,3.9847,3.9843,1.3058,1.1409,1.2306,1.0074,4.4511,149.1958,1.4677,1.4091,17.5519,57.945,10.0488,2.6438,7.3856,0.1167,5
26,3.9902,3.6374,3.906,3.9847,3.9843,1.3241,1.0572,1.2191,1.004,4.4638,149.7566,1.4683,1.4244,17.6432,56.2242,10.0489,2.6451,7.389,0.1209,5
27,1.095,3.6282,3.906,3.9847,3.9905,3.9554,1.1533,1.8046,1.0074,4.4242,88.9827,1.6107,2.1363,17.3062,42.462,11.2613,2.7867,7.4997,0.1632,6
28,1.0329,2.6628,3.9238,3.9554,3.9892,1.117,1.2086,1.0267,1.0713,3.6831,89.275,1.5327,1.4516,18.0854,88.5317,12.4849,2.6653,7.3816,0.1005,6
29,3.9996,3.7103,3.9215,3.966,3.9999,1.2309,1.1117,1.1841,1.9926,5.393,150.4174,1.3375,1.4558,17.4805,50.0296,10.0369,2.4795,7.3819,0.1363,6
30,3.9996,3.729,3.9215,3.966,3.9999,1.026,1.1117,1.1693,1.9926,5.4172,150.4249,1.337,1.4656,17.4678,48.6166,10.05,2.4825,7.425,0.141,6
31,3.9992,3.6702,3.9277,3.966,3.9345,1.0005,1.1117,1.1693,1.9926,5.3616,148.6213,1.3368,1.4269,17.5151,54.5113,10.0294,2.4785,7.4068,0.1215,6
32,3.7314,3.6702,3.944,3.9713,3.9345,1.001,1.1117,1.1693,3.8484,7.0305,140.0098,0.9254,1.4802,17.667,55.3634,10.1772,2.1921,7.4381,0.1372,5
33,3.9995,3.5849,3.9277,3.9731,3.9316,1.0051,1.0522,1.3303,1.9926,5.2924,148.6003,1.3381,1.3865,17.6312,62.0078,9.8523,2.4727,7.3936,0.0997,5
34,3.9995,3.5849,3.9277,3.9731,3.9316,3.9302,1.1108,1.3305,2.0913,5.3178,147.9374,1.35,1.4933,17.3773,47.9127,9.8898,2.5187,7.2272,0.1426,5
35,1.0311,3.1822,3.9543,3.9937,3.9685,1.1487,1.2062,1.417,3.8351,6.5411,88.0486,1.0433,1.72,17.8585,87.6075,11.9775,2.2356,7.489,0.0435,7
36,3.9992,3.6239,3.9613,3.9677,3.9558,3.6835,1.3853,1.4088,1.0144,4.4452,148.5908,1.4781,1.4797,16.8201,50.5626,9.8116,2.6927,7.098,0.1389,3
37,1.0042,1.0106,3.9977,3.9987,3.7642,1.2261,1.4667,3.9804,1.1271,4.5322,83.1288,1.4582,2.0029,15.8335,86.2091,4.484,2.641,8.6476,0.1879,6
38,3.734,1.3207,3.7594,3.9935,3.8217,1.2909,1.1259,1.0045,1.1363,3.3151,137.0106,1.326,0.7924,18.9001,82.7601,10.4749,2.5646,7.6802,0.2104,7
39,3.7874,2.8108,3.9827,3.766,3.8737,1.4308,1.1811,1.122,1.0942,3.7764,140.4929,1.4129,0.96,17.9853,91.1464,10.1246,2.5796,6.6316,0.1709,6
40,1.021,1.0008,1.1155,3.9348,3.9731,1.0069,3.912,1.0324,3.8467,5.599,92.7365,0.9155,2.0118,8.4816,88.1497,12.5227,2.2002,7.5649,0.1848,7
41,3.9467,2.8914,3.979,3.9052,1.2206,1.0079,1.0128,1.4156,3.8467,6.4089,81.2633,0.8591,0.9473,18.4888,104.4532,10.7903,2.1286,7.3583,0.1755,6
42,1.0139,3.6304,3.9238,3.9929,3.9901,1.0657,1.2973,1.3963,1.0392,4.4369,89.1593,1.5897,1.9929,17.2915,57.2241,12.0477,2.7203,7.6387,0.1048,7
