Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y,Fitness,Nc
1,1.5443,4.0,3.7332,1.5067,2.6396,2.4597,3.6327,4.0,4.0,8.7509,42.2249,0.8027,3.1989,4.8619,26.5545,5.3853,1.485,4.5951,0.5482,0.4384,2
2,2.0777,1.5918,2.151,3.1241,3.8806,1.0089,2.1002,2.1494,1.7435,2.9201,90.2611,1.2042,1.1111,19.2759,77.5946,9.5282,2.3286,5.7389,0.1669,0.1978,4
3,1.6628,1.1001,1.8848,2.1477,2.2277,1.3195,3.0295,3.5686,2.3541,3.9286,31.0863,1.1352,1.7829,13.4769,92.7321,6.2989,1.8375,5.1616,0.2276,0.2813,2
4,1.5967,1.3453,1.9858,1.4812,2.0143,1.3447,3.4027,3.0951,3.6135,4.6675,25.6693,0.8827,1.7667,11.5804,89.4401,8.3501,1.4428,4.5296,0.2573,0.317,2
5,2.1076,3.9313,4.0,3.7676,4.0,1.8005,2.7922,3.8994,3.8806,8.6133,100.3313,0.9693,2.6842,8.9484,23.4556,3.8093,2.2224,7.5581,0.4061,0.3573,5
6,1.2045,3.9776,1.4986,1.3994,1.6079,1.3187,3.8129,2.4647,1.2931,4.3141,19.5763,1.3678,2.7732,8.3997,35.1892,10.9862,1.9047,4.3468,0.3672,0.3871,3
7,1.8782,3.9431,3.5394,1.8075,3.3166,2.6762,3.4538,2.1141,2.8969,5.3374,66.4591,1.266,2.4217,7.9727,31.202,10.6844,1.719,3.9019,0.2846,0.3235,4
8,2.9142,2.3202,1.4759,3.5175,3.6596,1.1832,1.4104,3.6509,3.9504,6.017,104.6095,0.7017,1.4414,20.6748,81.7968,3.4267,2.0778,6.7802,0.2312,0.266,5
9,1.42,1.3666,1.8223,3.9137,1.9809,2.0986,2.3476,3.3879,3.954,5.8072,31.1946,0.7356,1.5997,17.3456,86.9844,6.5819,2.1435,7.9614,0.1991,0.2684,5
10,3.4752,3.599,3.3963,3.1096,2.6688,3.9673,3.9481,3.1808,1.9996,6.0678,93.7427,1.3396,2.5246,4.3328,50.4293,4.8736,2.3509,5.5955,0.3374,0.3375,5
11,3.1729,3.7133,1.888,3.3327,1.1526,2.0155,3.7546,2.4677,1.7795,4.8322,58.7934,1.3031,2.2468,8.1508,57.7559,8.4209,2.4059,5.9305,0.2325,0.2353,3
12,1.7573,2.9422,2.3991,1.2411,2.5212,1.7581,3.0671,3.0924,1.6557,3.7791,37.9167,1.2625,1.8364,12.8541,95.8905,7.9726,1.733,3.9687,0.2381,0.2754,3
13,2.9715,1.5021,3.117,1.884,2.0814,2.4402,1.4504,1.3991,3.8787,4.9147,49.8587,0.6557,0.8258,21.1339,88.8201,12.2377,1.4782,4.1171,0.2939,0.3144,3
14,3.4044,1.9762,3.3866,3.7444,3.9196,2.9769,3.2431,1.2575,2.7349,4.2213,130.3465,1.2207,1.1558,10.0277,72.7834,10.4193,2.2939,6.3134,0.2179,0.1916,4
15,3.4863,3.4867,3.0915,1.3662,1.0568,3.1747,1.4758,3.8173,1.8342,4.927,53.8712,1.1989,1.9023,18.5874,78.6957,4.6304,1.7408,4.2151,0.1884,0.2604,2
16,2.2549,2.2081,2.6981,3.8681,3.5564,3.4655,3.7068,1.6093,3.8655,5.9611,90.8222,0.884,1.7299,8.1914,75.9863,11.025,2.1809,6.7525,0.163,0.1977,5
17,1.069,2.1973,1.5455,1.461,2.6247,3.2549,3.4641,3.4141,3.0396,3.8559,36.9975,1.1418,2.0714,10.7799,82.5112,7.0889,1.5731,4.0022,0.2661,0.304,2
18,2.4333,3.5266,3.7992,2.7914,2.3581,1.9179,1.2811,2.0171,3.3717,5.1974,49.2902,1.1323,1.6284,18.6653,74.726,10.4001,1.9706,4.9886,0.1216,0.1753,3
19,1.6767,2.6696,1.7058,2.0854,1.4783,1.1482,2.9882,3.5835,1.5583,3.7438,19.0473,1.2358,1.8719,13.554,96.9709,6.5447,1.9597,4.8158,0.2523,0.3227,3
20,1.137,3.6708,1.2633,1.8972,2.8282,2.2199,1.5944,2.9289,3.482,4.825,40.2481,1.0429,2.1059,21.0371,59.507,8.2567,1.6574,4.2858,0.2428,0.255,2
21,1.9622,2.6024,1.6061,3.8922,3.7216,3.6679,3.7175,3.2385,3.6062,5.7296,91.9508,1.0739,2.2351,8.0318,78.8026,5.8478,2.2488,7.1161,0.2052,0.2273,4
22,2.6731,1.7706,2.4659,3.2287,2.0758,2.2212,2.8454,3.4097,3.9456,5.9628,50.9231,0.6718,1.4393,14.0195,80.1662,5.3352,1.9735,6.0913,0.2234,0.2665,1
23,1.855,2.2529,1.8001,3.4257,2.457,3.828,3.6406,1.5875,3.7834,5.2796,48.7371,0.9078,1.749,9.9381,75.6479,11.7793,2.1539,5.9648,0.1853,0.2203,4
24,2.6372,2.4496,2.8724,2.1343,3.3156,3.9956,2.4976,3.9415,3.3987,5.0612,77.2679,1.0023,1.7688,14.883,69.2053,4.0388,1.7149,4.7714,0.1818,0.2525,2
25,3.2992,1.7115,2.0448,2.7727,2.0326,1.656,2.5556,2.4614,2.0117,3.3083,64.217,1.0941,0.9183,17.099,83.0605,8.4729,2.0918,5.2041,0.1811,0.2342,3
26,3.3409,2.3327,2.4128,3.0295,3.8413,2.3007,1.4585,1.428,2.3599,3.316,119.2028,1.1568,0.8551,21.2578,80.2222,10.0135,2.1607,4.928,0.2251,0.2308,4
27,3.0044,3.1158,3.1702,3.8259,2.3639,1.8986,2.4234,1.5446,1.4174,3.904,68.5333,1.3502,1.2695,15.5868,94.5601,11.1313,2.5382,6.9244,0.1623,0.1285,4
28,1.0969,1.1832,2.2238,1.7816,3.0853,1.6321,2.1667,3.9327,2.3944,3.9716,48.1626,1.1451,1.8349,17.9544,87.0329,5.343,1.7317,4.9979,0.2,0.2483,3
29,2.7457,1.8011,2.6046,1.3968,3.2633,3.5,1.312,2.04,1.9788,2.9519,76.8205,1.1243,1.0027,21.7239,76.8549,10.4384,1.7115,3.7469,0.2169,0.2617,2
30,2.0318,1.1903,1.9725,1.6706,1.3847,1.1846,2.3637,3.6892,2.0094,3.7016,20.0704,1.1054,1.5466,17.6121,94.0644,6.3236,1.738,5.0189,0.2453,0.3179,2
31,2.6163,3.4765,1.1574,2.7189,2.4688,1.8917,3.1552,3.0921,1.5243,4.1405,57.5899,1.2822,2.041,12.3625,73.7729,6.459,2.2296,5.0141,0.2103,0.2188,3
32,1.2988,1.2777,2.9392,2.826,2.8532,1.2075,2.0322,1.2087,2.2446,3.363,46.4082,1.1937,1.153,19.1615,90.3895,12.3974,2.1469,5.419,0.2128,0.2286,4
33,3.3655,3.551,3.0498,1.2615,2.9568,2.6409,1.7199,1.4958,3.6253,5.2048,84.3582,0.9118,1.3682,19.6595,71.1754,11.1336,1.4289,3.4872,0.1922,0.2305,4
34,2.4551,1.1261,1.3147,1.001,2.7574,2.6757,2.2758,1.7835,2.5729,2.7301,54.957,1.0749,1.0056,19.6759,92.9343,11.7733,1.5383,3.8192,0.2769,0.2946,3
35,1.4267,2.3689,3.1254,1.5277,1.0192,1.1981,3.0097,1.1692,3.6009,4.7099,11.5123,0.9444,1.345,13.4375,93.1024,14.0265,1.4669,4.0706,0.3137,0.3578,2
36,3.6998,2.3532,2.2486,2.2272,3.9356,1.2991,1.3713,3.2951,2.8466,3.5631,128.2633,1.0616,1.111,20.955,81.6606,4.4035,1.7458,4.5125,0.2954,0.2797,3
