Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,9.0,9.0,9.0,9.0,9.0,5.0,9.0,9.0,9.0,4.4479,99.0071,5.6082,10.6171,93.0573,110.6189,2.4102,63.7158,13.2624,0.4776,3
2,9.0,6.981,8.9466,9.0,9.0,5.0,9.0,5.8327,9.0,14.5516,93.9459,16.4057,10.6619,332.0456,55.3946,2.7144,62.8026,3.9773,0.3859,4
3,8.9829,9.0,6.0002,9.0,8.9857,7.0188,9.0,5.0022,8.9846,5.5801,117.4058,26.0591,10.685,373.0946,49.0663,5.3507,33.8331,14.2441,0.3095,4
4,8.9829,9.0,6.0002,9.0,8.9857,7.1268,9.0,5.0022,8.9846,5.6658,117.4023,26.8311,10.6863,373.0946,49.0687,5.5538,33.8613,14.2483,0.3021,4
5,8.9734,8.8309,8.9174,8.8918,8.9967,6.9935,9.0,8.1122,8.9501,6.1153,99.4132,14.9285,9.6117,159.5119,87.5518,4.6627,60.6816,12.027,0.3443,3
6,8.9532,5.9229,7.0039,8.9656,8.3309,8.9806,8.1502,7.0137,8.9999,27.7665,52.1423,41.6479,18.3247,254.9275,51.5886,8.9902,44.2676,3.8365,0.2623,4
7,8.9217,9.0,8.793,8.9984,8.9999,8.8463,8.9957,6.1156,8.8237,6.5722,100.2739,38.1602,8.6389,299.7014,57.7573,10.2209,60.5555,13.5075,0.1642,5
8,8.9682,8.0418,6.0121,8.9999,8.9381,7.9596,8.996,6.0831,8.9572,11.8188,113.7927,31.3729,10.3806,301.3727,57.216,7.3363,33.9911,8.0444,0.2297,4
9,8.9217,9.0,6.0631,8.993,8.9998,8.8426,8.9962,6.9937,9.0,7.6922,115.8989,37.1856,11.0487,239.0306,68.0742,10.2212,34.6321,14.0693,0.1911,4
10,8.9217,9.0,6.0631,8.993,8.9998,8.8426,8.9962,6.9937,9.0,7.6922,115.8989,37.1856,11.0487,239.0306,68.0742,10.2212,34.6321,14.0693,0.1911,4
