Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,9.0,9.0,9.0,9.0,9.0,5.0,9.0,9.0,9.0,4.4479,99.0071,5.6082,10.6171,93.0573,110.6189,2.4102,63.7158,13.2624,0.4776,3
2,8.9798,8.0,7.0,6.0,7.0319,7.0,7.9434,6.0,9.0,11.584,58.9569,24.4582,9.9485,219.1825,31.0865,3.1279,18.2374,8.7922,0.3931,1
3,8.9691,8.0,7.0,6.0,7.3287,8.9689,7.9434,6.0,9.0,14.8685,57.0319,44.6671,10.0059,242.3618,31.1176,7.7384,18.9068,9.2089,0.2817,2
4,8.941,8.1698,7.9531,8.9733,8.071,9.0,8.0,7.0,8.9983,14.0348,46.7114,40.2879,19.6565,241.2755,49.4333,8.8537,54.2612,11.7065,0.1589,5
5,8.941,8.1698,7.9531,8.9733,8.071,9.0,8.0,7.0,8.9983,14.0348,46.7114,40.2879,19.6565,241.2755,49.4333,8.8537,54.2612,11.7065,0.1589,5
6,8.941,8.1698,7.9531,8.9733,8.071,9.0,8.0,7.0,8.9983,14.0348,46.7114,40.2879,19.6565,241.2755,49.4333,8.8537,54.2612,11.7065,0.1589,5
7,8.9243,8.017,6.0041,8.8967,8.9998,8.8574,8.0834,6.0028,8.9145,14.7738,49.7953,40.6664,17.2067,436.6505,40.0405,8.7603,37.1619,12.6,0.198,5
8,8.9243,8.017,6.0041,8.8967,8.9998,8.8574,8.0834,6.0028,8.9145,14.7738,49.7953,40.6664,17.2067,436.6505,40.0405,8.7603,37.1619,12.6,0.198,5
9,8.4617,8.9983,5.2125,8.9998,8.9692,8.7049,8.8942,5.0455,8.9294,7.2711,107.4168,41.8042,11.9956,270.2185,45.7975,9.8581,29.7598,13.4896,0.2069,4
10,8.4617,8.9983,5.2125,8.9998,8.9692,8.7049,8.8942,5.0455,8.9294,7.2711,107.4168,41.8042,11.9956,270.2185,45.7975,9.8581,29.7598,13.4896,0.2069,4
11,8.9752,8.9983,5.2125,8.9998,8.9603,8.9085,8.8942,5.0368,8.993,7.8791,110.5298,45.9653,11.7813,381.994,47.2437,10.6524,31.325,15.0609,0.1872,5
12,8.9241,8.0105,5.8353,8.7722,8.9752,8.9088,8.0902,5.2917,8.8476,14.3898,51.0669,42.7325,15.429,478.5605,34.6393,9.0311,34.3808,12.4658,0.2056,4
13,8.9241,8.0105,5.8353,8.7722,8.9752,8.9088,8.0902,5.2917,8.8476,14.3898,51.0669,42.7325,15.429,478.5605,34.6393,9.0311,34.3808,12.4658,0.2056,4
