Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,9.0,9.0,9.0,9.0,9.0,5.0,9.0,9.0,9.0,4.4479,99.0071,5.6082,10.6171,93.0573,110.6189,2.4102,63.7158,13.2624,0.4776,3
2,8.0,7.0245,8.0173,8.0515,9.0,8.8868,5.0575,5.0195,7.8905,16.7444,1.6819,27.971,17.3168,566.9242,7.7919,5.9701,46.3082,14.5916,0.4743,4
3,8.0,7.0229,8.0173,8.0894,9.0,8.962,6.8395,5.0195,7.8905,15.3696,7.0546,29.5523,10.0317,422.7511,16.2731,7.525,42.1135,9.7288,0.4136,2
4,8.0,7.8486,8.0372,8.0515,9.0,8.8866,6.0002,5.0195,7.8905,11.4926,1.3702,27.6699,13.6883,499.879,11.4062,6.5665,44.3773,16.8465,0.4563,4
5,7.9384,7.9833,5.1013,8.0933,8.6658,8.8858,6.9497,5.0002,8.9937,17.1109,14.751,45.3641,26.8943,346.4857,17.9174,7.1725,25.87,13.8461,0.3955,4
6,8.0007,7.7571,5.0068,8.2168,8.9909,8.9197,7.1304,5.0011,8.9807,18.7101,16.7659,45.6179,25.6513,393.7621,19.6884,7.537,26.6603,12.7339,0.3779,4
7,8.1291,6.2697,5.994,8.8886,8.9903,8.9903,8.0548,5.1221,8.8973,25.8616,42.837,46.9135,19.2197,309.4643,31.7714,9.2667,35.053,4.4179,0.2935,3
8,8.0007,7.7571,5.0068,8.2168,8.9909,8.9197,7.1304,5.0011,8.9807,18.7101,16.7659,45.6179,25.6513,393.7621,19.6884,7.537,26.6603,12.7339,0.3779,4
9,8.3235,7.7432,5.989,8.9791,8.9908,8.8454,7.0562,5.0051,8.9805,18.6423,13.8976,44.7409,29.9521,473.3461,21.6789,7.5124,40.8639,14.0508,0.3479,4
10,8.9278,7.1332,6.0219,8.9023,8.992,8.7946,8.809,8.9894,8.9726,19.5862,93.7486,25.265,11.8272,97.8855,103.1807,8.9863,34.1235,5.2148,0.3399,3
11,8.9278,7.1332,6.0219,8.9023,8.992,8.7946,8.809,8.9894,8.9726,19.5862,93.7486,25.265,11.8272,97.8855,103.1807,8.9863,34.1235,5.2148,0.3399,3
12,8.0308,6.0335,5.9394,8.9139,8.7769,8.8384,8.0341,5.4389,8.9814,27.4044,43.0919,45.6217,21.3772,249.367,33.2898,8.5764,34.9026,3.6344,0.3111,3
13,8.9278,8.8936,8.5568,8.9023,8.9991,8.8036,8.6667,8.9238,8.9804,8.4719,75.5727,24.372,13.0122,116.608,98.6084,8.6626,58.4349,14.5805,0.2492,3
14,8.9278,8.8187,8.5568,8.9015,8.9986,8.9584,8.6667,8.9794,8.9804,9.1848,75.317,25.7551,13.0108,111.8396,100.1152,9.2344,58.5053,13.9924,0.2412,3
15,8.9278,8.8936,8.5568,8.9023,8.9991,8.8036,8.6667,8.9238,8.9804,8.4719,75.5727,24.372,13.0122,116.608,98.6084,8.6626,58.4349,14.5805,0.2492,3
16,8.9278,8.8936,8.5568,8.9023,8.9991,8.8036,8.6667,8.9238,8.9804,8.4719,75.5727,24.372,13.0122,116.608,98.6084,8.6626,58.4349,14.5805,0.2492,3
17,8.9278,8.8936,8.5568,8.9023,8.9991,8.8036,8.6667,8.9238,8.9804,8.4719,75.5727,24.372,13.0122,116.608,98.6084,8.6626,58.4349,14.5805,0.2492,3
18,8.9227,8.9647,8.9801,8.8951,5.1149,8.9527,8.9109,5.0189,8.9721,6.5159,124.1967,49.3328,10.7486,73.1976,47.1242,10.4136,58.601,8.4673,0.2684,4
19,8.9227,8.9647,8.9801,8.8951,5.1149,8.9527,8.9109,5.0189,8.9721,6.5159,124.1967,49.3328,10.7486,73.1976,47.1242,10.4136,58.601,8.4673,0.2684,4
20,8.9227,8.9647,8.9801,8.8951,5.1149,8.9527,8.9109,5.0189,8.9721,6.5159,124.1967,49.3328,10.7486,73.1976,47.1242,10.4136,58.601,8.4673,0.2684,4
21,8.9227,8.9647,8.9801,8.8951,5.1149,8.9527,8.9109,5.0189,8.9721,6.5159,124.1967,49.3328,10.7486,73.1976,47.1242,10.4136,58.601,8.4673,0.2684,4
22,8.9227,8.9647,8.9801,8.8951,5.1149,8.9527,8.9109,5.0189,8.9721,6.5159,124.1967,49.3328,10.7486,73.1976,47.1242,10.4136,58.601,8.4673,0.2684,4
23,8.9227,8.9647,8.9801,8.8951,5.1149,8.9527,8.9109,5.0189,8.9721,6.5159,124.1967,49.3328,10.7486,73.1976,47.1242,10.4136,58.601,8.4673,0.2684,4
24,8.9813,8.9647,8.9801,8.941,5.1149,8.9527,8.9109,5.0015,8.9721,6.5129,124.4329,49.4055,10.807,80.1415,47.3719,10.4433,59.5691,8.6323,0.2584,4
25,8.9813,8.9647,8.9801,8.941,5.1149,8.9527,8.9109,5.0015,8.9721,6.5129,124.4329,49.4055,10.807,80.1415,47.3719,10.4433,59.5691,8.6323,0.2584,4
26,8.9813,8.9647,8.9801,8.941,5.1149,8.9527,8.9109,5.0015,8.9721,6.5129,124.4329,49.4055,10.807,80.1415,47.3719,10.4433,59.5691,8.6323,0.2584,4
27,8.9813,8.9647,8.9801,8.941,5.1149,8.9527,8.9109,5.0015,8.9721,6.5129,124.4329,49.4055,10.807,80.1415,47.3719,10.4433,59.5691,8.6323,0.2584,4
28,8.9813,8.9647,8.9801,8.941,5.1149,8.9527,8.9109,5.0015,8.9721,6.5129,124.4329,49.4055,10.807,80.1415,47.3719,10.4433,59.5691,8.6323,0.2584,4
29,8.9813,8.9647,8.9801,8.941,5.1149,8.9527,8.9109,5.0015,8.9721,6.5129,124.4329,49.4055,10.807,80.1415,47.3719,10.4433,59.5691,8.6323,0.2584,4
30,8.9813,8.9647,8.9801,8.941,5.1149,8.9527,8.9109,5.0015,8.9721,6.5129,124.4329,49.4055,10.807,80.1415,47.3719,10.4433,59.5691,8.6323,0.2584,4
31,8.9813,8.9647,8.9801,8.941,5.1149,8.9527,8.9109,5.0015,8.9721,6.5129,124.4329,49.4055,10.807,80.1415,47.3719,10.4433,59.5691,8.6323,0.2584,4
32,8.9369,8.1414,8.9897,8.9952,8.9999,8.9989,8.9689,8.9587,8.9805,13.0685,93.0356,27.2603,10.7802,90.1608,108.0964,9.9315,64.7805,8.0238,0.2637,3
33,8.9369,8.1414,8.9897,8.9952,8.9999,8.9989,8.9689,8.9587,8.9805,13.0685,93.0356,27.2603,10.7802,90.1608,108.0964,9.9315,64.7805,8.0238,0.2637,3
34,8.9369,8.1414,8.9897,8.9982,8.9998,8.9998,8.9689,8.9587,8.9928,13.1602,93.0268,27.458,10.9649,90.1585,108.1476,9.9305,64.8965,8.025,0.2623,3
35,8.9369,8.1414,8.9897,8.9982,8.9998,8.9998,8.9689,8.9587,8.9928,13.1602,93.0268,27.458,10.9649,90.1585,108.1476,9.9305,64.8965,8.025,0.2623,3
36,8.9101,8.1414,8.9897,8.9983,8.9899,8.9989,8.9689,8.9586,8.9801,13.0605,92.9973,27.2657,10.8463,86.1409,107.9981,9.9334,64.7122,7.9433,0.2686,3
37,8.9186,8.949,5.9016,8.995,8.9874,8.9782,8.5414,8.8857,8.9801,8.7585,79.0761,26.4896,14.7404,127.9502,94.5597,9.4218,36.062,16.478,0.2658,4
38,8.9186,8.949,5.9016,8.995,8.9874,8.9782,8.5414,8.8857,8.9801,8.7585,79.0761,26.4896,14.7404,127.9502,94.5597,9.4218,36.062,16.478,0.2658,4
39,8.9186,8.949,5.9016,8.995,8.9874,8.9782,8.5414,8.8857,8.9801,8.7585,79.0761,26.4896,14.7404,127.9502,94.5597,9.4218,36.062,16.478,0.2658,4
40,8.9186,8.949,5.9016,8.995,8.9874,8.9782,8.5414,8.8857,8.9801,8.7585,79.0761,26.4896,14.7404,127.9502,94.5597,9.4218,36.062,16.478,0.2658,4
41,8.9186,8.949,5.9016,8.995,8.9874,8.9782,8.5414,8.8857,8.9801,8.7585,79.0761,26.4896,14.7404,127.9502,94.5597,9.4218,36.062,16.478,0.2658,4
