Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,9.0,9.0,9.0,9.0,9.0,5.0,9.0,9.0,9.0,4.4479,99.0071,5.6082,10.6171,93.0573,110.6189,2.4102,63.7158,13.2624,0.4776,3
2,9.0,8.0,5.0,7.0078,8.9855,7.0,8.879,5.213,8.976,11.1958,111.0305,25.661,5.7487,384.5688,41.5156,4.47,13.8526,8.0262,0.4017,4
3,8.9983,5.9047,6.0912,8.8456,9.0,8.9371,7.0467,7.9803,7.9373,20.9599,13.3939,19.7567,10.3473,383.8236,47.4732,7.6254,37.9269,8.1408,0.3823,3
4,8.9545,6.191,6.0636,8.9051,8.9442,9.0,8.1896,8.0,8.8111,25.1529,52.2222,32.0253,14.5483,243.7101,66.4642,9.0498,36.8287,5.0097,0.272,4
5,9.0,8.9501,8.9093,8.9976,8.9613,8.7569,8.8301,7.1388,9.0,7.8437,86.3521,35.2157,12.1396,259.6778,67.208,9.2475,64.5778,14.2419,0.117,5
6,8.9432,8.9501,8.9093,8.9976,8.9613,8.8127,8.8301,7.1615,8.9948,7.8997,86.0338,35.7186,12.1983,246.2053,67.3386,9.4603,64.3677,14.06,0.1118,5
7,8.9432,8.9501,8.9093,8.9976,8.9613,8.8127,8.8301,7.1615,8.9948,7.8997,86.0338,35.7186,12.1983,246.2053,67.3386,9.4603,64.3677,14.06,0.1118,5
8,8.9432,8.9501,8.9093,8.9976,8.9613,8.8127,8.8301,7.1615,8.9948,7.8997,86.0338,35.7186,12.1983,246.2053,67.3386,9.4603,64.3677,14.06,0.1118,5
9,8.9537,8.9498,8.9648,8.9114,8.9549,8.9694,8.7395,5.0218,8.877,7.5642,79.4352,44.5047,10.9062,400.5544,44.2065,10.2611,63.9013,14.7345,0.0902,5
10,8.9537,8.9874,8.9824,8.9114,8.9549,8.9694,8.7511,5.1276,8.877,7.3308,80.2785,44.1491,10.8112,393.504,45.0612,10.2722,64.1119,14.9577,0.0987,5
11,8.9537,8.9874,8.9824,8.9114,8.9549,8.9694,8.7511,5.1276,8.877,7.3308,80.2785,44.1491,10.8112,393.504,45.0612,10.2722,64.1119,14.9577,0.0987,5
12,8.9537,8.9874,8.9824,8.9114,8.9549,8.9694,8.7511,5.1276,8.877,7.3308,80.2785,44.1491,10.8112,393.504,45.0612,10.2722,64.1119,14.9577,0.0987,5
13,8.9537,8.9874,8.9824,8.9114,8.9549,8.9694,8.7511,5.1276,8.877,7.3308,80.2785,44.1491,10.8112,393.504,45.0612,10.2722,64.1119,14.9577,0.0987,5
14,8.9178,8.9051,8.9835,8.9945,8.8921,8.9962,8.7853,5.2482,8.9978,8.4526,82.8086,46.7608,12.6951,362.4073,46.8764,10.4182,65.718,13.8454,0.0523,7
15,8.9178,8.9051,8.9835,8.9945,8.8921,8.9962,8.7853,5.2482,8.9978,8.4526,82.8086,46.7608,12.6951,362.4073,46.8764,10.4182,65.718,13.8454,0.0523,7
16,8.9178,8.9051,8.9835,8.9945,8.8921,8.9962,8.7853,5.2482,8.9978,8.4526,82.8086,46.7608,12.6951,362.4073,46.8764,10.4182,65.718,13.8454,0.0523,7
17,8.9178,8.9051,8.9998,8.9945,8.4137,8.9962,8.7853,5.2272,8.9978,8.2047,87.8706,47.3945,12.6816,292.9663,46.7071,10.4081,65.1408,12.787,0.06,7
18,8.9178,8.9051,8.9998,8.9945,8.4137,8.9962,8.7853,5.2272,8.9978,8.2047,87.8706,47.3945,12.6816,292.9663,46.7071,10.4081,65.1408,12.787,0.06,7
19,8.9178,8.9051,8.9998,8.9945,8.4137,8.9962,8.7853,5.2272,8.9978,8.2047,87.8706,47.3945,12.6816,292.9663,46.7071,10.4081,65.1408,12.787,0.06,7
20,8.9178,8.9051,8.9998,8.9945,8.4137,8.9962,8.7853,5.2272,8.9978,8.2047,87.8706,47.3945,12.6816,292.9663,46.7071,10.4081,65.1408,12.787,0.06,7
21,8.9993,8.9989,8.9999,8.9945,8.946,8.9962,8.7853,5.2252,8.9978,7.9051,82.8457,46.6403,12.4988,393.2675,46.9821,10.4272,66.4061,14.9958,0.0705,7
22,8.9993,8.9989,8.9999,8.9945,8.9376,8.9962,8.7853,5.1877,8.9978,7.9002,82.944,46.7721,12.4988,393.8044,46.7366,10.4314,66.3899,14.9766,0.0705,7
23,8.9993,8.9989,8.9999,8.9945,8.9376,8.9962,8.7853,5.1877,8.9978,7.9002,82.944,46.7721,12.4988,393.8044,46.7366,10.4314,66.3899,14.9766,0.0705,7
24,8.9993,8.9989,8.9999,8.9945,8.9376,8.9962,8.7853,5.1877,8.9978,7.9002,82.944,46.7721,12.4988,393.8044,46.7366,10.4314,66.3899,14.9766,0.0705,7
25,8.9998,8.9604,8.9999,8.9999,8.9567,8.9971,8.9696,5.0464,8.9974,7.8948,97.3623,47.4502,10.9316,375.1,49.3026,10.8261,65.2201,13.506,0.0763,6
26,8.9998,8.9604,8.9999,8.9999,8.9567,8.9971,8.9696,5.0464,8.9974,7.8948,97.3623,47.4502,10.9316,375.1,49.3026,10.8261,65.2201,13.506,0.0763,6
27,8.9998,8.9604,8.9999,8.9999,8.9567,8.9971,8.9696,5.0464,8.9974,7.8948,97.3623,47.4502,10.9316,375.1,49.3026,10.8261,65.2201,13.506,0.0763,6
28,8.9998,8.9604,8.9999,8.9999,8.9567,8.9971,8.9696,5.0464,8.9974,7.8948,97.3623,47.4502,10.9316,375.1,49.3026,10.8261,65.2201,13.506,0.0763,6
29,8.9998,8.9604,8.9999,8.9999,8.9567,8.9971,8.9696,5.0464,8.9974,7.8948,97.3623,47.4502,10.9316,375.1,49.3026,10.8261,65.2201,13.506,0.0763,6
