Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,8.4043,5,5,7.6037,9,8.3414,8.6707,6.0786,5,8.6016,83.3567,6.4303,4.9495,238.6268,39.7972,8.351,11.1929,1.4716,0.5328,1
2,8.4043,5,5,7.6037,9,8.3414,8.6707,6.0786,5,8.6016,83.3567,6.4303,4.9495,238.6268,39.7972,8.351,11.1929,1.4716,0.5328,1
3,8.2283,6.9742,6.243,8.671,7.9711,8.6974,7.6114,5,7.1524,10.0586,33.0838,20.7285,2.9258,246.2931,23.6557,8.0955,29.3366,6.3328,0.4552,2
4,8.2283,6.9742,6.243,8.671,7.9711,8.6974,7.6114,5,7.1524,10.0586,33.0838,20.7285,2.9258,246.2931,23.6557,8.0955,29.3366,6.3328,0.4552,2
5,8.2283,6.9742,6.243,8.671,7.9711,8.6974,7.6114,5,7.1524,10.0586,33.0838,20.7285,2.9258,246.2931,23.6557,8.0955,29.3366,6.3328,0.4552,2
6,8.2283,6.9742,6.243,8.671,7.9711,8.6974,7.6114,5,7.1524,10.0586,33.0838,20.7285,2.9258,246.2931,23.6557,8.0955,29.3366,6.3328,0.4552,2
7,9,9,7.165,7.3272,8.2645,9,9,5.5987,8.4784,5.0586,125.728,36.7734,1.9261,246.0374,46.716,10.4395,22.786,11.8644,0.398,5
8,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
9,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
10,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
11,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
12,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
13,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
14,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
15,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
16,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
17,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
18,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
19,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
20,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
21,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
22,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
23,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
24,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
25,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
26,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
27,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
28,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
29,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
30,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
31,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
32,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
33,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
34,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
35,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
36,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
37,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
38,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
39,7.86,8.4119,8.564,8.4685,9,8.8307,7.8525,6.1493,9,12.8419,29.6587,40.4539,21.1989,236.2709,34.729,7.8561,53.3058,12.6522,0.2368,3
