Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,weighted_sum,Fitness,Nc
1,8.6087,5.2967,8.8496,9.0,7.0503,8.3599,7.0652,9.0,9.0,29.794364,14.014631,22.441579,29.042391,44.394907,68.868514,5.084338,69.136799,3.453259,0.4854,0.5045,4
2,6.8159,5.0,8.2931,9.0,6.4001,9.0,8.7745,9.0,9.0,29.09397,89.571927,30.896356,17.124399,83.425752,96.408498,9.447417,47.12678,0.635379,0.7332,0.4094,4
3,5.503,5.0,9.0,9.0,6.7431,9.0,9.0,9.0,9.0,28.61252,97.517422,30.895796,16.431082,176.654642,100.124037,9.804097,53.531141,1.101938,0.4941,0.3366,4
4,7.5832,5.0,7.0628,9.0,5.6917,9.0,9.0,9.0,9.0,28.30068,124.282485,31.449446,13.625939,69.097744,104.19956,10.011953,34.958626,0.671361,0.5886,0.4359,5
5,7.5923,5.0,9.0,9.0,5.9336,9.0,9.0,9.0,9.0,28.072046,109.477131,31.311932,13.462478,61.278398,104.694656,9.795038,56.747342,0.696759,0.7287,0.416,4
6,7.5028,5.0,8.485,7.9333,6.7554,9.0,9.0,9.0,9.0,28.617485,110.715764,30.578325,9.57958,41.331726,98.736979,9.312955,36.266328,0.653998,0.4975,0.4632,3
7,6.8836,5.0,8.6659,9.0,5.1596,9.0,8.0071,9.0,9.0,30.252667,46.206003,30.827903,24.760029,71.165917,79.724905,8.143757,55.601165,0.569331,0.5652,0.4389,3
8,7.3196,5.0,8.4961,9.0,6.3821,9.0,9.0,7.8121,9.0,28.339862,109.805279,39.829036,14.007435,16.237509,76.39384,10.224368,49.341882,0.676184,0.6496,0.4504,5
9,7.2751,6.2709,8.5337,9.0,6.3104,8.8821,9.0,9.0,9.0,22.503464,111.612364,29.119172,14.046706,70.63048,103.836041,9.413683,49.544125,0.571353,0.5351,0.4219,4
10,7.3487,5.0,8.5987,9.0,6.2938,9.0,9.0,9.0,7.8073,18.213504,109.493465,16.633462,2.384254,66.752513,101.195437,10.393711,46.047156,0.697045,0.4879,0.5313,4
11,7.239,5.0,8.5955,9.0,6.1251,7.8034,9.0,9.0,9.0,25.225589,110.067781,19.448061,14.083957,80.502355,103.54906,5.99812,49.764116,0.752428,0.4227,0.4553,4
12,6.9491,5.0,7.8127,9.0,6.8773,9.0,7.7495,8.7309,9.0,31.793855,33.085565,31.928852,27.388465,8.854461,68.759169,7.971706,47.631615,0.957176,0.5761,0.5057,3
13,6.9092,5.0,8.3833,9.0,5.7706,9.0,9.0,8.703,9.0,28.151481,112.5837,33.730976,14.659664,96.80562,94.670864,9.974196,46.541629,0.874781,0.6651,0.3884,4
