Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,8.6088,8.7308,6.7408,6.496,8.8159,7.1175,5.8715,5.0733,5.7936,1.2139,2.8479,3.4077,0.2632,631.7838,8.3648,2.7764,18.5465,25.8452,2.2755,2
2,7.555,8.837,5.7737,7.3484,6.114,5.4575,7.139,5.6842,8.8678,5.7352,29.887,15.7335,20.2617,59.6723,20.3602,1.5422,18.3485,13.343,1.7465,2
3,8.6497,7.9609,8.1392,8.8163,5.6963,7.9597,7.9402,8.5688,5.8354,2.0511,54.1079,2.2969,0.2014,9.9321,67.7098,5.9596,41.0955,7.1107,1.9748,1
4,5.1323,8.5279,7.0441,6.9648,8.8984,6.4056,5.9421,8.9659,7.4207,4.0053,1.3173,1.1048,9.3477,5.768,40.4384,1.573,20.7619,15.5593,2.1107,2
5,6.3109,7.7374,7.3041,8.9375,6.9359,6.646,8.8475,8.9368,8.547,8.7873,102.0451,7.9075,10.1616,92.0482,94.2624,3.9631,33.2068,1.8893,1.5419,2
6,6.8612,8.1791,8.9077,6.189,5.6976,7.8911,6.648,8.7732,5.3931,1.6522,11.1745,0.99,0.1988,9.14,42.0164,3.8328,26.0848,8.217,2.2479,1
7,5.1154,7.0752,8.4469,7.3703,5.709,5.633,8.7657,5.2974,5.9211,2.4982,95.9397,2.3603,1.3022,34.9627,31.3909,3.1541,20.4788,0.5972,2.2045,1
8,6.2733,7.8351,7.8539,7.6627,8.5036,7.2656,7.0009,7.9197,8.1482,9.5697,10.2745,9.5759,13.2119,25.2921,37.3704,3.0754,32.0033,8.6888,1.7192,1
9,7.4704,5.346,6.7965,5.1063,7.4426,5.318,5.2908,7.3451,5.79,8.8785,1.1188,0.407,0.4494,115.979,14.7987,0.9088,11.5672,4.8432,2.3078,0
10,5.1113,7.9299,6.4427,7.9431,8.4635,6.8083,5.6338,8.484,6.9253,5.1698,0.9452,1.5153,8.9407,8.1048,32.1838,2.1155,23.6194,11.9805,2.052,1
11,8.1055,6.0933,8.7435,8.4654,5.0289,7.7218,7.2478,7.2405,6.15,7.7526,23.6933,5.2492,0.6453,25.5319,34.7764,4.6451,45.2241,2.6164,1.991,0
12,8.1899,5.1166,5.6047,8.634,8.0935,8.4297,8.806,5.1304,7.2131,14.6896,98.9672,19.9183,0.3588,134.4581,39.8208,8.9388,21.588,0.8988,1.662,2
13,8.5806,8.4885,7.7007,5.5703,8.3122,5.5251,7.5896,8.7535,5.4411,0.7022,32.8965,0.9466,2.4464,102.8201,55.6151,1.7121,15.3658,13.7381,2.0953,2
14,6.8742,8.5463,6.32,6.6867,5.8932,5.2014,8.7389,5.3542,5.7026,0.5215,115.1009,1.2676,3.2231,0.9252,31.566,2.8264,7.2337,4.0336,2.2535,1
