Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,9.0,9.0,9.0,9.0,9.0,5.0,9.0,9.0,9.0,4.4479,99.0071,5.6082,10.6171,93.0573,110.6189,2.4102,63.7158,13.2624,0.4776,3
2,9.0,9.0,8.9628,5.9686,8.9758,5.0301,5.9708,7.0052,8.9533,6.5554,1.8484,10.1341,20.757,605.8417,21.912,0.7444,42.9439,29.428,0.5647,3
3,9.0,8.8232,8.9581,7.9765,8.9846,9.0,5.9705,5.0,8.9376,11.625,1.4605,43.9663,28.189,796.1991,13.679,6.4725,63.3374,28.8072,0.412,4
4,9.0,9.0,8.9753,8.0465,8.48,8.9871,5.9708,7.0519,8.9533,10.1961,2.0464,36.1295,28.8664,503.7634,26.2549,6.1991,63.7727,29.007,0.376,4
5,9.0,8.9997,8.9753,7.9743,8.5115,8.9874,5.9708,7.0519,8.9535,10.2174,2.0259,36.086,28.4823,509.3311,26.075,6.1734,62.8353,29.0578,0.377,4
6,9.0,8.9997,8.8617,7.9743,8.5072,8.9874,5.9708,6.9895,8.9376,10.1269,2.1332,36.1401,28.1415,515.3759,25.4679,6.2021,60.9382,29.1057,0.3782,4
7,9.0,8.9096,8.8105,8.5626,8.5072,8.9999,5.9655,6.9136,8.9376,10.7827,1.9521,36.988,31.6592,523.8296,26.3049,6.4887,68.8625,28.5219,0.3717,5
8,9.0,8.9112,8.8653,8.5626,8.5153,8.9999,5.9655,6.9136,8.9376,10.7697,1.8982,36.9766,31.6519,525.3103,26.3137,6.4829,69.7838,28.5398,0.372,5
9,8.9235,8.7022,8.9855,8.8311,8.5126,9.0,5.3841,7.0367,8.9376,12.6331,0.8432,36.4569,37.3447,532.2727,24.6605,6.1888,78.0308,28.2311,0.3842,5
10,8.9235,8.7022,8.9855,8.7976,8.513,9.0,5.3841,6.9749,8.9376,12.6316,0.8419,36.7645,37.0954,539.2223,24.0149,6.1838,77.4151,28.2137,0.3857,5
11,8.9233,8.7024,8.949,8.7956,8.513,9.0,5.3895,7.0549,8.9376,12.6345,0.8371,36.3512,37.054,529.8994,24.742,6.1769,76.7082,28.2031,0.3843,5
12,8.9237,8.7024,8.9473,8.7956,8.5182,9.0,5.3671,7.0549,8.9376,12.6516,0.8455,36.3382,37.1795,532.4769,24.628,6.1647,76.7518,28.2995,0.3847,5
