Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,9.0,8.9394,5.0,5.0,5.0,9.0,7.0,5.0303,9.0,9.1646,36.2733,48.0606,14.1631,227.3578,15.7327,6.7913,9.8858,17.5016,0.4063,3
2,9.0,7.659,6.341,5.0,5.341,9.0,7.0,5.0,9.0,17.7626,30.5747,49.54,14.1143,242.1949,15.5574,6.6651,13.9227,9.16,0.4054,4
3,9.0,7.659,6.341,5.0,5.341,9.0,7.0,5.0,9.0,17.7626,30.5747,49.54,14.1143,242.1949,15.5574,6.6651,13.9227,9.16,0.4054,4
4,8.6613,8.2933,8.8,7.5906,8.8,5.5068,8.1164,7.5906,7.5906,3.4177,44.3438,2.8295,1.2855,215.9808,51.208,2.1364,40.277,11.532,0.5846,2
5,8.6613,8.2933,8.8,7.5906,8.8,5.5068,8.1164,7.5906,7.5906,3.4177,44.3438,2.8295,1.2855,215.9808,51.208,2.1364,40.277,11.532,0.5846,2
6,8.6613,8.2933,8.8,7.5906,8.8,5.5068,8.1164,7.5906,7.5906,3.4177,44.3438,2.8295,1.2855,215.9808,51.208,2.1364,40.277,11.532,0.5846,2
7,8.9569,6.4253,5.3293,8.9693,6.0043,8.7488,7.0106,5.1954,7.2,12.4466,25.3927,22.3301,4.9905,260.3976,21.1866,7.6885,30.7368,6.1644,0.4449,2
8,5.0,5.0,9.0,5.0,5.0,5.0,8.3578,9.0,8.8071,20.5616,65.3305,6.0143,8.3481,231.2863,70.4154,1.2942,20.9063,1.0808,0.5675,2
9,5.0,5.4003,5.0,8.5963,5.0,9.0,8.3761,9.0,9.0,28.3524,78.347,30.9185,21.6057,233.0962,81.5279,8.7824,19.6982,0.6409,0.4088,4
10,9.0,8.9403,9.0,9.0,9.0,6.5003,8.9064,7.8774,9.0,5.535,91.179,13.982,11.4418,194.277,81.3188,3.8672,64.7146,13.5658,0.3522,3
